gnai3	ENSMUSG00000000001
pbsn	ENSMUSG00000000003
cdc45	ENSMUSG00000000028
h19	ENSMUSG00000000031
scml2	ENSMUSG00000000037
apoh	ENSMUSG00000000049
narf	ENSMUSG00000000056
cav2	ENSMUSG00000000058
klf6	ENSMUSG00000000078
scmh1	ENSMUSG00000000085
cox5a	ENSMUSG00000000088
tbx2	ENSMUSG00000000093
tbx4	ENSMUSG00000000094
zfy2	ENSMUSG00000000103
ngfr	ENSMUSG00000000120
wnt3	ENSMUSG00000000125
wnt9a	ENSMUSG00000000126
fer	ENSMUSG00000000127
xpo6	ENSMUSG00000000131
tfe3	ENSMUSG00000000134
axin2	ENSMUSG00000000142
brat1	ENSMUSG00000000148
gna12	ENSMUSG00000000149
slc22a18	ENSMUSG00000000154
itgb2l	ENSMUSG00000000157
igsf5	ENSMUSG00000000159
pih1d2	ENSMUSG00000000167
dlat	ENSMUSG00000000168
sdhd	ENSMUSG00000000171
fgf23	ENSMUSG00000000182
fgf6	ENSMUSG00000000183
ccnd2	ENSMUSG00000000184
gpr107	ENSMUSG00000000194
nalcn	ENSMUSG00000000197
btbd17	ENSMUSG00000000202
slfn4	ENSMUSG00000000204
th	ENSMUSG00000000214
ins2	ENSMUSG00000000215
scnn1g	ENSMUSG00000000216
drp2	ENSMUSG00000000223
tspan32	ENSMUSG00000000244
lhx2	ENSMUSG00000000247
clec2g	ENSMUSG00000000248
gmpr	ENSMUSG00000000253
glra1	ENSMUSG00000000263
mid2	ENSMUSG00000000266
trim25	ENSMUSG00000000275
dgke	ENSMUSG00000000276
scpep1	ENSMUSG00000000278
mnt	ENSMUSG00000000282
itgb2	ENSMUSG00000000290
hddc2	ENSMUSG00000000295
tpd52l1	ENSMUSG00000000296
pemt	ENSMUSG00000000301
cdh1	ENSMUSG00000000303
cdh4	ENSMUSG00000000305
ckmt1	ENSMUSG00000000308
bcl6b	ENSMUSG00000000317
clec10a	ENSMUSG00000000318
alox12	ENSMUSG00000000320
arvcf	ENSMUSG00000000325
comt	ENSMUSG00000000326
rtca	ENSMUSG00000000339
dbt	ENSMUSG00000000340
dazap2	ENSMUSG00000000346
mcts1	ENSMUSG00000000355
rem1	ENSMUSG00000000359
rnf17	ENSMUSG00000000365
trappc10	ENSMUSG00000000374
ccm2	ENSMUSG00000000378
wap	ENSMUSG00000000381
tbrg4	ENSMUSG00000000384
tmprss2	ENSMUSG00000000385
mx1	ENSMUSG00000000386
fap	ENSMUSG00000000392
gcg	ENSMUSG00000000394
ndufa9	ENSMUSG00000000399
egfl6	ENSMUSG00000000402
lck	ENSMUSG00000000409
tssk3	ENSMUSG00000000411
cttnbp2	ENSMUSG00000000416
galnt1	ENSMUSG00000000420
myf5	ENSMUSG00000000435
mkrn2	ENSMUSG00000000439
pparg	ENSMUSG00000000440
raf1	ENSMUSG00000000441
sept1	ENSMUSG00000000486
pdgfb	ENSMUSG00000000489
acvrl1	ENSMUSG00000000530
grasp	ENSMUSG00000000531
acvr1b	ENSMUSG00000000532
tom1l2	ENSMUSG00000000538
gpa33	ENSMUSG00000000544
zfp385a	ENSMUSG00000000552
itga5	ENSMUSG00000000555
gabra2	ENSMUSG00000000560
wdr77	ENSMUSG00000000561
adora3	ENSMUSG00000000562
atp5f1	ENSMUSG00000000563
sox9	ENSMUSG00000000567
hnrnpd	ENSMUSG00000000568
dynlt1c	ENSMUSG00000000579
c1d	ENSMUSG00000000581
gm2a	ENSMUSG00000000594
krit1	ENSMUSG00000000600
clcn4	ENSMUSG00000000605
vmn2r88	ENSMUSG00000000606
grm6	ENSMUSG00000000617
sema4f	ENSMUSG00000000627
hk2	ENSMUSG00000000628
myo18a	ENSMUSG00000000631
sez6	ENSMUSG00000000632
haao	ENSMUSG00000000673
cd52	ENSMUSG00000000682
abhd15	ENSMUSG00000000686
hoxb6	ENSMUSG00000000690
loxl3	ENSMUSG00000000693
tcl1b5	ENSMUSG00000000701
btn1a1	ENSMUSG00000000706
kat2b	ENSMUSG00000000708
rab5b	ENSMUSG00000000711
cryba1	ENSMUSG00000000724
dnmt3l	ENSMUSG00000000730
aire	ENSMUSG00000000731
icosl	ENSMUSG00000000732
spg7	ENSMUSG00000000738
sult5a1	ENSMUSG00000000739
rpl13	ENSMUSG00000000740
chmp1a	ENSMUSG00000000743
rpa1	ENSMUSG00000000751
serpinf1	ENSMUSG00000000753
tubgcp3	ENSMUSG00000000759
oprm1	ENSMUSG00000000766
polr3d	ENSMUSG00000000776
tcf7	ENSMUSG00000000782
ddx3x	ENSMUSG00000000787
il12rb1	ENSMUSG00000000791
slc5a5	ENSMUSG00000000792
kcnn3	ENSMUSG00000000794
usp32	ENSMUSG00000000804
car4	ENSMUSG00000000805
txnrd3	ENSMUSG00000000811
fasl	ENSMUSG00000000817
zfp512b	ENSMUSG00000000823
dnajc5	ENSMUSG00000000826
tpd52l2	ENSMUSG00000000827
fmr1	ENSMUSG00000000838
