Parent - Child Weight Probability Score
Ahcy -> Ahcy 0.527679 0.999751 0.370931
Klf5 -| Ahcy -0.355675 0.923642 -0.230987
Sall4 -> Ahcy 0.401670 0.875689 0.247315
Sall4 -| Aqp3 -0.659336 0.571330 -0.264865
Tcfap2c -> Aqp3 0.739035 0.573066 0.297783
Ahcy -| Atp12a -0.403120 0.570767 -0.161780
Atp12a -> Atp12a 0.529877 0.994899 0.370668
Klf4 -> Atp12a 0.393822 0.518524 0.143582
Bmp4 -> Bmp4 0.599232 0.939910 0.396015
Pou5f1 -> Bmp4 0.678780 0.685796 0.327307
Sall4 -| Cdx2 -0.556043 0.577370 -0.225732
Tcfap2c -> Cdx2 0.802478 0.995661 0.561792
Hnf4a -> Creb312 0.546187 0.849848 0.326372
Klf5 -| Creb312 -0.591343 0.726675 -0.302142
Sall4 -> Creb312 1.072008 0.999920 0.753693
Tcfap2c -> Cebpa 0.726173 0.695245 0.354984
Tspan8 -> Cebpa 0.502477 0.510630 0.180407
Dab2 -> Dab2 0.605564 0.920111 0.391770
Sall4 -> Dab2 1.142866 0.999365 0.803064
DppaI -> DppaI 0.556324 0.974390 0.381146
Klf2 -| DppaI -0.449209 0.865357 -0.273322
Tcfap2c -> Esrrb 1.141647 1.000000 0.802717
Sall4 -> Fgfr2 0.999506 0.999996 0.702772
Sall4 -> Gata4 1.422547 0.999776 1.000000
Gata6 -> Gata6 0.576277 0.967501 0.392025
Tcfap2c -> Gata6 0.745514 0.971550 0.509274
Fn1 -| Grhl1 -0.521083 0.710559 -0.260338
Gata6 -| Grhl1 -0.475876 0.612297 -0.204874
Sall4 -> Grhl1 0.586857 0.566976 0.233953
Tcfap2c -> Grhl2 0.545432 0.986828 0.378454
Klf4 -| Hand1 -0.646390 0.647560 -0.294310
Tcfap2c -> Hand1 1.184945 0.957408 0.797675
Hnf4a -> Hnf4a 0.528084 0.846595 0.314347
Klf2 -> Klf2 0.742404 0.962203 0.502270
Tcfap2c -> Klf2 1.163920 0.999811 0.818224
Tcfap2c -> Klf4 0.525475 0.989012 0.365413
Ahcy -| Klf5 -0.337265 0.632096 -0.149894
Creb312 -| Klf5 -0.255998 0.548145 -0.098665
Klf5 -> Klf5 0.641298 1.000000 0.450911
Sall4 -> Klf5 0.440808 0.967936 0.300004
Ahcy -> Krt8 0.645736 0.586371 0.266231
Krt8 -> Krt8 0.562048 0.833898 0.329547
Fgfr2 -> Lcp1 0.400168 0.532061 0.149704
Sall4 -| Lcp1 -0.659848 0.950480 -0.440979
Mbnl3 -> Mbnl3 0.604627 0.998869 0.424646
Sall4 -> Mbnl3 0.599267 0.750936 0.316413
Sall4 -> Msx2 0.655442 0.580414 0.267487
Tcfap2c -> Nanog 0.792882 0.728334 0.406041
Sall4 -> Pdgfa 0.653152 0.912923 0.419256
Pecam1 -> Pecam1 0.497693 0.700344 0.245078
Tcfap2c -> Pecam1 0.976963 0.997495 0.685204
Pou5f1 -> Pou5f1 0.716525 1.000000 0.503805
Sall4 -> Pou5f1 0.294767 0.590510 0.122388
Tcfap2c -> Pou5f1 0.349460 0.911818 0.224046
Sall4 -> Runx1 1.062135 0.945974 0.706463
Tcfap2c -| Runx1 -0.792495 0.554416 -0.308932
Bmp4 -> Sox2 0.585710 0.630261 0.259558
Snail -> Sox2 0.541381 0.583981 0.222297
Sall4 -> Sall4 0.755928 1.000000 0.531510
Tcfap2c -> Sall4 0.342573 0.993863 0.239392
Sall4 -| Tcfap2a -1.044675 0.994595 -0.730564
Tcfap2c -> Tcfap2c 1.023119 1.000000 0.719378
Pou5f1 -> Utf1 0.538051 0.860321 0.325473
Utf1 -> Utf1 0.549053 0.987116 0.381078
Klf5 -| Tspan8 -0.511606 0.857499 -0.308461
Tspan8 -> Tspan8 0.578238 0.923536 0.375484
