Gene1,Gene2
AATF,BAK1
AATF,BAX
AATF,BBC3
AATF,CDKN1A
AATF,TPT1
AATF,TRP53
ABL1,TRP53
ABL1,TRP73
AEBP2,JARID2
AEBP2,SNAI2
AES,IHH
AHR,ABCC4
AHR,APAF1
AHR,CYP19A1
AHR,CYP1A1
AHR,CYP1A2
AHR,CYP1B1
AHR,E2F2
AHR,GATA4
AHR,GSTA1
AHR,IL17A
AHR,IL6
AHR,LHB
AHR,NKX2-5
AHR,NQO1
AHR,PLA2G4A
AHR,PTGS2
AHR,SERPINB2
AHR,SIM1
AHR,SMOC2
AHR,SNAI2
AHR,UGT1A6A
AHR,VAV3
AIRE,BMP2
AIRE,F11
ALX4,FGF10
ANKRD1,MYL2
ANKRD1,NPPA
APBB1,LRP1
APBB1,NOTCH1
APC,CTNNB1
APC,MYC
APC,SPP1
APC,TCF4
APC,TRP53
APEX1,APOD
APEX1,BLK
APEX1,CCL12
APEX1,NFKB1
APEX1,PAX5
APEX1,PTGS2
APEX1,RELA
APEX1,TLR4
AR,CCR2
AR,CGA
AR,FKBP5
AR,FOXA1
AR,KLKB1
AR,NKX3-1
AR,NR0B1
AR,PSAT1
AR,RUNX2
AR,SCNN1A
AR,SOX2
AR,TNF
AR,RSL
ARID3A,CR2
ARID3A,IGH
ARID3B,IGH
ARID5B,SOX9
ARL6IP5,PARP1
ARL6IP5,XRCC1
ARNT,ATXN3
ARNT,CYP1A1
ARNT,CYP1A2
ARNT,CYP1B1
ARNT,E2F2
ARNT,SIM1
ARNT,TH
ARNTL,BHLHE40
ARNTL,BHLHE41
ARNTL,CTNNB1
ARNTL,CXCL5
ARNTL,DBP
ARNTL,MAOA
ARNTL,NFE2L2
ARNTL,PER1
ARNTL,PER2
ARNTL,TCF3
ARNTL,VWF
ARNTL,WNT10A
ARNTL2,THBD
ARX,KDM5C
ARX,SHH
ASCL1,BUB1
ASCL1,CDKN2D
ASCL1,DLL3
ASCL1,DLL4
ASCL1,HES5
ASCL1,PDGFRA
ASCL1,PHOX2A
ASCL1,RND3
ASCL1,TPH2
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF1,CEBPB
ATF1,HSPA5
ATF1,NUDT1
ATF1,THBS1
ATF2,CCND1
ATF2,CEBPA
ATF2,ENTPD1
ATF2,FGF21
ATF2,FOS
ATF2,GABRB3
ATF2,IL23A
ATF2,INS2
ATF2,PER1
ATF2,PPARG
ATF2,RELA
ATF2,RHOB
ATF2,SERPINB5
ATF2,SOX9
ATF2,TNF
ATF2,UCP1
ATF3,ATF3
ATF3,CCND1
ATF3,GCK
ATF3,IL12B
ATF3,IL6
ATF3,PDX1
ATF3,SORT1
ATF3,TNFRSF10B
ATF4,BGLAP3
ATF4,CDKN1A
ATF4,CDKN1B
ATF4,DDR2
ATF4,FGF15
ATF4,FGF2
ATF4,HSPA5
ATF4,IHH
ATF4,IL6
ATF4,MCM7
ATF4,MIR106B
ATF4,SPHK2
ATF4,TRIB3
ATF6,HSPA5
ATF6,WBP1
ATM,CDKN1A
ATM,SP7
ATM,TRP53
ATOH1,BARHL1
ATOH1,HES6
ATOH1,NR2F6
ATOH1,POU4F3
