Gene1,Gene2,Score
AHR,TEPSIN,251
AHR,NDUFAF8,251
AHR,SP2,446
AHR,ARRDC4,352
AHR,ZFP869,237
AHR,SHARPIN,259
AHR,MAF1,259
AHR,HIST1H2BC,171
AHR,HIST1H2AC,171
AHR,KATNB1,197
AHR,CIC,154
AHR,TOM1,167
AHR,FLAD1,275
AHR,FAM53C,138
AHR,G3BP1,242
AHR,SP1,232
AHR,ATP5B,224
AHR,HNRNPC,191
AHR,ARID4A,190
AHR,RAB5B,171
AHR,ANKHD1,144
AHR,ZFP687,143
AHR,ABHD2,136
AHR,OSBP,124
ATF3,PSMB2,360
ATF3,9930111J21RIK2,189
ATF3,9930111J21RIK1,172
ATF3,KNL1,167
ATF3,MICAL1,140
ATF3,MORF4L1,283
ATF3,NUP133,445
ATF3,ZGRF1,135
ATF3,LARP7,135
ATF3,UBE4A,288
ATF3,UBR4,236
ATF3,SDE2,193
ATF3,PLAA,153
ATF3,FAM206A,156
ATF3,ELP1,156
ATF3,XPNPEP3,243
ATF3,ST13,243
ATF3,TYSND1,218
ATF3,RPL9,220
ATF3,LIAS,220
ATF3,RLF,272
ATF3,NUP214,209
ATF3,NELFA,314
ATF3,NUP153,294
ATF3,BDP1,211
ATF3,MED6,236
ATF3,GUF1,234
ATF3,WDR61,200
ATF3,STK19,165
ATF3,DXO,165
ATF3,NFX1,159
ATF3,FANCD2,232
ATF3,EMC3,232
ATF3,CNOT1,214
ATF3,BC003965,222
ATF3,MAGOHB,168
ATF3,MRPL2,163
ATF3,KLC4,163
ATF3,PPIL4,192
ATF3,SMU1,185
ATF3,MECR,168
ATF3,SPTLC1,193
ATF3,KIF2C,202
ATF3,PINX1,171
ATF3,CDADC1,125
ATF3,WDR74,165
ATF3,HAUS5,149
ATF3,TUBGCP6,178
ATF3,GLE1,153
ATF3,GPAM,135
ATF4,CHAC1,519
ATF4,YARS,413
ATF4,S100PBP,413
ATF4,KNL1,622
ATF4,ABRAXAS1,656
ATF4,ARL14EP,433
ATF4,SARS,473
ATF4,SLC38A7,619
ATF4,PYCR1,644
ATF4,KIFC5B,642
ATF4,IARS,645
ATF4,ELMSAN1,665
ATF4,MARS,448
ATF4,SOAT2,360
ATF4,SLC7A11,442
ATF4,STK40,533
ATF4,RBM39,779
ATF4,EIF3C,282
ATF4,AARS,337
ATF4,SLC1A4,513
ATF4,NARS,435
ATF4,GOT1,430
ATF4,CCP110,325
ATF4,PDAP1,403
ATF4,BUD31,403
ATF4,GARS,133
ATF4,GRAMD1B,310
ATF4,CLCN3,213
ATF4,NUPR1,520
ATF4,PPP1R15B,246
ATF4,ANK2,205
ATF4,ATF3,601
ATF4,TRIB3,226
ATF4,EIF4EBP1,232
ATF4,PBLD2,326
ATF4,HNRNPH3,326
ATF4,COASY,679
ATF4,YWHAG,261
ATF4,HERPUD1,598
ATF4,EIF1,260
ATF4,SLC3A2,251
ATF4,TACO1,450
ATF4,IL23A,378
ATF4,TXNDC12,382
ATF4,BTF3L4,382
ATF4,RHBDD1,163
ATF4,ATF6,170
ATF4,LARS,279
ATF4,ECHS1,256
ATF4,SMIM10L1,140
ATF4,SNX33,147
ATF4,MYD88,658
ATF4,ACAA1A,658
ATF4,CARS,349
ATF4,B9D2,228
ATF4,KIFC1,428
ATF4,EIF2S2,335
ATF4,LCN2,434
ATF4,LMO4,507
ATF4,ARID5A,375
ATF4,WDR25,270
ATF4,WARS,270
ATF4,RNF213,114
ATF4,EPRS,177
ATF4,ZBTB7B,273
ATF4,TTC9C,291
ATF4,HNRNPUL2,291
ATF4,NDRG1,591
ATF4,DDIT3,246
ATF4,STARD5,343
ATF4,MTHFR,310
ATF4,CLCN6,310
ATF4,LRIF1,168
ATF4,SLC38A2,280
ATF4,PPP2R5A,402
ATF4,RCHY1,118
ATF4,HSPA9,162
ATF4,TARS,141
ATF4,TMEM154,547
ATF4,ALDH18A1,214
ATF4,ATP1A3,1375
