,PseudoTime0,PseudoTime1
E37_5_927,,5.927
E42_7_69,,7.69
E20_7_209,7.209,
E70_2_163,2.163,
E107_6_328,6.328,
E131_7_61,,7.61
E135_3_524,3.524,
E106_4_886,,4.886
E49_7_93,7.93,
E37_7_85,,7.85
E37_5_687,,5.687
E108_5_527,,5.527
E51_5_767,5.767,
E37_6_328,,6.328
E10_0_881,,0.881
E12_1_362,,1.362
E136_6_008,6.008,
E40_5_767,,5.767
E42_5_847,,5.847
E42_1_762,,1.762
E36_2_563,2.563,
E120_2_483,2.483,
E112_1_282,1.282,
E133_3_444,,3.444
E36_3_925,3.925,
E112_4_486,4.486,
E31_3_284,3.284,
E70_0_481,0.481,
E101_4_966,4.966,
E15_6_648,6.648,
E133_1_041,,1.041
E51_4_566,4.566,
E80_4_646,,4.646
E31_3_044,3.044,
E123_4_646,,4.646
E31_4_486,4.486,
E86_3_925,,3.925
E12_3_925,,3.925
E85_1_362,1.362,
E112_7_61,7.61,
E54_0_32,,0.32
E107_7_209,7.209,
E4_0_721,0.721,
E56_0_16,,0.16
E109_1_282,1.282,
E36_0_16,0.16,
E88_7_61,7.61,
E131_1_121,,1.121
E16_4_245,,4.245
E37_0_08,,0.08
E101_6_728,6.728,
E85_6_969,6.969,
E88_1_922,1.922,
E109_3_605,3.605,
E10_5_447,,5.447
E136_3_685,3.685,
E120_0_881,0.881,
E47_6_889,,6.889
E78_1_202,,1.202
E1_0_32,,0.32
E2_6_168,,6.168
E79_4_245,,4.245
E112_1_362,1.362,
E86_2_723,,2.723
E12_4_325,,4.325
E107_6_488,6.488,
E17_6_728,,6.728
E119_1_282,,1.282
E126_7_85,,7.85
E136_4_406,4.406,
E106_7_049,,7.049
E65_1_602,,1.602
E128_2_243,,2.243
E84_6_809,,6.809
E136_2_723,2.723,
E123_0_24,,0.24
E101_5_447,5.447,
E16_0_801,,0.801
E101_5_527,5.527,
E17_4_165,,4.165
E65_1_522,,1.522
E119_1_522,,1.522
