PseudoTime1,PseudoTime2
E37_5_927,114.759480005907,NA
E42_7_69,104.854883198069,NA
E20_7_209,NA,148.607726925672
E70_2_163,NA,78.7270899249429
E107_6_328,NA,137.630003498493
E131_7_61,100.75112061606,NA
E135_3_524,NA,109.3077700521
E106_4_886,123.65555677608,NA
E49_7_93,NA,139.848139256052
E37_7_85,137.542934421479,NA
E37_5_687,102.640436385613,NA
E108_5_527,111.629046651016,NA
E51_5_767,NA,151.456469814385
E37_6_328,112.513477940496,NA
E10_0_881,21.4657960303209,21.357577476349
E12_1_362,48.0706345194856,42.723617310101
E136_6_008,NA,146.360396099063
E40_5_767,104.766602036295,NA
E42_5_847,119.287501718603,NA
E42_1_762,45.9929209005877,44.780607528439
E36_2_563,57.0769985717216,60.0191576873968
E120_2_483,NA,81.9394754135205
E112_1_282,31.0327423725104,30.9786755058899
E133_3_444,75.851965502437,NA
E36_3_925,NA,97.2699325968294
E112_4_486,NA,149.780984931776
E31_3_284,NA,104.498926656975
E70_0_481,21.5165248537177,21.4185160206422
E101_4_966,NA,138.348018668789
E15_6_648,NA,152.210858836886
E133_1_041,13.9208754185252,13.9059141833768
E51_4_566,NA,107.056799762522
E80_4_646,104.857423394151,NA
E31_3_044,NA,96.7236079611692
E123_4_646,124.466550152148,NA
E31_4_486,NA,147.53440040324
E86_3_925,94.6296587014854,NA
E12_3_925,133.950616256879,NA
E85_1_362,34.2852457554874,34.3074335588947
E112_7_61,NA,142.716973304025
E54_0_32,12.8117210135366,12.8172499098315
E107_7_209,NA,149.437809576809
E4_0_721,28.8354484392553,28.7107520889937
E56_0_16,0,0
E109_1_282,45.4965172616949,47.2731233580355
E36_0_16,14.7821829589284,14.7754715943613
E88_7_61,NA,157.223220316029
E131_1_121,9.82376705897208,9.82486356795398
E16_4_245,108.310241013379,NA
E37_0_08,0,0
E101_6_728,NA,140.96110246925
E85_6_969,NA,153.652253837345
E88_1_922,NA,71.0648737171235
E109_3_605,NA,99.2718654099155
E10_5_447,115.034909471788,NA
E136_3_685,NA,117.959221718091
E120_0_881,19.2184900643491,19.1931133089446
E47_6_889,126.466148453355,NA
E78_1_202,31.3325891458652,31.3030815128752
E1_0_32,10.2820236263623,10.2805638376074
E2_6_168,128.483206905057,NA
E79_4_245,107.37636196282,NA
E112_1_362,33.1784834600609,33.1463931716562
E86_2_723,74.3142518121319,NA
E12_4_325,115.158332765043,NA
E107_6_488,NA,133.099764245295
E17_6_728,113.031754901949,NA
E119_1_282,29.610922068914,29.5065173203147
E126_7_85,107.756838374369,NA
E136_4_406,NA,144.35894491277
E106_7_049,113.204249890922,NA
E65_1_602,43.4183388006864,44.3338831286183
E128_2_243,74.0640055565985,NA
E84_6_809,135.469732692461,NA
E136_2_723,NA,87.9770456609557
E123_0_24,14.9281705949705,14.9133682167479
E101_5_447,NA,146.851975615899
E16_0_801,26.8506165679651,26.7566624835553
E101_5_527,NA,146.171136846264
E17_4_165,108.608620980216,NA
E65_1_522,39.8582186595574,39.8581344391912
E119_1_522,43.6982138507106,44.1692172988459
E0_0_16,13.6837414924214,13.6821884181518
E123_5_847,134.052204771323,NA
E12_2_083,53.7782536273115,48.3305729137963
E10_6_248,105.190976677351,NA
E125_7_289,134.264255759826,NA
E10_3_284,75.6016675677116,NA
E20_5_367,NA,134.298932445936
E48_6_969,110.932506074213,NA
E2_4_486,113.614102466776,NA
E94_4_005,NA,113.83629902265
E119_0_801,23.7437827062161,23.6175165760605
E25_7_77,NA,144.699691836643
E121_5_527,NA,145.195907157592
E120_5_126,NA,125.016707408992
E86_4_245,101.846182715645,NA
E66_7_69,120.038304296741,NA
E112_1_121,28.3330704634685,28.1944907473764
E125_0_0,0,0
E65_5_046,120.281559319146,NA
E84_3_364,129.000665350258,NA
E121_2_003,61.3029386618573,63.0108160371183
E136_1_922,NA,79.8150558913771
E133_3_284,73.3824609156759,NA
E12_7_209,107.909188992211,NA
E42_2_003,55.6982985384868,51.2481432754468
E94_6_648,NA,150.388959624205
E86_2_403,73.1039717928911,NA
E120_1_842,48.9754215486995,51.6564033075805
E88_1_121,39.6792637073377,40.1510224148668
E36_6_568,NA,144.952179760185
E101_4_165,NA,108.374575587159
E96_2_483,71.8716941446551,NA
E3_4_806,NA,115.07499366734
E110_0_961,11.8111939231284,11.7979696824034
E3_5_207,NA,129.780745924461
E14_2_163,45.3406391827055,46.9499530536156
E15_0_16,11.9157519450937,11.9144269803586
E65_3_605,111.298003460307,NA
E65_2_003,53.8246239694005,53.53487976941
E65_2_964,74.6180664036779,NA
E142_7_209,NA,145.459304289592
E14_0_961,5.27692945060473,5.27745975686708
E55_6_568,106.891677128041,NA
E70_7_369,NA,159.019663424484
E48_4_085,111.692770602003,NA
E133_5_447,109.676651343277,NA
E126_4_085,117.672428771915,NA
E4_4_806,NA,146.721315050259
E54_6_008,107.700695297364,NA
E78_0_401,13.4812097549811,13.4823865319644
E121_3_685,NA,100.188227265119
E31_5_687,NA,158.528611810719
E133_1_602,38.9089026066508,38.7941221925323
E96_4_806,132.011368669363,NA
E10_6_168,109.602688671022,NA
E78_2_083,46.4395994040352,49.7975158965364
E1_5_046,119.670738237579,NA
E55_0_721,26.4633135013126,26.4343620586243
E109_2_003,NA,77.7915190211957
E17_3_685,119.145935946024,NA
E31_3_204,NA,101.290756318098
E85_4_486,NA,119.435071951183
E20_0_961,33.0513098642142,33.1663166004213
E101_2_403,NA,74.0048319617941
E17_7_209,131.483628498795,NA
E79_2_964,88.9258688790202,NA
E112_5_367,NA,136.099542166255
E66_4_726,123.117020988484,NA
E24_7_049,105.767658506015,NA
E51_5_927,NA,158.159293820173
E49_3_444,NA,97.3578594912588
E94_6_088,NA,143.628559031489
E41_1_202,46.1242409984409,47.3476372768905
E42_1_041,8.27111327140937,8.25992253918902
E63_5_367,129.492866494556,NA
E119_2_884,72.1833052194743,NA
E37_7_049,118.413639036844,NA
E4_7_449,NA,137.738557975594
E120_3_845,NA,108.126411734608
E121_0_801,27.1795251803671,27.0239812967143
E15_2_563,NA,82.7291496826034
E109_7_449,NA,153.254333917205
E78_6_168,105.395584719592,NA
E25_1_442,49.0389726056474,51.6745768921886
E4_7_369,NA,142.70754263754
E31_3_444,NA,106.973845194384
E51_0_961,37.4076028818832,37.5916408945031
E131_5_767,112.292823840478,NA
E84_6_008,132.97793934155,NA
E42_6_328,124.711774893966,NA
E54_2_884,77.4402657849518,NA
E42_4_566,122.150624614756,NA
E78_7_369,115.764526217146,NA
E41_6_168,NA,144.476355145741
E48_5_847,98.8987364165606,NA
E15_4_966,NA,147.089175677323
E16_1_442,41.1097031322804,40.6995480673107
E119_6_488,115.796237205907,NA
E79_0_08,0.415273323890957,0.415176948278113
