PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E122_6_408,89.0714342599221,NA,NA,NA
E46_1_842,NA,65.1975243070172,NA,NA
E72_7_049,NA,105.21072120398,NA,NA
E35_6_088,NA,NA,45.4858361822169,NA
E61_6_889,NA,NA,NA,53.8384416740298
E114_5_287,78.7828247261483,NA,NA,NA
E16_6_168,76.1104803074338,NA,NA,NA
E112_4_085,NA,105.522559344818,NA,NA
E132_4_325,NA,NA,NA,51.5644140929468
E133_6_728,71.7076066017985,NA,NA,NA
E140_7_61,NA,111.206944982147,NA,NA
E61_2_483,5.32958014710188,2.64895627243697,11.3934983507825,11.4548778541175
E41_7_369,NA,NA,NA,46.8964645000183
E115_1_922,29.094145811234,NA,NA,NA
E105_0_881,NA,30.2131879848438,NA,NA
E4_1_842,NA,62.928402745883,NA,NA
E28_3_044,NA,111.206944982147,NA,NA
E57_3_925,55.6993108660568,NA,NA,NA
E47_1_202,NA,81.5135314654882,NA,NA
E32_1_121,NA,NA,33.7007925514877,NA
E49_3_364,NA,65.1847998280634,NA,NA
E71_3_364,89.0714342599221,NA,NA,NA
E141_7_93,89.0714342599221,NA,NA,NA
E45_1_202,5.77246750844178,1.58026258232276,8.07175049408043,8.15729859000699
E75_2_723,NA,99.295913148242,NA,NA
E33_2_723,NA,101.534896996706,NA,NA
E35_5_126,NA,NA,54.7682349044539,NA
E92_0_32,9.31791637451537,7.49959641319835,0,0
E77_7_69,NA,101.00921051524,NA,NA
E53_0_0,16.6922706012921,10.1411576036696,3.79412423675313,3.7402319233276
E105_2_563,NA,52.7979634588533,NA,NA
E136_4_806,70.4144670702495,NA,NA,NA
E121_3_685,NA,NA,NA,58.3295782494991
E22_3_044,61.1448013035602,NA,NA,NA
E7_6_408,NA,NA,47.1428387119684,NA
E24_1_442,NA,60.510316399373,NA,NA
E57_6_969,89.0714342599221,NA,NA,NA
E30_6_168,NA,72.5640888565631,NA,NA
E49_6_969,NA,84.9842244623541,NA,NA
E138_0_961,NA,26.6792582062571,NA,NA
E31_6_008,NA,88.1567609203968,NA,NA
E105_3_605,NA,56.2943933933013,NA,NA
E99_5_046,NA,111.206944982147,NA,NA
E129_1_602,NA,31.5967423142356,NA,NA
E78_4_566,NA,101.255505136349,NA,NA
E95_0_16,19.6746742075902,15.6624166055677,NA,NA
E92_2_804,NA,80.9557114575043,NA,NA
E107_1_282,NA,82.3163195746758,NA,NA
E30_0_961,NA,25.3247810467274,NA,NA
E129_6_408,NA,78.6225698407013,NA,NA
E130_7_129,89.0714342599221,NA,NA,NA
E105_2_884,NA,41.2365204884373,NA,NA
E24_1_762,NA,83.3927083623351,NA,NA
E25_1_121,51.5428891946172,NA,NA,NA
E121_3_444,NA,NA,NA,59.5986628179553
E47_4_566,NA,76.253460526222,NA,NA
E95_3_044,57.575836693065,NA,NA,NA
E45_0_881,1.16867348608855,1.17856963072075,1.15045432507086,1.06374655080524
E129_3_605,NA,92.8308050476336,NA,NA
E91_6_969,NA,73.8914307992839,NA,NA
E17_4_325,78.5587586575261,NA,NA,NA
E121_5_927,NA,NA,NA,55.4422417517022
E68_1_041,5.60579796534245,1.68672894789218,8.87150489074158,8.96261917383526
E84_4_486,NA,NA,57.187709409741,NA
E138_7_77,NA,82.694450582114,NA,NA
E80_4_886,NA,NA,NA,53.4561196407733
E139_7_85,76.1005595979756,NA,NA,NA
E49_3_845,NA,86.5231887598887,NA,NA
E17_4_726,67.2603582793401,NA,NA,NA
E133_6_008,58.3653403143688,NA,NA,NA
E85_0_641,NA,29.1752223637734,NA,NA
E3_3_044,NA,54.7730245235047,NA,NA
E37_0_16,12.6903312687886,11.2440492634612,0,0
E11_4_165,NA,59.9707261227448,NA,NA
E25_3_204,62.9961732684633,NA,NA,NA
E41_1_842,NA,NA,19.3310591939149,19.6317208811264
E20_0_0,16.1747831989231,3.97814642330151,3.79412423675313,3.7402319233276
E123_0_0,17.4929138365241,10.2543099382668,NA,NA
E21_7_129,70.895708956022,NA,NA,NA
E120_0_641,17.9867403163454,15.628960464928,0,0
E113_0_721,NA,61.421404580459,NA,NA
E6_2_723,76.249966952189,NA,NA,NA
E145_3_364,NA,55.4370502852777,NA,NA
E119_0_961,5.70180908428245,1.68672894789218,7.75968729573456,7.81156469678618
E2_1_362,NA,NA,35.224581070353,NA
E19_1_602,NA,111.206944982147,NA,NA
E50_6_248,NA,67.8003575944435,NA,NA
E98_1_041,NA,91.310327906056,NA,NA
E18_6_168,72.0095627871925,NA,NA,NA
E75_7_529,NA,41.7867580530371,NA,NA
E41_7_209,NA,NA,NA,55.0353973030069
E73_3_925,NA,108.533406832866,NA,NA
E121_6_168,NA,NA,NA,52.030170987427
E134_0_16,17.7322085618611,14.2731596765961,0,0
E31_3_524,NA,106.346397843375,NA,NA
E129_3_044,NA,48.1822786109362,NA,NA
E29_4_646,76.0471565774321,NA,NA,NA
E68_0_721,5.23569223424816,3.03543595319383,8.20442083671129,8.15369452189721
E115_7_85,71.3671009592307,NA,NA,NA
E146_4_005,71.4611166025864,NA,NA,NA
E50_3_524,NA,102.365991754343,NA,NA
E140_0_881,NA,26.7540126082863,NA,NA
E86_3_925,NA,76.0329039632436,NA,NA
E57_7_369,63.0756116094468,NA,NA,NA
E80_4_245,NA,NA,NA,51.9796168964083
E92_5_447,NA,111.206944982147,NA,NA
E65_6_889,NA,NA,47.4709437241082,NA
E126_5_927,NA,51.2622751116056,NA,NA
E68_6_488,NA,NA,NA,50.6578174847501
E124_4_325,57.4039609484957,NA,NA,NA
E27_2_483,NA,53.780383638947,NA,NA
E132_1_362,NA,NA,34.0951122185176,NA
E89_7_209,NA,102.007863286524,NA,NA
E46_4_325,NA,43.0765112359509,NA,NA
E60_5_607,NA,86.3691399459302,NA,NA
E110_5_847,NA,100.603814872859,NA,NA
E41_5_927,NA,NA,NA,53.4911077303236
E34_4_005,NA,63.0182483356549,NA,NA
E46_4_245,NA,57.0541309842129,NA,NA
E115_7_209,63.6181291847392,NA,NA,NA
E50_6_809,NA,63.2453050897225,NA,NA
E13_2_483,64.229194955739,NA,NA,NA
E19_3_124,NA,56.2963008188844,NA,NA
E133_4_566,89.0714342599221,NA,NA,NA
E86_5_207,NA,111.206944982147,NA,NA
E58_4_486,56.9789167545821,NA,NA,NA
E115_1_202,27.5144827853163,NA,NA,NA
E141_3_444,54.0156893580723,NA,NA,NA
E77_0_721,NA,95.7434861282318,NA,NA
E136_3_204,62.8953015194358,NA,NA,NA
E21_4_325,51.4300404086987,NA,NA,NA
E49_6_248,NA,111.206944982147,NA,NA
E28_1_442,NA,97.669000614825,NA,NA
E92_7_449,NA,99.0277215251738,NA,NA
E146_5_927,88.5990685342955,NA,NA,NA
E37_3_925,NA,111.195101245672,NA,NA
E133_6_248,89.0714342599221,NA,NA,NA
E102_7_61,NA,NA,NA,47.3777063230861
