PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E133_7_93,85.5357507590523,NA,NA,NA
E140_4_646,NA,85.7592637411746,NA,NA
E55_4_966,NA,95.700510710596,NA,NA
E3_0_801,NA,15.8153497654193,NA,NA
E73_6_889,NA,32.8054753538718,NA,NA
E124_0_641,16.6487895625271,0,0,0
E55_5_767,NA,101.908995463411,NA,NA
E50_6_568,NA,66.4104684023749,NA,NA
E24_4_165,NA,107.01438993756,NA,NA
E126_5_126,NA,62.3945099318665,NA,NA
E106_3_685,65.2035197252958,NA,NA,NA
E41_6_088,NA,NA,51.5686806124897,NA
E29_2_964,63.0799291141194,NA,NA,NA
E30_7_049,NA,53.353312731148,NA,NA
E65_6_809,NA,NA,NA,54.8365441275562
E138_6_408,NA,74.9917098945774,NA,NA
E134_3_605,NA,37.2775890449427,NA,NA
E65_1_121,NA,NA,26.5786015736337,21.1087898037123
E41_0_721,3.96854956400641,NA,13.9384249724544,12.1919593873339
E82_7_129,NA,NA,48.4396968707101,NA
E146_3_524,56.0154502492578,NA,NA,NA
E53_4_165,61.3939399046203,NA,NA,NA
E107_1_202,NA,19.6358706248808,NA,NA
E89_2_563,NA,82.8832179178921,NA,NA
E27_0_32,3.86654564852294,2.05965090074422,10.5197226660394,9.99064210418435
E94_6_568,NA,60.4443309235463,NA,NA
E93_4_486,66.1782457823216,NA,NA,NA
E33_5_126,NA,76.8752081324601,NA,NA
E89_5_927,NA,35.3820525451174,NA,NA
E45_1_041,NA,NA,15.1951256102393,11.9053120790275
E86_6_168,NA,48.6458749839152,NA,NA
E2_0_16,6.70638920882541,1.56089509290373,9.82003720680806,16.5195239236476
E115_3_044,73.7210309796901,NA,NA,NA
E11_1_041,NA,20.1166881986714,NA,NA
E29_7_85,82.7494011539007,NA,NA,NA
E144_1_362,NA,63.7119739525737,NA,NA
E99_7_93,NA,97.9215227161718,NA,NA
E57_7_85,59.4794822516372,NA,NA,NA
E72_2_403,NA,89.6115419919585,NA,NA
E102_6_568,NA,NA,53.6409203931552,NA
E112_2_403,NA,43.1432242860833,NA,NA
E105_7_85,NA,80.1141181125277,NA,NA
E146_5_367,54.5799230265289,NA,NA,NA
E146_6_328,69.2228338340856,NA,NA,NA
E148_2_964,NA,24.127019594743,NA,NA
E45_4_726,NA,NA,NA,57.2705077247387
E104_7_129,NA,62.3571488492883,NA,NA
E95_2_483,83.02044464329,NA,NA,NA
E49_4_806,NA,79.4763624415198,NA,NA
E11_6_728,NA,106.751460026838,NA,NA
E141_7_129,56.0510798128322,NA,NA,NA
E35_6_408,NA,NA,NA,57.7279886321807
E28_6_809,NA,91.7169175394929,NA,NA
E22_5_126,85.5357507590523,NA,NA,NA
E136_1_202,26.8276143800425,NA,NA,NA
E130_0_561,23.5938329373156,NA,NA,NA
E57_1_282,22.6800355424988,NA,NA,NA
E17_0_32,22.6273869834578,NA,NA,NA
E104_5_207,NA,84.6641435369875,NA,NA
E88_5_927,NA,NA,54.9309784667531,NA
E114_5_126,77.7451475800935,NA,NA,NA
E122_0_721,2.50369790883666,8.51222050966868,2.58062231901794,2.63075868017911
E126_3_124,NA,81.0805679263237,NA,NA
