,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3
E137_0_481,,,0.481,
E53_6_008,6.008,,,
E17_2_884,2.884,,,
E144_2_804,,,2.804,
E124_6_488,6.488,,,
E93_0_561,0.561,,,
E144_3_845,,,3.845,
E37_0_721,,,0.721,
E83_1_041,,,1.041,
E134_1_762,,,1.762,
E23_7_77,,,7.77,
E80_7_129,,7.129,,
E46_6_168,,,6.168,
E53_1_202,1.202,,,
E32_0_32,,0.32,,
E65_6_328,,,,6.328
E48_4_085,,,4.085,
E120_0_401,,,0.401,
E79_0_24,,,,0.24
E33_6_969,,,6.969,
E53_6_809,6.809,,,
E16_2_003,2.003,,,
E80_3_765,,3.765,,
E123_7_529,,,7.529,
E49_1_362,,,1.362,
E14_7_049,,7.049,,
E129_0_24,,,0.24,
E117_0_801,0.801,,,
E89_1_682,,,1.682,
E134_7_61,,,7.61,
E74_7_209,7.209,,,
E146_2_003,2.003,,,
E71_6_328,6.328,,,
E95_2_083,2.083,,,
E114_3_605,3.605,,,
E145_4_165,,,4.165,
E44_2_964,,,2.964,
E27_1_602,,,1.602,
E123_3_044,,,3.044,
E6_4_325,4.325,,,
E144_2_003,,,2.003,
E107_1_842,,,1.842,
E121_6_648,,6.648,,
E82_5_126,,5.126,,
E32_2_643,,2.643,,
E105_6_008,,,6.008,
E136_6_328,6.328,,,
E45_6_728,,,,6.728
E107_2_804,,,2.804,
E66_1_522,,,1.522,
E21_7_209,7.209,,,
E68_6_408,,6.408,,
E49_0_24,,,0.24,
E83_4_806,,,4.806,
E120_2_884,,,2.884,
E112_5_527,,,5.527,
E11_3_444,,,3.444,
E3_6_728,,,6.728,
E24_3_524,,,3.524,
E41_4_005,,4.005,,
E146_7_129,7.129,,,
E115_5_847,5.847,,,
E133_5_607,5.607,,,
E20_0_24,0.24,,,
E136_7_289,7.289,,,
E132_1_282,,1.282,,
E140_4_726,,,4.726,
E99_1_362,,,1.362,
E83_1_842,,,1.842,
E30_4_886,,,4.886,
E98_2_723,,,2.723,
E4_3_444,,,3.444,
E6_5_447,5.447,,,
E95_0_561,0.561,,,
E98_5_046,,,5.046,
E75_1_041,,,1.041,
E38_1_362,,,,1.362
E139_5_287,5.287,,,
E17_4_646,4.646,,,
E119_3_444,,3.444,,
E86_6_488,,,6.488,
E38_4_806,,,,4.806
E11_4_726,,,4.726,
E17_6_088,6.088,,,
E93_2_403,2.403,,,
E6_2_884,2.884,,,
E121_0_961,,0.961,,
E85_6_488,,,6.488,
E96_3_765,3.765,,,
E62_5_847,,,,5.847
E138_0_0,,,0.0,
E123_0_32,,,0.32,
E20_4_966,4.966,,,
E37_6_728,,,6.728,
E8_2_483,,,2.483,
E46_5_367,,,5.367,
E33_7_209,,,7.209,
E141_1_442,1.442,,,
E11_2_884,,,2.884,
E13_5_767,5.767,,,
E66_3_284,,,3.284,
E16_2_884,2.884,,,
E81_0_481,0.481,,,
E86_4_566,,,4.566,
E80_2_083,,2.083,,
E86_1_922,,,1.922,
E113_2_163,,,2.163,
E3_6_168,,,6.168,
E89_1_041,,,1.041,
E89_4_486,,,4.486,
E22_1_842,1.842,,,
E82_0_32,,0.32,,
E13_7_129,7.129,,,
E145_2_643,,,2.643,
E79_4_646,,,,4.646
E47_2_483,,,2.483,
E122_6_889,6.889,,,
E117_5_607,5.607,,,
E78_6_408,,,6.408,
E17_3_044,3.044,,,
E72_5_207,,,5.207,
E79_7_529,,,,7.529
E113_6_889,,,6.889,
E2_4_966,,,,4.966
E146_5_447,5.447,,,
E132_3_685,,3.685,,
E50_2_163,,,2.163,
E94_6_248,,,6.248,
E107_5_126,,,5.126,
E148_4_646,,,4.646,
E7_5_287,,,,5.287
E47_1_522,,,1.522,
E74_7_049,7.049,,,
E41_0_0,,0.0,,
E16_5_927,5.927,,,
E133_0_961,0.961,,,
E127_7_049,,,7.049,
E8_3_605,,,3.605,
E61_2_003,,2.003,,
E108_5_447,5.447,,,
E105_4_325,,,4.325,
E55_2_723,,,2.723,
E132_4_886,,4.886,,
E44_0_561,,,0.561,
E132_1_922,,1.922,,
E4_6_568,,,6.568,
E72_4_726,,,4.726,
E47_7_449,,,7.449,
E113_6_408,,,6.408,
E86_5_927,,,5.927,
E137_4_646,,,4.646,
E79_7_93,,,,7.93
E140_2_163,,,2.163,
E93_2_163,2.163,,,
E139_5_847,5.847,,,
E66_7_129,,,7.129,
E29_3_765,3.765,,,
E31_6_809,,,6.809,
E17_1_762,1.762,,,
E108_4_966,4.966,,,
E85_3_925,,,3.925,
E22_7_529,7.529,,,
E82_7_449,,7.449,,
E18_4_726,4.726,,,
E94_0_401,,,0.401,
E49_5_687,,,5.687,
E86_2_003,,,2.003,
E3_1_121,,,1.121,
E126_3_364,,,3.364,
E107_4_005,,,4.005,
E61_2_723,,2.723,,
E29_6_248,6.248,,,
E11_7_369,,,7.369,
E104_4_966,,,4.966,
E16_2_804,2.804,,,
E75_6_088,,,6.088,
E93_0_801,0.801,,,
E50_0_961,,,0.961,
E60_1_202,,,1.202,
E58_2_003,2.003,,,
E146_6_168,6.168,,,
E13_7_77,7.77,,,
E32_6_008,,6.008,,
E8_1_842,,,1.842,
E68_7_449,,7.449,,
E124_0_0,0.0,,,
E60_2_243,,,2.243,
E53_7_129,7.129,,,
E66_5_687,,,5.687,
E20_3_364,3.364,,,
E126_0_481,,,0.481,
E115_5_207,5.207,,,
E50_1_522,,,1.522,
E82_5_767,,5.767,,
E148_5_046,,,5.046,
E48_1_202,,,1.202,
E129_4_966,,,4.966,
E66_0_24,,,0.24,
E140_0_801,,,0.801,
E2_6_728,,,,6.728
E17_0_481,0.481,,,
E16_5_687,5.687,,,
E49_4_886,,,4.886,
E133_0_401,0.401,,,
E110_2_483,,,2.483,
E66_0_401,,,0.401,
E102_7_369,,7.369,,
E95_3_925,3.925,,,
E107_3_685,,,3.685,
E129_3_364,,,3.364,
E127_3_044,,,3.044,
E81_6_809,6.809,,,
E112_4_566,,,4.566,
E130_2_483,2.483,,,
E41_4_085,,4.085,,
E146_3_444,3.444,,,
E94_1_282,,,1.282,
E93_7_209,7.209,,,
E99_4_406,,,4.406,
E80_7_77,,7.77,,
E26_2_964,,,,2.964
E60_1_121,,,1.121,
E108_5_527,5.527,,,
E66_2_323,,,2.323,
E108_2_003,2.003,,,
E31_4_085,,,4.085,
E31_6_568,,,6.568,
E14_5_847,,5.847,,
E140_4_165,,,4.165,
E24_2_964,,,2.964,
E19_3_284,,,3.284,
E84_1_682,,,,1.682
E88_5_046,,5.046,,
E29_7_93,7.93,,,
E49_0_801,,,0.801,
E80_3_444,,3.444,,
E148_2_243,,,2.243,
E1_2_003,,,2.003,
E62_3_204,,,,3.204
E120_3_284,,,3.284,
E102_2_884,,2.884,,
E81_6_728,6.728,,,
E117_7_209,7.209,,,
E145_1_121,,,1.121,
E19_0_641,,,0.641,
E119_4_566,,4.566,,
E53_7_85,7.85,,,
E137_5_927,,,5.927,
E17_0_32,0.32,,,
E46_2_643,,,2.643,
E55_2_964,,,2.964,
E13_3_204,3.204,,,
E55_0_481,,,0.481,
E136_3_524,3.524,,,
E134_0_24,,,0.24,
E10_2_884,,,2.884,
E26_4_085,,,,4.085
E61_7_529,,7.529,,
E23_4_406,,,4.406,
E11_4_325,,,4.325,
E95_2_964,2.964,,,
E84_4_806,,,,4.806
E20_2_804,2.804,,,
E132_6_488,,6.488,,
E7_7_69,,,,7.69
E83_5_207,,,5.207,
E7_2_243,,,,2.243
E29_3_925,3.925,,,
E115_1_282,1.282,,,
E13_3_605,3.605,,,
E117_2_403,2.403,,,
E113_1_121,,,1.121,
E82_4_245,,4.245,,
E98_1_442,,,1.442,
E96_4_566,4.566,,,
E110_1_522,,,1.522,
E65_2_483,,,,2.483
E19_3_204,,,3.204,
E53_5_126,5.126,,,
E48_1_121,,,1.121,
E141_7_369,7.369,,,
E93_5_046,5.046,,,
E23_4_806,,,4.806,
E6_7_529,7.529,,,
E73_4_806,,,4.806,
E32_7_289,,7.289,,
E57_7_69,7.69,,,
E16_4_325,4.325,,,
E113_4_566,,,4.566,
E85_4_966,,,4.966,
E117_5_767,5.767,,,
E29_4_406,4.406,,,
E148_3_204,,,3.204,
E110_6_168,,,6.168,
E86_4_406,,,4.406,
E94_7_369,,,7.369,
E137_6_008,,,6.008,
E136_0_801,0.801,,,
E132_2_563,,2.563,,
E112_5_046,,,5.046,
E34_2_964,,,2.964,
E92_1_842,,,1.842,
E127_4_165,,,4.165,
E107_3_845,,,3.845,
E24_4_966,,,4.966,
E146_5_927,5.927,,,
E138_3_925,,,3.925,
E107_4_726,,,4.726,
E110_0_32,,,0.32,
E32_5_687,,5.687,,
E92_3_524,,,3.524,
E48_3_044,,,3.044,
E133_3_124,3.124,,,
E48_3_364,,,3.364,
E21_3_364,3.364,,,
E55_4_165,,,4.165,
E29_4_886,4.886,,,
E136_5_367,5.367,,,
E112_6_168,,,6.168,
E41_3_685,,3.685,,
E99_2_804,,,2.804,
E122_7_529,7.529,,,
E104_7_289,,,7.289,
E105_3_765,,,3.765,
E139_1_282,1.282,,,
E90_4_325,,,4.325,
E10_1_922,,,1.922,
E127_3_204,,,3.204,
E61_3_364,,3.364,,
E30_1_522,,,1.522,
E13_7_369,7.369,,,
E112_5_847,,,5.847,
E45_4_726,,,,4.726
E79_3_845,,,,3.845
E79_1_041,,,,1.041
E90_7_529,,,7.529,
E123_3_925,,,3.925,
E107_7_129,,,7.129,
E33_5_207,,,5.207,
E4_6_008,,,6.008,
E136_5_287,5.287,,,
E53_3_845,3.845,,,
E129_4_325,,,4.325,
E68_1_442,,1.442,,
E92_2_323,,,2.323,
E123_2_804,,,2.804,
E126_4_085,,,4.085,
E102_1_442,,1.442,,
E17_7_129,7.129,,,
E35_3_605,,,,3.605
E141_4_325,4.325,,,
E23_7_449,,,7.449,
E33_3_444,,,3.444,
E130_6_728,6.728,,,
E133_3_765,3.765,,,
E62_2_323,,,,2.323
E134_1_922,,,1.922,
E144_2_643,,,2.643,
E14_6_969,,6.969,,
E57_2_643,2.643,,,
E144_0_561,,,0.561,
E129_6_088,,,6.088,
E88_6_328,,6.328,,
E120_1_762,,,1.762,
E34_3_845,,,3.845,
E91_0_641,,,0.641,
E26_2_804,,,,2.804
E104_2_563,,,2.563,
E82_5_046,,5.046,,
E123_5_287,,,5.287,
E79_2_804,,,,2.804
E138_2_723,,,2.723,
E44_3_044,,,3.044,
E93_7_61,7.61,,,
E105_7_449,,,7.449,
E81_5_607,5.607,,,
E33_0_961,,,0.961,
E18_4_566,4.566,,,
E95_7_129,7.129,,,
E24_4_886,,,4.886,
E107_4_646,,,4.646,
E26_7_209,,,,7.209
E18_5_207,5.207,,,
E126_0_561,,,0.561,
E84_6_809,,,,6.809
E74_5_207,5.207,,,
E123_4_966,,,4.966,
E148_5_767,,,5.767,
E33_0_08,,,0.08,
E83_4_165,,,4.165,
E80_1_442,,1.442,,
E120_7_529,,,7.529,
E138_2_483,,,2.483,
E104_0_08,,,0.08,
E50_0_481,,,0.481,
E23_1_041,,,1.041,
E74_3_765,3.765,,,
E45_2_323,,,,2.323
E115_7_449,7.449,,,
E4_7_209,,,7.209,
E68_0_16,,0.16,,
E110_2_884,,,2.884,
E146_5_046,5.046,,,
E96_7_61,7.61,,,
E34_1_602,,,1.602,
E17_7_049,7.049,,,
E141_7_61,7.61,,,
E98_3_765,,,3.765,
E114_7_369,7.369,,,
E137_2_723,,,2.723,
E89_6_168,,,6.168,
E115_2_884,2.884,,,
E130_0_481,0.481,,,
E20_5_687,5.687,,,
E38_0_32,,,,0.32
E17_7_69,7.69,,,
E123_6_728,,,6.728,
E50_5_207,,,5.207,
E2_3_605,,,,3.605
E94_3_685,,,3.685,
E4_0_08,,,0.08,
E92_6_728,,,6.728,
E78_1_282,,,1.282,
E105_6_488,,,6.488,
E83_3_765,,,3.765,
E93_7_529,7.529,,,
E112_3_284,,,3.284,
E50_2_804,,,2.804,
E68_6_328,,6.328,,
E141_3_685,3.685,,,
E30_0_561,,,0.561,
E140_7_209,,,7.209,
E81_2_804,2.804,,,
E66_5_207,,,5.207,
E96_6_969,6.969,,,
E74_3_685,3.685,,,
E17_6_648,6.648,,,
E102_5_927,,5.927,,
E81_1_442,1.442,,,
E74_7_289,7.289,,,
E3_0_721,,,0.721,
E112_0_24,,,0.24,
E145_4_966,,,4.966,
E134_1_442,,,1.442,
E146_3_605,3.605,,,
E30_2_403,,,2.403,
E112_7_049,,,7.049,
E144_6_969,,,6.969,
E71_4_806,4.806,,,
E78_0_32,,,0.32,
E94_1_602,,,1.602,
E44_5_287,,,5.287,
E45_5_927,,,,5.927
E99_7_369,,,7.369,
E74_5_126,5.126,,,
E126_0_641,,,0.641,
E113_0_0,,,0.0,
E1_0_16,,,0.16,
E14_6_248,,6.248,,
E91_0_881,,,0.881,
E19_2_964,,,2.964,
E73_0_801,,,0.801,
E127_0_961,,,0.961,
E90_0_881,,,0.881,
E55_1_602,,,1.602,
E26_1_362,,,,1.362
E82_1_282,,1.282,,
E133_6_648,6.648,,,
E45_1_602,,,,1.602
E145_3_524,,,3.524,
E133_0_32,0.32,,,
E144_5_447,,,5.447,
E144_6_168,,,6.168,
E16_1_842,1.842,,,
E66_1_842,,,1.842,
E119_7_93,,7.93,,
E94_7_049,,,7.049,
E91_7_69,,,7.69,
E79_5_126,,,,5.126
E35_2_723,,,,2.723
E123_1_522,,,1.522,
E37_1_682,,,1.682,
E78_4_005,,,4.005,
E106_6_568,6.568,,,
E14_0_16,,0.16,,
E121_3_765,,3.765,,
E146_4_646,4.646,,,
E133_7_77,7.77,,,
E65_4_886,,,,4.886
E123_2_723,,,2.723,
E41_2_243,,2.243,,
E20_7_85,7.85,,,
E127_2_964,,,2.964,
E61_5_046,,5.046,,
E133_6_008,6.008,,,
E65_1_121,,,,1.121
E98_4_165,,,4.165,
E95_0_32,0.32,,,
E79_4_085,,,,4.085
E16_0_801,0.801,,,
E50_2_964,,,2.964,
E11_2_243,,,2.243,
E84_1_442,,,,1.442
