PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E44_1_202,52.91242958221,NA,NA,NA,NA
E94_1_303,NA,46.9815826743555,NA,NA,NA
E87_2_004,NA,NA,53.5913147726306,NA,NA
E47_4_359,NA,51.783967233812,NA,NA,NA
E42_2_705,NA,NA,NA,68.1724303879892,NA
E106_4_509,59.1142039496258,NA,NA,NA,NA
E99_3_958,NA,73.0578807557189,NA,NA,NA
E10_4_359,NA,NA,36.8173672496096,NA,NA
E23_4_86,54.6725157595211,NA,NA,NA,NA
E85_4_108,NA,47.4835744981007,NA,NA,NA
E89_0_902,NA,NA,NA,28.9973880499529,NA
E13_3_858,NA,49.2631173238106,NA,NA,NA
E49_0_05,27.9228488427354,NA,NA,NA,20.2872853258155
E72_0_601,NA,NA,23.2526705192485,NA,NA
E90_3_507,NA,NA,61.6064207002211,NA,NA
E99_3_507,NA,30.0155922404822,NA,NA,NA
E42_4_86,NA,NA,NA,51.1328234055711,NA
E1_3_357,NA,NA,39.9924589031415,NA,NA
E6_0_501,NA,NA,24.47230087498,NA,NA
E84_4_359,NA,41.0955459390365,NA,NA,NA
E5_2_405,NA,NA,NA,54.6996166843022,NA
E109_0_551,26.9115472849047,NA,NA,NA,25.0728418751353
E22_3_607,NA,43.7045799261878,NA,NA,NA
E75_2_806,NA,64.6886469181962,NA,NA,NA
E6_2_705,NA,NA,79.952705154493,NA,NA
E98_2_455,NA,46.5625631308807,NA,NA,NA
E21_3_808,NA,77.2256379816996,NA,NA,NA
E40_0_651,NA,77.2256379816996,NA,NA,NA
E131_3_457,NA,30.8248085679517,NA,NA,NA
E113_0_651,NA,NA,19.8618038922597,NA,NA
E90_1_002,NA,NA,79.952705154493,NA,NA
E23_1_503,55.6014126543755,NA,NA,NA,NA
E111_1_453,55.3778032113073,NA,NA,NA,NA
E19_2_405,NA,NA,66.7732556467818,NA,NA
E71_3_557,NA,53.9159090940028,NA,NA,NA
E122_2_305,NA,NA,NA,51.9414697605176,NA
E25_1_804,NA,NA,79.952705154493,NA,NA
E107_4_259,NA,NA,NA,NA,70.7483111255017
E106_4_208,56.2473702322979,NA,NA,NA,NA
E65_2_705,NA,NA,72.0216808605245,NA,NA
E63_2_154,NA,NA,46.560769475869,NA,NA
E140_1_353,NA,NA,NA,20.6556916059892,NA
E59_3_056,NA,NA,NA,31.5511934153016,NA
E37_2_204,NA,NA,75.0721185290927,NA,NA
E22_4_208,NA,35.3012433259708,NA,NA,NA
E111_4_509,55.3450368202364,NA,NA,NA,NA
E144_2_204,NA,50.0013391137469,NA,NA,NA
E124_4_208,NA,NA,NA,NA,65.6253679198643
E59_4_76,NA,NA,NA,41.4036265353925,NA
E6_0_952,NA,NA,79.1596827696061,NA,NA
E116_0_752,NA,66.0278266780094,NA,NA,NA
