,PseudoTime0,PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4
E142_1_002,1.002,,,,
E124_4_259,,,,,4.259
E136_1_754,1.754,,,,
E76_2_906,,,,2.906,
E21_1_804,,1.804,,,
E34_1_553,,,1.553,,
E0_0_952,,,,0.952,
E76_4_86,,,,4.86,
E45_4_108,,4.108,,,
E52_2_204,,,,2.204,
E31_0_551,,,,,0.551
E117_0_501,0.501,,,,
E47_1_553,,1.553,,,
E52_3_457,,,,3.457,
E83_3_307,3.307,,,,
E122_4_259,,,,4.259,
E67_1_553,1.553,,,,
E107_1_102,,,,,1.102
E135_0_701,0.701,,,,
E41_0_1,,0.1,,,
E140_1_052,1.052,,,,
E117_0_0,0.0,,,,
E131_2_655,,2.655,,,
E123_3_307,3.307,,,,
E17_0_501,,0.501,,,
E14_0_952,,0.952,,,
E19_4_86,4.86,,,,
E63_2_806,2.806,,,,
E84_1_102,,1.102,,,
E111_3_106,,,3.106,,
E98_1_804,,1.804,,,
E88_4_609,,4.609,,,
E137_1_353,,,,1.353,
E62_2_305,,,,,2.305
E21_3_357,,3.357,,,
E128_1_904,,,,1.904,
E52_3_858,,,,3.858,
E22_0_852,,0.852,,,
E3_2_956,,2.956,,,
E48_0_2,,0.2,,,
E17_1_503,,1.503,,,
E55_4_659,,,,4.659,
E108_2_355,,2.355,,,
E22_1_002,,1.002,,,
E80_0_301,,0.301,,,
E4_1_453,,,,1.453,
E46_0_05,0.05,,,,
E9_3_808,,,,3.808,
E24_3_357,,3.357,,,
E30_1_453,,,,1.453,
E9_4_76,,,,4.76,
E50_0_802,,0.802,,,
E143_3_707,,,,3.707,
E130_4_709,4.709,,,,
E66_4_509,4.509,,,,
E124_3_758,,,,,3.758
E101_4_76,,4.76,,,
E50_2_906,,2.906,,,
E26_2_004,,,,2.004,
E98_0_601,,0.601,,,
E34_4_609,,,4.609,,
E89_3_958,,,,3.958,
E68_2_004,,2.004,,,
E25_2_705,2.705,,,,
E139_0_05,0.05,,,,
E103_1_002,,1.002,,,
E21_2_204,,2.204,,,
E53_3_206,,3.206,,,
E50_4_509,,4.509,,,
E113_4_359,4.359,,,,
E124_0_401,,,,,0.401
E75_1_804,,1.804,,,
E123_4_409,4.409,,,,
E26_2_255,,,,2.255,
E126_1_603,,,,1.603,
E106_4_76,,,4.76,,
E74_0_701,,,,0.701,
E56_0_902,0.902,,,,
E9_4_158,,,,4.158,
E51_2_355,2.355,,,,
E144_3_858,,3.858,,,
E114_0_301,,0.301,,,
E143_2_305,,,,2.305,
E141_1_303,,,,1.303,
E115_0_501,0.501,,,,
E95_3_156,,,,3.156,
E141_3_156,,,,3.156,
E3_2_756,,2.756,,,
E58_1_603,,,,1.603,
E115_1_403,1.403,,,,
E105_1_904,,,,1.904,
E36_2_355,2.355,,,,
E47_1_202,,1.202,,,
E65_3_908,3.908,,,,
E85_2_104,,2.104,,,
E32_3_457,,,3.457,,
E127_2_705,,2.705,,,
E84_4_76,,4.76,,,
E7_1_954,1.954,,,,
E133_4_108,,4.108,,,
E54_1_353,1.353,,,,
E58_2_956,,,,2.956,
E118_0_15,,0.15,,,
E47_2_605,,2.605,,,
E51_4_86,4.86,,,,
E53_4_359,,4.359,,,
E11_0_952,,,,0.952,
E13_3_206,,3.206,,,
E71_4_409,,4.409,,,
E105_3_006,,,,3.006,
E34_0_752,,,0.752,,
E20_4_108,4.108,,,,
E125_4_559,4.559,,,,
E38_3_707,,,,,3.707
E10_2_756,2.756,,,,
E18_3_707,,,,3.707,
E134_1_503,,,1.503,,
E3_2_655,,2.655,,,
E110_1_002,,1.002,,,
E99_2_605,,2.605,,,
E41_4_86,,4.86,,,
E11_2_355,,,,2.355,
E100_2_605,,,,2.605,
E144_3_106,,3.106,,,
E38_3_958,,,,,3.958
E83_2_956,2.956,,,,
E137_2_555,,,,2.555,
E143_0_1,,,,0.1,
E125_1_904,1.904,,,,
E30_4_609,,,,4.609,
E136_0_401,0.401,,,,
E21_3_758,,3.758,,,
E55_1_754,,,,1.754,
