PseudoTime1,PseudoTime2,PseudoTime3,PseudoTime4,PseudoTime5
E139_2_856,79.0627101429955,NA,NA,NA,NA
E109_2_956,NA,69.9821517870224,NA,NA,NA
E68_3_106,NA,NA,48.6371622194339,NA,NA
E138_3_257,46.038330560382,NA,NA,NA,NA
E45_4_459,NA,NA,57.1968804523065,NA,NA
E63_3_557,50.2023865594694,NA,NA,NA,NA
E51_4_81,50.9128636256979,NA,NA,NA,NA
E53_1_553,NA,NA,59.2461404337061,NA,NA
E149_1_453,28.1001557994546,NA,NA,NA,NA
E76_2_054,NA,75.1567372621688,NA,NA,NA
E60_3_858,NA,45.6959386467923,NA,NA,NA
E65_4_459,54.0025800465624,NA,NA,NA,NA
E84_3_006,NA,NA,74.2963895505356,NA,NA
E41_0_501,12.0554789690392,NA,10.8332452078115,NA,NA
E114_3_357,NA,NA,70.7317493621624,NA,NA
E89_4_81,NA,61.9332506023265,NA,NA,NA
E115_1_052,50.9128636256979,NA,NA,NA,NA
E140_0_1,4.20001889587062,9.4989924222621,2.5137811243644,8.43246447118074,8.66981174222813
E81_3_958,44.6263130336307,NA,NA,NA,NA
E58_1_303,NA,43.8999791525787,NA,NA,NA
E34_2_305,NA,NA,NA,58.5787047618611,NA
E43_3_958,NA,NA,73.4101290538764,NA,NA
E19_1_152,37.2524566984676,NA,NA,NA,NA
E35_3_858,NA,NA,NA,NA,52.3618872769401
E126_0_551,0,0,0,0,0
E122_1_453,NA,32.4213346382789,NA,NA,NA
E89_3_457,NA,65.4894716923439,NA,NA,NA
E21_2_355,NA,NA,44.1358273115599,NA,NA
E78_4_309,NA,57.7542173302894,NA,NA,NA
E120_1_904,39.2174011155989,NA,NA,NA,NA
E125_3_156,55.9207942010498,NA,NA,NA,NA
E115_0_451,14.8838213384963,NA,10.8906956577518,NA,NA
E78_0_501,13.4547733612031,NA,NA,NA,NA
E131_3_257,NA,NA,48.7187537941812,NA,NA
E6_2_505,53.1526897208464,NA,NA,NA,NA
E24_4_058,NA,NA,61.4209782408387,NA,NA
E32_4_058,NA,NA,NA,58.142689939456,NA
E127_4_008,NA,NA,66.5866135997221,NA,NA
E59_4_509,NA,63.3913778476935,NA,NA,NA
E4_0_401,NA,NA,NA,22.0790271350582,21.6869106905273
E48_3_307,NA,NA,48.2748355905809,NA,NA
E50_0_301,11.6051477257086,2.73516129964769,9.1771812833276,2.7166981552146,2.78945184041608
E94_1_553,NA,NA,76.0595757555777,NA,NA
E55_4_91,NA,69.8169233928549,NA,NA,NA
E37_2_405,44.5632625774592,NA,NA,NA,NA
E18_2_555,NA,66.3546989000795,NA,NA,NA
E54_2_856,51.057770301129,NA,NA,NA,NA
E121_0_2,12.3000368030154,2.92678837734325,9.28975800215995,2.91406490566444,2.95376862460512
E35_3_056,NA,NA,NA,NA,50.4327301202468
E21_2_154,NA,NA,76.3105024546165,NA,NA
E122_3_758,NA,27.0957724864671,NA,NA,NA
E65_0_1,5.62643263351047,8.63169433281208,3.22655490224798,8.84840180348308,8.86601768607214
E4_0_451,NA,NA,NA,21.8054140569481,21.4060583888791
E67_2_505,52.2934648452712,NA,NA,NA,NA
E88_3_457,NA,NA,58.6078818210166,NA,NA
E113_1_403,45.035185282242,NA,NA,NA,NA
E70_4_309,NA,36.5096969676265,NA,NA,NA
E140_1_904,26.6424612032072,NA,NA,NA,NA
E126_2_956,NA,72.7829157131991,NA,NA,NA
E138_1_503,57.7541360725693,NA,NA,NA,NA
E75_3_307,NA,NA,71.284507255338,NA,NA
E1_1_403,43.6695397424016,NA,NA,NA,NA
E134_2_255,NA,NA,NA,57.7252774626202,NA
E56_4_309,63.6004622730818,NA,NA,NA,NA
E73_0_451,23.506637843675,NA,NA,NA,NA
E104_1_303,NA,75.8287699276727,NA,NA,NA
E87_0_251,8.3829744259575,4.95695896262984,3.89938728291164,5.26236931864971,5.31710740678793
E123_3_707,71.7401337903287,NA,NA,NA,NA
E97_1_954,NA,75.560089589509,NA,NA,NA
E53_3_808,NA,NA,33.0939574516162,NA,NA
E54_0_251,7.26133921139928,5.29669529143937,3.6997183898311,5.69308394297042,5.7276599869131
E73_0_401,23.4653311060285,NA,NA,NA,NA
E104_2_455,NA,61.1154319142992,NA,NA,NA
E128_4_208,NA,51.125866260786,NA,NA,NA
E144_3_006,NA,NA,37.9382802032937,NA,NA
E77_3_557,NA,49.411294751387,NA,NA,NA
E86_1_804,NA,NA,14.0449481701956,NA,NA
E33_1_703,NA,70.610653302425,NA,NA,NA
E71_0_251,0,0,8.22366485774434,0,0
E141_2_906,NA,67.0719698864157,NA,NA,NA
E145_4_509,NA,NA,79.1958248232823,NA,NA
E30_0_05,5.77443108083744,12.0462859461727,NA,11.9418438643986,12.0583990811809
E52_1_954,NA,52.5646805878477,NA,NA,NA
E64_0_501,NA,NA,14.0122846800676,NA,NA
E149_0_601,18.5463307170442,NA,NA,NA,NA
E91_3_507,NA,67.6504383327039,NA,NA,NA
E14_2_655,NA,NA,34.135324980814,NA,NA
E107_4_058,NA,NA,NA,NA,53.2095327141998
E140_3_357,43.6553268858061,NA,NA,NA,NA
E33_1_804,NA,71.1897825873541,NA,NA,NA
E136_4_96,36.0951900514733,NA,NA,NA,NA
E142_1_754,58.5862051411131,NA,NA,NA,NA
E61_0_05,NA,13.6987362175514,NA,11.1964219548529,11.7789240865533
E61_2_705,NA,44.8266269001852,NA,NA,NA
E2_0_952,38.2924045597511,NA,NA,NA,NA
E52_4_659,NA,53.9412244060758,NA,NA,NA
E104_0_1,1.85439244386203,1.7785879072256,1.70480654893556,1.81916512421929,1.80735373868977
E64_4_259,NA,59.0070042199321,NA,NA,NA
E74_3_156,NA,75.8287699276727,NA,NA,NA
E131_4_259,NA,NA,35.0806440852802,NA,NA
E32_4_008,NA,NA,NA,62.0826118568008,NA
E61_3_908,NA,75.585329868888,NA,NA,NA
E88_0_952,NA,NA,28.4428660592176,NA,NA
E58_2_004,NA,64.064405428064,NA,NA,NA
E87_2_906,54.1007823048124,NA,NA,NA,NA
E96_0_852,51.1102974357218,NA,NA,NA,NA
