PseudoTime1,PseudoTime2
E113_4_409,138.233487112888,NA
E66_4_459,90.3581341292716,NA
E126_4_81,86.6696539113862,NA
E84_3_156,NA,72.9306492626977
E116_1_453,55.7061296658352,NA
E95_1_904,96.1525314016493,NA
E99_0_451,NA,39.6487868387725
E23_4_559,80.0662486497331,NA
E4_1_052,45.766857332184,NA
E89_4_609,NA,76.8002268306143
E118_3_156,137.606355820257,NA
E15_3_307,78.3615435123184,NA
E74_4_91,108.087071757348,NA
E72_0_952,NA,61.7541594155592
E72_3_557,NA,78.6228381128354
E149_2_204,58.5401889391196,NA
E22_1_503,27.2212072045397,20.5417552799238
E37_0_852,NA,49.6981059598781
E16_3_607,123.540539028386,NA
E128_1_453,51.9477286346529,NA
E54_4_76,92.0300697332162,NA
E35_1_202,52.5077061821158,NA
E38_3_908,115.730238307471,NA
E10_0_451,NA,38.5418153133834
E26_2_004,45.0868324849003,NA
E60_4_76,96.9372350766714,NA
E117_1_503,43.0107816971341,NA
E75_2_956,119.406584127552,NA
E70_4_409,NA,79.7264374424326
E61_4_259,NA,85.7743828322205
E69_4_409,124.133222214283,NA
E14_1_703,48.3345104413136,NA
E104_1_303,NA,73.2764719824973
E15_3_707,124.10986136362,NA
E45_4_91,100.074766318679,NA
E29_0_752,24.8243396196578,19.4339519066171
E9_0_651,12.4321393217634,14.7528631059496
E13_3_056,NA,74.7988788209056
E28_3_156,138.233487112888,NA
E38_2_605,98.6380556031662,NA
E28_2_204,31.8475352825913,NA
E90_1_453,95.5724208566652,NA
E64_4_409,90.1724645693191,NA
E77_1_102,21.6383846972388,18.810021539711
E65_4_108,83.5703290627024,NA
E72_3_156,NA,75.739391015223
E17_1_653,33.1459653154652,NA
E94_2_505,NA,61.0070044191198
E38_2_405,109.359084448413,NA
E119_1_904,118.672144978327,NA
E103_4_259,NA,84.2031485585353
E10_1_052,46.3051264428538,NA
E46_3_056,58.0982188432071,NA
E16_3_908,103.256417270447,NA
E8_1_703,43.6081730204072,NA
E127_0_601,14.0506234741345,15.0639712198519
E86_3_808,81.6600090008881,NA
E91_3_657,138.233487112888,NA
E51_1_754,NA,69.0762211096021
E39_0_701,22.2895530513338,16.6653735410867
E63_1_503,NA,82.3034791718008
E15_2_154,29.514016519136,17.0711752449471
E66_3_607,121.293474732439,NA
E24_3_908,NA,76.0743593902009
E89_4_208,NA,89.761658599707
E21_2_004,NA,67.3630501520305
E135_3_607,114.784150078604,NA
E135_1_353,21.1914273721157,16.8188003410815
E61_3_206,NA,78.8691837511483
E28_3_056,66.8547479483202,NA
E138_2_154,36.900965463183,NA
E130_2_455,NA,76.8260523919516
E117_3_557,135.876236899343,NA
E44_2_355,77.9737925926946,NA
E42_4_709,96.4894684459494,NA
E101_4_309,103.820334865937,NA
E44_0_802,21.0704942802157,17.0407387794794
E2_0_701,NA,47.7440823434134
E29_2_405,131.815447105887,NA
E19_0_902,44.6470003751624,NA
E118_2_004,32.6836053668624,NA
E90_3_808,76.451594741516,NA
E26_0_601,NA,50.0152057997612
E56_1_754,NA,80.2756560001656
E23_3_758,117.234481611386,NA
E69_4_86,95.0841063352743,NA
E95_2_305,77.3110861868356,NA
E120_1_754,62.7335636124962,NA
E25_2_004,35.507510547379,NA
E9_2_004,138.233487112888,NA
E137_4_659,120.714012578772,NA
E56_2_505,NA,77.0018119627328
E46_1_303,22.3306985855986,22.5704630237499
E79_2_956,138.083804065106,NA
E14_1_653,35.8925650979783,NA
E2_3_507,NA,84.1443715730028
E115_4_309,NA,88.9580482059866
E95_0_802,27.3397140801302,16.0513170766175
E123_2_255,76.2851848775162,NA
E91_3_156,90.5463274970172,NA
E86_4_208,91.8409591682721,NA
E29_1_353,51.0031362459261,NA
E120_1_453,50.8290800397533,NA
E100_3_307,91.2200194328305,NA
E78_1_152,27.7206449648604,20.6477272326213
E19_1_553,66.7456861319133,NA
E26_1_854,44.0736571211864,NA
E59_2_505,113.078349789937,NA
E29_3_557,125.818916948454,NA
E111_0_752,NA,46.995280778859
E36_1_453,21.7729887161993,22.3530545798116
E89_3_657,NA,69.6882022026847
E7_4_659,89.2086391109506,NA
E39_3_958,114.660666886995,NA
E46_2_906,52.4980730810458,NA
E78_2_756,76.018845621827,NA
E113_4_259,94.3016250446589,NA
E125_1_202,43.0365209034225,NA
E135_4_96,99.3732864366937,NA
E128_2_655,109.668078215615,NA
E108_2_305,64.6254711448012,NA
E63_0_05,0,0
E149_4_509,87.2790071433946,NA
E147_2_705,91.8595896364997,NA
E53_0_351,12.528440731074,13.4031870763763
E114_4_81,NA,84.4052630251006
E143_3_457,NA,85.011211880084
E27_1_052,NA,62.7794440944196
E80_1_854,NA,72.5250894412831
E36_0_952,NA,59.2988902377609
E3_3_307,NA,80.0825282498481
E138_4_559,95.7958500754092,NA
E54_1_553,59.4637411596053,NA
E113_3_357,85.3825826307969,NA
E79_4_359,101.454293632397,NA
E139_0_0,NA,0
E121_0_952,26.1221712814399,16.9401032994773
E101_3_257,91.0588567357128,NA
E117_2_655,89.7417195247646,NA
E106_3_858,138.233487112888,NA
E31_0_1,0,0
E66_4_559,91.318170573367,NA
E144_2_104,114.540590989882,NA
E96_4_309,82.5291416163195,NA
E36_2_204,25.4844190074898,18.9312197400648
E25_1_152,23.1233555599024,22.2359501258089
E19_4_309,103.41086003982,NA
E114_4_359,NA,80.0967528748705
E73_2_655,113.212499505847,NA
E145_3_908,124.304201355794,NA
E28_4_208,116.897779837655,NA
E101_4_108,116.763023510033,NA
E122_1_653,28.8046725077922,19.3707760625836
E5_0_351,NA,37.523813547488
E85_1_653,NA,60.2948677174068
E16_3_758,104.798896131733,NA
E75_4_81,103.459577629661,NA
E100_3_557,91.0154315806728,NA
E73_3_457,127.518016832857,NA
E128_3_958,98.7158159299521,NA
E54_0_752,45.9216588703725,NA
E98_4_309,86.1297832564443,NA
E97_2_856,120.02562587625,NA
E50_0_601,22.0484799750925,16.9925521715375
E69_0_701,22.9031795991942,16.9925521715375
E138_4_709,97.1871054422053,NA
E125_0_752,25.1708820959291,16.7380519669887
E92_2_004,79.848164907991,NA
E146_0_902,41.1350755691106,NA
E118_3_307,131.282596002654,NA
E96_1_253,45.1783294834769,NA
E65_0_601,6.63343035192654,31.5881336228921
E140_3_657,NA,89.761658599707
E10_4_91,97.4435586399811,NA
E142_3_507,125.174785128083,NA
E147_1_052,40.6822138113204,NA
E33_4_459,100.48722611489,NA
E107_0_952,41.123977630886,NA
E109_3_707,65.7729353918547,NA
E88_3_006,138.233487112888,NA
E26_1_102,27.6541715243155,21.2839216540564
E10_3_758,118.976416777941,NA
E142_4_008,112.037754502872,NA
E39_1_553,47.7878738750621,NA
E50_1_253,55.9010133414034,NA
E87_1_303,NA,75.4000207978672
E130_0_802,NA,51.0463825338838
E48_0_752,8.95903701549762,32.2937827263688
E91_4_86,124.330568915735,NA
E124_4_459,118.657788616281,NA
E33_4_86,91.9654617479544,NA
E137_3_206,104.158590969153,NA
E118_4_208,104.244059038693,NA
E142_4_86,114.074400297952,NA
E103_3_808,NA,88.1612753000932
E126_2_255,74.5265286999566,NA
E123_4_609,120.753875859891,NA
E144_1_102,31.9102646306258,NA
E146_0_752,24.0358811914083,16.0874379344492
E116_0_501,6.21766176484082,30.4759759069575
E46_4_008,138.233487112888,NA
E129_1_954,NA,80.9042430873303
E50_2_555,119.267546636623,NA
E144_0_551,NA,38.6806876375672
E65_3_357,89.6826667020118,NA
E148_4_459,122.860340429095,NA
E11_2_455,NA,86.1497112843028
E9_1_804,62.4240859348639,NA
E142_3_758,117.5424824501,NA
E80_1_553,NA,49.2149569919843
E59_3_808,120.219879760533,NA
E7_2_756,67.1314522742817,NA
E60_2_054,101.787518755992,NA
E121_1_002,27.5369351444628,18.370260582637
E11_4_259,NA,73.1534612376802
E20_4_659,125.908363424378,NA
E1_0_301,NA,33.9615166878732
E100_0_351,NA,33.9405893290257
E84_3_958,NA,87.4427492642964
E6_1_453,30.1140381926045,19.3105830802143
E136_4_86,92.6401654694274,NA
E126_3_958,122.497850763814,NA
E121_1_353,31.9562178576814,NA
E36_2_906,96.0115168624191,NA
E72_3_257,NA,77.9166100988301
E123_2_806,114.933896397827,NA
E30_1_202,24.5305569416392,20.862461871206
E110_0_251,NA,40.5211349527427
E103_1_253,NA,62.17530314864
E44_4_309,134.029157327252,NA
E39_4_409,101.834506393317,NA
