,PseudoTime0,PseudoTime1
E142_3_908,,3.908
E12_0_651,,0.651
E122_3_407,,3.407
E5_4_559,,4.559
E92_1_653,,1.653
E58_1_703,1.703,
E104_4_76,4.76,
E18_2_004,,2.004
E91_1_754,,1.754
E96_3_156,,3.156
E100_0_551,,0.551
E105_3_307,3.307,
E128_1_854,,1.854
E131_2_705,2.705,
E60_3_257,,3.257
E114_3_908,3.908,
E37_2_655,2.655,
E1_2_305,,2.305
E78_1_703,,1.703
E149_2_104,,2.104
E45_2_856,,2.856
E107_4_259,,4.259
E142_0_0,,0.0
E90_1_904,,1.904
E11_4_259,4.259,
E21_3_707,3.707,
E105_4_158,4.158,
E67_3_056,,3.056
E86_3_457,,3.457
E38_3_206,,3.206
E10_3_156,,3.156
E8_0_15,,0.15
E9_1_002,,1.002
E5_3_507,,3.507
E65_1_854,,1.854
E31_3_507,,3.507
E40_1_854,,1.854
E111_4_659,4.659,
E108_4_659,,4.659
E31_3_808,,3.808
E111_0_701,0.701,
E35_3_707,,3.707
E44_1_653,,1.653
E81_4_158,,4.158
E135_1_303,,1.303
E46_1_202,,1.202
E144_1_804,,1.804
E54_4_259,,4.259
E69_3_607,,3.607
E101_0_0,,0.0
E46_0_401,,0.401
E40_1_152,,1.152
E3_1_653,1.653,
E28_2_204,,2.204
E34_0_852,0.852,
E52_2_405,,2.405
E136_4_208,,4.208
E42_2_154,,2.154
E32_3_808,,3.808
E81_4_609,,4.609
E45_0_0,,0.0
E129_4_359,4.359,
E108_3_156,,3.156
E20_4_96,,4.96
E58_3_507,3.507,
E69_3_758,,3.758
E129_4_409,4.409,
E84_4_76,4.76,
E10_3_407,,3.407
E63_1_353,1.353,
E17_1_102,,1.102
E35_1_553,,1.553
E71_3_257,,3.257
E100_4_359,,4.359
E82_4_659,,4.659
E105_1_102,1.102,
E32_2_956,,2.956
E36_1_453,,1.453
E128_3_457,,3.457
E91_3_056,,3.056
E86_3_307,,3.307
E42_2_856,,2.856
E147_0_551,,0.551
E32_2_806,,2.806
E149_2_004,,2.004
E19_0_551,,0.551
E37_3_407,3.407,
E99_4_86,4.86,
E24_2_405,2.405,
E130_4_659,4.659,
E4_4_81,,4.81
E14_2_605,,2.605
E21_1_503,1.503,
E76_0_2,,0.2
E145_1_152,,1.152
E143_2_856,2.856,
E21_2_104,2.104,
E92_2_856,,2.856
E29_0_15,,0.15
E147_0_1,,0.1
E105_2_555,2.555,
E40_3_407,,3.407
E103_4_91,4.91,
E92_3_156,,3.156
E110_4_459,,4.459
E63_4_158,4.158,
E148_1_653,,1.653
E74_0_601,,0.601
E11_1_453,1.453,
E53_3_557,,3.557
E121_4_359,,4.359
E16_1_403,,1.403
E112_0_401,,0.401
E39_0_0,,0.0
E143_3_206,3.206,
E81_2_455,,2.455
E121_4_509,,4.509
E142_2_555,,2.555
E90_3_958,,3.958
E46_2_705,,2.705
E13_0_802,0.802,
E0_0_701,,0.701
E98_3_307,,3.307
E15_2_956,,2.956
E95_2_956,,2.956
E113_2_806,,2.806
E114_0_05,0.05,
E16_1_754,,1.754
E13_4_91,4.91,
E37_0_701,0.701,
E57_1_403,,1.403
E109_1_553,,1.553
E17_0_501,,0.501
E25_1_553,,1.553
E82_0_902,,0.902
E124_1_553,,1.553
E107_1_503,,1.503
E125_4_158,,4.158
E50_2_455,,2.455
E72_0_902,0.902,
E113_2_605,,2.605
E7_4_108,,4.108
E51_0_551,0.551,
E71_1_553,,1.553
E147_2_004,,2.004
E125_1_804,,1.804
E149_4_309,,4.309
E33_1_603,,1.603
E45_2_004,,2.004
E23_4_86,,4.86
E87_0_0,0.0,
E69_2_154,,2.154
E44_0_752,,0.752
E33_0_902,,0.902
E64_1_804,,1.804
E90_4_559,,4.559
E94_4_91,,4.91
E108_1_804,,1.804
E82_3_457,,3.457
E5_3_407,,3.407
E121_2_655,,2.655
E94_4_058,,4.058
E25_0_301,,0.301
E101_2_605,,2.605
E45_0_451,,0.451
E139_4_609,,4.609
E35_4_259,,4.259
E39_4_309,,4.309
E80_3_607,3.607,
E20_2_405,,2.405
E10_0_701,,0.701
E33_1_453,,1.453
E62_3_056,3.056,
E126_0_952,,0.952
E101_1_102,,1.102
E30_4_76,,4.76
E131_1_804,1.804,
E148_2_355,,2.355
E16_0_651,,0.651
E29_0_952,,0.952
E2_3_808,3.808,
E23_2_655,,2.655
E47_4_108,,4.108
E95_4_208,,4.208
E127_4_008,,4.008
E80_0_802,0.802,
E23_4_158,,4.158
E57_1_152,,1.152
E76_3_657,,3.657
E48_3_407,,3.407
E92_1_854,,1.854
E99_0_902,0.902,
E52_1_102,,1.102
E80_0_752,0.752,
E19_2_305,,2.305
E48_3_307,,3.307
E53_1_152,,1.152
E136_0_301,,0.301
E8_1_954,,1.954
E60_1_854,,1.854
E135_3_607,,3.607
E78_4_96,,4.96
E83_1_553,,1.553
E102_1_002,,1.002
E96_4_76,,4.76
E47_0_852,,0.852
E6_1_303,,1.303
E60_0_15,,0.15
E44_2_004,,2.004
E39_2_305,,2.305
E130_3_858,3.858,
E0_3_607,,3.607
E49_0_752,,0.752
E123_4_309,,4.309
E62_2_004,2.004,
E29_0_802,,0.802
E136_3_056,,3.056
E117_0_251,,0.251
E56_0_301,0.301,
E48_3_106,,3.106
E3_4_659,4.659,
E25_2_305,,2.305
E120_0_752,,0.752
E69_2_455,,2.455
E137_0_2,,0.2
E84_0_952,0.952,
E143_0_952,0.952,
E34_3_958,3.958,
E74_2_104,,2.104
E21_0_401,0.401,
E33_4_108,,4.108
E26_1_303,,1.303
E114_2_204,2.204,
E108_4_96,,4.96
E69_4_058,,4.058
E29_2_004,,2.004
E149_0_05,,0.05
E14_4_058,,4.058
E11_1_703,1.703,
E16_4_96,,4.96
E135_1_954,,1.954
E45_3_156,,3.156
E69_3_557,,3.557
E32_0_401,,0.401
E113_0_952,,0.952
E119_3_858,,3.858
E97_0_1,,0.1
E68_0_301,,0.301
E103_4_509,4.509,
E33_4_659,,4.659
E63_4_359,4.359,
E138_2_104,,2.104
E111_0_2,0.2,
E125_1_052,,1.052
E137_0_551,,0.551
E16_3_407,,3.407
E81_0_15,,0.15
E21_0_852,0.852,
E56_3_106,3.106,
E145_1_653,,1.653
E68_4_409,,4.409
E6_4_659,,4.659
E121_2_305,,2.305
E146_2_956,,2.956
E88_2_104,,2.104
E128_4_309,,4.309
E112_3_307,,3.307
E139_3_557,,3.557
E7_3_758,,3.758
E77_2_555,,2.555
E43_1_553,1.553,
E96_2_054,,2.054
E40_2_154,,2.154
E94_3_156,,3.156
E118_2_204,,2.204
E66_4_559,,4.559
E74_1_804,,1.804
E132_0_401,,0.401
E136_0_601,,0.601
E129_2_956,2.956,
E45_1_052,,1.052
E50_1_403,,1.403
E101_3_557,,3.557
E105_0_401,0.401,
E40_0_902,,0.902
E50_4_709,,4.709
E60_0_451,,0.451
E86_4_709,,4.709
E78_2_054,,2.054
E90_3_457,,3.457
E31_2_104,,2.104
E68_3_006,,3.006
E112_3_707,,3.707
E107_3_808,,3.808
E52_4_158,,4.158
E144_1_553,,1.553
E28_4_76,,4.76
E106_4_86,,4.86
E76_0_852,,0.852
E83_4_96,,4.96
E118_1_954,,1.954
E61_1_353,1.353,
E17_2_806,,2.806
E4_1_954,,1.954
E45_3_206,,3.206
E122_2_605,,2.605
E120_3_357,,3.357
E107_4_409,,4.409
E128_2_405,,2.405
E61_1_253,1.253,
E142_1_503,,1.503
E108_4_559,,4.559
E78_3_257,,3.257
E1_3_958,,3.958
E115_3_908,3.908,
E61_4_058,4.058,
E95_3_607,,3.607
E33_0_651,,0.651
E26_3_357,,3.357
E25_2_605,,2.605
E82_3_908,,3.908
E5_2_204,,2.204
E84_2_555,2.555,
E14_2_806,,2.806
E131_3_457,3.457,
E133_0_501,0.501,
E146_4_008,,4.008
E133_0_2,0.2,
E126_3_457,,3.457
E133_4_559,4.559,
E46_3_758,,3.758
E95_3_206,,3.206
E69_0_902,,0.902
E80_2_856,2.856,
E29_2_605,,2.605
E11_1_954,1.954,
E57_0_551,,0.551
E141_4_91,,4.91
E60_1_553,,1.553
E100_2_405,,2.405
E122_3_307,,3.307
E20_3_557,,3.557
E108_3_056,,3.056
E52_1_202,,1.202
E60_3_156,,3.156
E95_4_659,,4.659
E82_2_705,,2.705
E93_0_401,,0.401
E121_0_451,,0.451
E112_4_108,,4.108
E103_1_653,1.653,
E123_3_307,,3.307
E40_3_056,,3.056
E22_3_607,,3.607
E134_1_253,1.253,
E49_0_351,,0.351
E101_4_659,,4.659
E63_0_251,0.251,
E81_1_553,,1.553
E8_1_553,,1.553
E92_4_158,,4.158
E43_0_401,0.401,
E94_4_559,,4.559
E58_2_054,2.054,
E12_4_86,,4.86
E115_1_403,1.403,
E39_0_551,,0.551
E101_4_359,,4.359
E44_4_509,,4.509
E101_1_603,,1.603
E104_2_154,2.154,
E111_2_455,2.455,
E37_3_006,3.006,
E31_0_952,,0.952
E140_3_557,3.557,
E37_0_05,0.05,
E111_1_653,1.653,
E144_1_754,,1.754
E127_4_96,,4.96
E5_0_251,,0.251
E82_3_307,,3.307
E107_3_657,,3.657
E134_2_204,2.204,
E112_1_603,,1.603
E135_4_409,,4.409
E132_0_301,,0.301
E56_0_701,0.701,
E130_2_956,2.956,
E44_0_802,,0.802
E82_3_808,,3.808
E124_4_76,,4.76
E85_4_359,4.359,
E0_2_455,,2.455
E68_1_052,,1.052
E20_4_659,,4.659
E68_4_709,,4.709
E53_2_255,,2.255
E125_4_359,,4.359
E147_0_301,,0.301
E147_3_407,,3.407
E56_3_457,3.457,
E101_2_054,,2.054
E3_1_353,1.353,
E17_2_655,,2.655
E59_3_707,,3.707
E83_4_008,,4.008
E72_0_251,0.251,
E81_4_108,,4.108
E15_4_309,,4.309
E105_0_15,0.15,
E64_0_501,,0.501
E11_2_104,2.104,
E113_4_309,,4.309
E73_3_607,,3.607
E120_1_453,,1.453
