,PseudoTime0,PseudoTime1
E149_4_559,,4.559
E90_3_758,,3.758
E130_1_954,1.954,
E130_2_906,2.906,
E98_3_457,,3.457
E66_2_455,,2.455
E98_0_551,,0.551
E123_1_152,1.152,
E99_1_854,,1.854
E113_4_259,,4.259
E141_0_752,0.752,
E114_2_505,,2.505
E9_1_453,,1.453
E17_2_705,2.705,
E134_0_351,,0.351
E130_0_15,0.15,
E120_0_351,,0.351
E93_2_255,,2.255
E47_3_056,,3.056
E117_0_651,0.651,
E87_2_655,,2.655
E100_4_96,4.96,
E48_2_555,2.555,
E49_0_251,,0.251
E39_2_705,2.705,
E114_4_609,,4.609
E101_3_457,,3.457
E74_0_401,,0.401
E134_1_503,,1.503
E77_0_0,,0.0
E37_3_106,3.106,
E98_1_904,,1.904
E123_3_657,3.657,
E11_2_806,2.806,
E125_0_05,0.05,
E128_4_309,4.309,
E125_2_856,2.856,
E69_4_459,4.459,
E19_2_104,2.104,
E50_4_259,4.259,
E97_4_409,,4.409
E144_2_104,,2.104
E118_0_501,0.501,
E57_0_952,,0.952
E59_3_106,3.106,
E13_2_204,2.204,
E65_1_754,,1.754
E73_1_904,,1.904
E65_3_607,,3.607
E98_2_204,,2.204
E141_1_603,1.603,
E31_0_2,,0.2
E128_0_501,0.501,
E74_4_76,,4.76
E34_2_154,,2.154
E17_2_505,2.505,
E20_2_756,2.756,
E129_4_008,,4.008
E72_4_108,4.108,
E137_2_104,2.104,
E59_1_754,1.754,
E1_2_956,,2.956
E47_4_659,,4.659
E63_1_854,1.854,
E75_4_659,4.659,
E20_0_301,0.301,
E112_3_607,,3.607
E138_4_259,4.259,
E57_0_451,,0.451
E67_4_309,4.309,
E112_2_305,,2.305
E22_4_409,4.409,
E57_4_359,,4.359
E101_1_403,,1.403
E77_2_906,,2.906
E95_3_557,,3.557
E96_3_958,,3.958
E134_3_707,,3.707
E35_1_904,1.904,
E9_0_501,,0.501
E47_2_455,,2.455
E97_0_501,,0.501
E137_4_86,4.86,
E127_4_609,4.609,
E129_3_357,,3.357
E116_1_403,,1.403
E37_3_407,3.407,
E49_4_76,,4.76
E6_4_609,4.609,
E87_1_453,,1.453
E86_2_305,,2.305
E72_0_15,0.15,
E71_3_958,,3.958
E76_1_503,,1.503
E74_2_756,,2.756
E94_3_607,3.607,
E82_2_405,,2.405
E40_2_455,2.455,
E94_1_754,1.754,
E69_3_357,3.357,
E31_1_403,,1.403
E128_1_904,1.904,
E127_1_603,1.603,
E130_2_705,2.705,
E117_1_954,1.954,
E39_3_657,3.657,
E26_3_758,,3.758
E67_3_257,3.257,
E82_2_104,,2.104
E96_3_206,,3.206
E25_0_701,,0.701
E42_2_104,,2.104
E14_1_303,,1.303
E146_2_405,2.405,
E82_1_353,,1.353
E90_1_403,,1.403
E69_0_501,0.501,
E132_4_359,,4.359
E73_3_858,,3.858
E139_4_96,4.96,
E149_0_05,,0.05
E131_4_409,4.409,
E17_4_76,4.76,
E32_2_104,2.104,
E120_2_605,,2.605
E85_3_407,,3.407
E89_4_91,,4.91
E0_1_603,,1.603
E100_1_102,1.102,
E64_0_0,,0.0
E27_0_802,0.802,
E125_0_0,0.0,
E130_1_854,1.854,
E57_3_407,,3.407
E2_2_956,2.956,
E41_4_86,,4.86
E134_3_156,,3.156
E129_0_752,,0.752
