,PseudoTime0,PseudoTime1
E5_1_762,,1.762
E14_0_801,0.801,
E140_2_643,,2.643
E118_6_168,,6.168
E56_3_765,3.765,
E95_4_406,4.406,
E10_3_044,3.044,
E27_2_243,,2.243
E20_4_486,4.486,
E85_0_0,0.0,
E147_1_602,1.602,
E144_5_207,,5.207
E68_2_563,2.563,
E76_0_721,,0.721
E92_5_767,,5.767
E86_5_287,5.287,
E34_7_289,,7.289
E11_5_847,,5.847
E23_0_641,0.641,
E78_2_323,2.323,
E95_3_524,3.524,
E102_5_527,5.527,
E115_1_121,,1.121
E104_0_16,0.16,
E129_2_163,2.163,
E1_4_406,,4.406
E119_5_927,,5.927
E52_4_566,,4.566
E54_7_69,7.69,
E125_6_809,,6.809
E0_0_801,0.801,
E7_5_607,5.607,
E14_3_685,3.685,
E54_1_041,1.041,
E32_1_522,1.522,
E31_3_204,3.204,
E97_6_248,6.248,
E3_2_563,,2.563
E94_2_964,,2.964
E69_4_566,,4.566
E87_1_922,,1.922
E119_4_406,,4.406
E30_0_721,,0.721
E23_1_842,1.842,
E106_1_041,1.041,
E147_4_005,4.005,
E104_3_765,3.765,
E73_7_129,,7.129
E149_0_561,,0.561
E31_0_801,0.801,
E97_2_723,2.723,
E61_4_646,4.646,
E99_6_248,6.248,
E115_5_367,,5.367
E98_2_884,,2.884
E35_5_607,,5.607
E12_3_925,,3.925
E142_3_845,,3.845
E10_6_969,6.969,
E76_2_884,,2.884
E33_5_607,5.607,
E77_2_964,,2.964
E69_7_449,,7.449
E101_3_364,,3.364
E14_2_003,2.003,
E28_4_245,4.245,
E15_5_687,5.687,
E33_0_801,0.801,
E67_7_289,7.289,
E138_5_287,5.287,
E101_4_646,,4.646
E115_0_561,,0.561
E28_5_046,5.046,
E122_2_723,,2.723
E40_6_809,,6.809
E141_4_245,4.245,
E79_0_16,0.16,
E20_0_961,0.961,
E101_3_524,,3.524
E104_4_165,4.165,
E76_2_483,,2.483
E86_7_69,7.69,
E56_5_767,5.767,
E89_7_129,,7.129
E47_2_403,2.403,
E18_2_163,,2.163
E20_6_488,6.488,
E3_1_602,,1.602
E74_3_685,3.685,
E8_1_922,,1.922
E26_6_488,6.488,
E115_7_93,,7.93
E110_1_922,1.922,
E143_6_809,,6.809
E18_5_687,,5.687
E64_2_403,2.403,
E83_1_362,,1.362
E5_5_927,,5.927
E86_2_563,2.563,
E21_3_765,3.765,
E136_4_486,4.486,
E16_2_884,,2.884
E62_2_723,2.723,
E30_7_449,,7.449
E115_2_563,,2.563
E23_6_248,6.248,
E67_5_367,5.367,
E40_0_961,,0.961
E52_1_041,,1.041
E39_3_605,3.605,
E124_3_044,3.044,
E87_0_32,,0.32
E84_4_005,4.005,
E97_4_245,4.245,
E58_4_406,,4.406
E52_0_481,,0.481
E56_3_605,3.605,
E120_0_32,,0.32
E6_3_364,3.364,
E105_7_289,7.289,
E97_2_964,2.964,
E119_1_442,,1.442
E122_6_969,,6.969
E93_1_442,,1.442
E132_6_889,6.889,
E63_6_088,6.088,
E142_4_806,,4.806
E99_5_447,5.447,
E11_0_32,,0.32
E44_4_486,4.486,
E13_1_842,1.842,
E105_3_284,3.284,
E100_7_529,7.529,
E107_5_927,5.927,
E125_0_08,,0.08
E147_1_041,1.041,
E116_5_046,5.046,
E55_2_003,,2.003
E71_1_602,,1.602
E146_7_69,,7.69
E109_7_69,,7.69
E63_7_61,7.61,
E63_4_165,4.165,
E10_1_202,1.202,
E121_4_085,4.085,
E123_0_401,0.401,
E121_2_723,2.723,
E4_1_362,,1.362
E96_7_529,,7.529
E102_6_728,6.728,
E58_5_126,,5.126
E59_7_049,,7.049
E132_4_245,4.245,
E37_4_566,,4.566
E29_1_682,,1.682
E92_0_961,,0.961
E108_0_721,,0.721
E124_4_566,4.566,
E14_2_403,2.403,
E0_5_767,5.767,
E144_1_762,,1.762
E14_7_209,7.209,
E21_3_524,3.524,
E12_5_607,,5.607
E0_0_481,0.481,
E144_3_605,,3.605
E104_7_129,7.129,
E143_5_687,,5.687
E32_2_163,2.163,
E5_3_524,,3.524
E109_1_922,,1.922
E132_2_163,2.163,
E53_3_044,3.044,
E6_1_282,1.282,
E14_2_643,2.643,
E121_6_809,6.809,
E57_3_685,,3.685
E36_1_282,1.282,
E117_6_328,,6.328
E117_2_003,,2.003
E56_4_886,4.886,
E54_6_008,6.008,
E95_4_886,4.886,
E67_3_605,3.605,
E92_6_889,,6.889
E109_7_129,,7.129
E121_1_842,1.842,
E39_0_641,0.641,
E5_7_449,,7.449
E64_2_643,2.643,
E126_5_767,5.767,
E72_5_126,,5.126
E99_6_889,6.889,
E76_0_08,,0.08
E58_4_966,,4.966
E59_3_845,,3.845
E87_7_449,,7.449
E118_7_209,,7.209
E143_5_767,,5.767
E20_7_049,7.049,
E114_4_886,,4.886
E116_3_524,3.524,
E43_4_806,,4.806
E10_1_442,1.442,
E18_4_245,,4.245
E28_6_889,6.889,
E116_1_682,1.682,
E21_7_529,7.529,
E142_5_607,,5.607
E52_7_77,,7.77
E63_4_726,4.726,
E146_6_168,,6.168
E57_7_049,,7.049
E16_6_488,,6.488
E140_5_126,,5.126
E148_0_801,0.801,
E92_6_168,,6.168
E114_1_041,,1.041
E69_5_126,,5.126
E21_6_408,6.408,
E9_5_927,5.927,
E121_6_648,6.648,
E0_3_284,3.284,
E84_7_69,7.69,
E113_6_408,,6.408
E12_7_77,,7.77
E61_4_726,4.726,
E2_4_406,4.406,
E108_6_648,,6.648
E14_6_248,6.248,
E74_4_646,4.646,
E54_1_362,1.362,
E0_4_165,4.165,
E27_4_406,,4.406
E21_6_969,6.969,
E44_2_323,2.323,
E24_1_442,,1.442
E48_4_406,4.406,
E100_6_969,6.969,
E98_0_961,,0.961
E117_1_362,,1.362
E135_3_765,3.765,
E78_6_648,6.648,
E112_1_522,,1.522
E58_0_24,,0.24
E25_6_328,,6.328
E27_2_403,,2.403
E27_4_245,,4.245
E126_6_088,6.088,
E5_6_008,,6.008
E89_4_245,,4.245
E55_4_886,,4.886
E76_3_605,,3.605
E121_7_289,7.289,
E62_6_809,6.809,
E119_6_168,,6.168
E57_4_005,,4.005
E101_0_481,,0.481
E114_7_529,,7.529
E89_6_969,,6.969
E98_6_809,,6.809
E29_5_207,,5.207
E9_0_881,0.881,
E7_5_287,5.287,
E65_5_046,,5.046
E18_7_369,,7.369
E38_1_362,1.362,
E149_4_966,,4.966
E141_7_77,7.77,
E9_7_449,7.449,
E110_6_488,6.488,
E131_5_367,,5.367
E86_4_566,4.566,
E59_6_328,,6.328
E137_6_809,,6.809
E15_2_804,2.804,
E126_4_406,4.406,
E135_3_044,3.044,
E55_2_483,,2.483
E14_2_483,2.483,
E70_6_408,,6.408
E26_4_966,4.966,
E127_5_607,5.607,
E97_7_209,7.209,
E59_2_804,,2.804
E11_0_961,,0.961
E28_7_369,7.369,
E9_4_325,4.325,
E121_1_282,1.282,
E9_5_607,5.607,
E26_5_046,5.046,
E5_0_32,,0.32
E44_1_682,1.682,
E71_0_801,,0.801
E106_1_682,1.682,
E87_3_765,,3.765
E33_5_046,5.046,
E13_3_685,3.685,
E103_0_481,,0.481
E146_7_77,,7.77
E0_2_964,2.964,
E38_7_289,7.289,
E123_1_842,1.842,
E109_2_483,,2.483
E135_0_561,0.561,
E3_7_209,,7.209
E2_2_163,2.163,
E45_5_687,,5.687
E41_6_328,,6.328
E28_4_085,4.085,
E26_4_566,4.566,
E135_7_77,7.77,
E76_3_765,,3.765
E74_0_641,0.641,
E89_7_77,,7.77
E128_1_041,,1.041
E100_0_08,0.08,
E41_0_961,,0.961
E3_4_966,,4.966
E89_2_163,,2.163
E64_5_447,5.447,
E113_5_126,,5.126
E92_0_24,,0.24
E18_0_641,,0.641
E14_6_488,6.488,
E2_4_165,4.165,
E149_4_726,,4.726
E88_3_444,,3.444
E9_5_767,5.767,
E20_3_364,3.364,
E37_1_362,,1.362
E147_3_204,3.204,
E3_3_605,,3.605
E119_5_687,,5.687
E9_2_003,2.003,
E138_5_447,5.447,
E118_7_93,,7.93
E119_7_129,,7.129
E31_2_083,2.083,
E32_3_524,3.524,
E102_5_046,5.046,
E98_5_287,,5.287
E96_0_0,,0.0
E128_1_202,,1.202
E133_4_005,,4.005
E113_3_845,,3.845
E43_0_561,,0.561
E111_5_126,5.126,
E138_7_129,7.129,
E59_0_801,,0.801
E138_4_165,4.165,
E109_6_168,,6.168
E13_6_648,6.648,
E94_4_245,,4.245
E53_3_845,3.845,
E129_6_008,6.008,
E119_0_641,,0.641
E122_2_243,,2.243
E68_0_08,0.08,
E103_3_044,,3.044
E97_5_847,5.847,
E108_3_925,,3.925
E103_1_202,,1.202
E94_5_847,,5.847
E53_7_93,7.93,
E106_2_964,2.964,
E53_7_369,7.369,
E142_2_003,,2.003
E20_6_809,6.809,
E98_0_16,,0.16
E51_0_08,0.08,
E72_4_165,,4.165
E143_4_566,,4.566
E101_6_568,,6.568
E120_4_245,,4.245
E58_0_32,,0.32
E38_7_129,7.129,
E52_4_726,,4.726
E132_1_442,1.442,
E42_2_163,2.163,
E81_6_889,6.889,
E32_4_966,4.966,
E50_0_32,0.32,
E43_0_481,,0.481
E143_5_447,,5.447
E84_3_364,3.364,
E98_1_121,,1.121
E113_5_367,,5.367
E147_5_847,5.847,
E25_0_0,,0.0
E95_2_964,2.964,
E108_1_282,,1.282
E76_7_61,,7.61
E99_0_08,0.08,
E71_5_046,,5.046
E102_7_289,7.289,
E71_4_005,,4.005
E144_1_922,,1.922
E98_7_85,,7.85
E126_2_243,2.243,
E76_4_726,,4.726
E91_7_049,7.049,
E52_4_646,,4.646
E34_2_243,,2.243
E42_0_481,0.481,
E66_5_287,5.287,
E133_1_442,,1.442
E131_0_801,,0.801
E35_2_163,,2.163
E67_2_403,2.403,
E2_6_168,6.168,
E56_0_721,0.721,
E4_6_248,,6.248
E1_1_602,,1.602
E81_7_449,7.449,
E24_1_041,,1.041
E138_7_93,7.93,
E89_4_806,,4.806
E142_6_168,,6.168
E118_4_165,,4.165
E12_0_561,,0.561
E6_7_93,7.93,
E85_0_961,0.961,
E50_6_008,6.008,
E9_7_69,7.69,
E62_0_801,0.801,
E18_0_0,,0.0
E106_2_723,2.723,
E147_6_809,6.809,
E12_4_085,,4.085
E39_7_61,7.61,
E74_1_602,1.602,
E142_5_527,,5.527
E99_3_284,3.284,
E9_5_527,5.527,
E1_5_847,,5.847
E27_6_889,,6.889
E141_5_126,5.126,
E56_4_165,4.165,
E54_7_289,7.289,
E0_2_163,2.163,
E3_0_481,,0.481
E110_4_646,4.646,
E144_2_243,,2.243
E85_3_284,3.284,
E32_3_845,3.845,
E42_6_889,6.889,
E45_1_282,,1.282
E29_1_202,,1.202
E127_7_529,7.529,
E109_2_163,,2.163
E115_2_643,,2.643
E68_1_522,1.522,
E42_2_804,2.804,
E27_6_008,,6.008
E71_1_762,,1.762
E85_5_207,5.207,
E8_3_925,,3.925
E92_5_447,,5.447
E21_6_248,6.248,
E138_2_163,2.163,
E77_1_522,,1.522
E84_2_643,2.643,
E79_1_282,1.282,
E74_1_362,1.362,
E97_4_566,4.566,
E70_6_248,,6.248
E126_2_483,2.483,
E21_3_444,3.444,
E15_3_284,3.284,
E33_0_641,0.641,
E135_3_284,3.284,
E72_3_685,,3.685
E69_6_809,,6.809
E52_2_243,,2.243
E101_4_486,,4.486
E70_1_282,,1.282
E54_6_809,6.809,
E59_1_282,,1.282
E23_4_486,4.486,
E70_6_568,,6.568
E28_4_966,4.966,
E0_6_568,6.568,
E21_4_646,4.646,
E82_5_927,,5.927
E108_2_563,,2.563
E117_4_886,,4.886
E20_4_085,4.085,
E40_1_041,,1.041
E18_0_881,,0.881
E36_3_044,3.044,
E58_7_449,,7.449
E111_6_969,6.969,
E147_6_088,6.088,
E12_4_886,,4.886
E135_0_881,0.881,
E38_6_809,6.809,
E142_7_61,,7.61
E47_6_809,6.809,
E64_5_767,5.767,
