,PseudoTime0,PseudoTime1,PseudoTime2
E76_7_77,7.77,,
E99_5_367,,,5.367
E54_3_925,3.925,,
E26_3_444,3.444,,
E46_7_61,,,7.61
E105_0_801,0.801,,
E65_6_568,6.568,,
E94_1_282,,1.282,
E49_5_607,5.607,,
E99_6_168,,,6.168
E9_2_083,,2.083,
E45_7_77,,7.77,
E142_7_449,,,7.449
E104_2_643,,2.643,
E46_4_966,,,4.966
E11_1_202,,1.202,
E113_1_442,,,1.442
E99_2_964,,,2.964
E45_0_24,,0.24,
E47_4_806,,,4.806
E1_7_77,,,7.77
E105_6_408,6.408,,
E123_5_847,,5.847,
E101_2_243,,2.243,
E40_5_527,5.527,,
E10_1_442,,,1.442
E31_5_767,,5.767,
E106_0_16,0.16,,
E64_7_369,7.369,,
E134_7_77,7.77,,
E110_4_406,,4.406,
E3_7_77,,7.77,
E47_4_886,,,4.886
E9_2_403,,2.403,
E144_3_364,3.364,,
E1_0_481,,,0.481
E130_0_721,,0.721,
E49_7_209,7.209,,
E67_2_163,,2.163,
E65_5_367,5.367,,
E1_6_248,,,6.248
E83_2_243,,,2.243
E107_5_687,,5.687,
E133_5_126,,5.126,
E28_6_488,,6.488,
E70_0_481,0.481,,
E17_5_847,,5.847,
E106_5_687,5.687,,
E34_5_607,5.607,,
E42_2_403,,,2.403
E7_6_969,6.969,,
E111_1_602,1.602,,
E125_2_163,2.163,,
E110_6_969,,6.969,
E34_2_243,2.243,,
E5_2_403,2.403,,
E5_7_369,7.369,,
E88_6_408,6.408,,
E12_4_486,4.486,,
E103_0_561,,0.561,
E21_2_804,2.804,,
E148_4_566,,4.566,
E87_0_961,0.961,,
E2_4_726,4.726,,
E124_6_809,6.809,,
E54_2_643,2.643,,
E62_4_646,,4.646,
E49_2_804,2.804,,
E9_4_566,,4.566,
E100_6_889,,6.889,
E118_0_881,0.881,,
E75_3_845,3.845,,
E128_5_447,,5.447,
E3_2_003,,2.003,
E147_4_005,,,4.005
E45_5_687,,5.687,
E17_5_527,,5.527,
E111_4_005,4.005,,
E70_4_966,4.966,,
E104_7_209,,7.209,
E121_6_969,,,6.969
E117_6_728,,6.728,
E121_7_449,,,7.449
E126_2_403,,2.403,
E76_5_527,5.527,,
E18_3_364,3.364,,
E54_2_403,2.403,,
E83_2_003,,,2.003
E68_2_723,,,2.723
E67_3_124,,3.124,
