	dim1	dim2
E0_0_0	31.338932	-13.220779
E0_0_1	29.324286	-10.848011
E0_0_2	25.409218	-11.56181
E0_0_3	28.756897	-11.211777
E0_0_4	30.739273	-14.152713
E0_0_5	30.916405	-11.7617035
E0_0_6	31.579136	-14.499791
E0_0_7	28.63465	-13.0358515
E0_0_8	26.899319	-8.451915
E0_0_9	25.681335	-13.762466
E0_0_10	28.879717	-12.732667
E0_0_11	28.889574	-8.217561
E0_0_12	31.977842	-11.321886
E0_0_13	25.808708	-12.283642
E0_0_14	30.862473	-11.709571
E0_0_15	26.40901	-10.593143
E0_0_16	28.12513	-13.160768
E0_0_17	28.539108	-8.602095
E0_0_18	29.409409	-12.281864
E0_0_19	27.796164	-11.060479
E0_0_20	27.57525	-13.797602
E0_0_21	28.546339	-15.062427
E0_0_22	31.224155	-11.435385
E0_0_23	30.077076	-9.776423
E0_0_24	26.89063	-14.600881
E0_0_25	32.12893	-15.119828
E0_0_26	32.267406	-14.724529
E0_0_27	28.712294	-10.647787
E0_0_28	28.079346	-13.65375
E0_0_29	30.802368	-11.493331
E0_0_30	27.681576	-10.213559
E0_0_31	31.811804	-9.664636
E0_0_32	30.391434	-8.176891
E0_0_33	32.278152	-12.250772
E0_0_34	25.00883	-12.874545
E0_0_35	33.49236	-13.254432
E0_0_36	28.98888	-15.699922
E0_0_37	31.710896	-9.584611
E0_0_38	25.28355	-10.445825
E0_0_39	32.01465	-13.018066
E0_0_40	31.797012	-12.48119
E0_0_41	26.47829	-12.611853
E0_0_42	30.23247	-10.584139
E0_0_43	31.35918	-15.980985
E0_0_44	25.803263	-10.705672
E0_0_45	29.906424	-10.9401865
E0_0_46	26.279974	-11.959636
E0_0_47	25.41686	-14.813639
E0_0_48	24.183884	-12.652306
E0_0_49	25.965769	-10.020187
E0_0_50	30.665827	-11.098249
E0_0_51	33.05641	-10.215264
E0_0_52	26.75695	-12.980365
E0_0_53	28.535646	-9.274041
E0_0_54	25.489206	-9.419224
E0_0_55	26.614067	-11.456374
E0_0_56	27.76957	-9.899901
E0_0_57	31.444437	-12.793404
E0_0_58	27.488506	-13.375322
E0_0_59	24.24983	-11.102781
E0_0_60	29.796476	-12.413059
E0_0_61	29.81891	-8.290199
E0_0_62	33.739708	-13.781008
E0_0_63	24.739763	-9.963892
E0_0_64	26.066675	-14.232503
E0_0_65	26.959251	-10.952947
E0_0_66	27.577219	-14.286162
E0_0_67	33.423553	-13.6508465
E0_0_68	31.910057	-9.554513
E0_0_69	30.404749	-13.246217
E0_0_70	27.644173	-14.854288
E0_0_71	33.530342	-13.471931
E0_0_72	21.20704	-16.201838
E0_0_73	26.510777	-9.70168
E0_0_74	29.428133	-15.656858
E0_0_75	25.106583	-12.501548
E0_0_76	24.89614	-11.108512
E0_0_77	29.399818	-12.90779
E0_0_78	26.572638	-8.776508
E0_0_79	30.024113	-15.167641
E0_0_80	30.632698	-10.301375
E0_0_81	28.50915	-11.065493
E0_0_82	28.1826	-11.455403
E0_0_83	27.597422	-15.68692
E0_0_84	23.817122	-11.397419
E0_0_85	31.935358	-11.075618
E0_0_86	21.533188	-16.012558
E0_0_87	31.834988	-11.902565
E0_0_88	29.892843	-11.82363
E0_0_89	29.003798	-14.4269
E0_0_90	29.731316	-14.189296
E0_0_91	26.27821	-11.965968
E4_12_0	12.256649	-22.935242
E4_12_1	18.105562	-22.948929
E4_12_2	19.694996	-27.24152
E4_12_3	17.442081	-17.065506
E4_12_4	15.156841	-20.202515
E4_12_5	16.581728	-18.722078
E4_12_6	17.28933	-20.418028
E4_12_7	14.932771	-18.680283
E4_12_8	17.565973	-19.4673
E4_12_9	19.506334	-18.189358
E4_12_10	17.084236	-22.433264
E4_12_11	18.364773	-29.923319
E4_12_12	16.100967	-25.601248
E4_12_13	13.385663	-20.277607
E4_12_14	18.410435	-23.208353
E4_12_15	16.062649	-19.940248
E4_12_16	18.852316	-26.529066
E4_12_17	16.388145	-19.19574
E4_12_18	17.364613	-20.696112
E4_12_19	19.174927	-19.493696
E4_12_20	17.856016	-17.405788
E4_12_21	19.045135	-17.509773
E4_12_22	18.178015	-20.176891
E4_12_23	13.896401	-22.830103
E4_12_24	17.374146	-19.25836
E4_12_25	18.249172	-15.961229
E4_12_26	16.104595	-17.72925
E4_12_27	15.060357	-18.833782
E4_12_28	16.879845	-17.676027
E4_12_29	16.599638	-17.992655
E4_12_30	18.960619	-17.316275
E4_12_31	17.599392	-17.811497
E4_12_32	21.865505	-21.874739
E4_12_33	17.75958	-29.374357
E4_12_34	17.859324	-19.236137
E4_12_35	18.228373	-18.351025
E4_12_36	14.810761	-19.367102
E4_12_37	17.971498	-22.620855
E4_12_38	17.200521	-17.334064
E4_12_39	17.222815	-22.576485
E4_12_40	17.899097	-31.432365
E4_12_41	19.014503	-29.933582
E4_12_42	21.829403	-26.988668
E4_12_43	12.92203	-27.140318
E4_12_44	15.488572	-26.32169
E4_12_45	19.63834	-23.803907
E4_12_46	15.187512	-29.514378
E4_12_47	18.34133	-26.792423
E4_12_48	16.535475	-25.784021
E4_12_49	16.104836	-23.467789
E4_12_50	14.452501	-26.030167
