	cl
E4_2_0	0
E4_2_1	0
E4_2_2	0
E5_2_0	1
E5_2_1	0
E4_2_3	0
E5_2_2	1
E4_2_4	0
E4_2_5	0
E5_2_3	1
E4_2_6	0
E4_2_7	0
E4_2_8	0
E4_2_9	0
E5_2_4	1
E4_2_10	0
E5_2_5	0
E4_2_11	0
E5_2_6	1
E4_2_12	0
E4_2_13	0
E1_2_0	1
E4_2_14	0
E1_2_1	1
E1_2_2	1
E5_2_7	1
E4_2_15	0
E4_2_16	0
E4_2_17	0
E5_2_8	1
E4_2_18	0
E4_2_19	0
E4_2_20	0
E4_2_21	0
E5_2_9	1
E4_2_22	0
E4_2_23	0
E4_2_24	0
E4_2_25	0
E5_2_10	0
E4_2_26	0
E4_2_27	0
E5_2_11	0
E1_2_3	1
E1_2_4	1
E4_2_28	0
E4_2_29	0
E1_2_5	1
E4_2_30	0
E5_2_12	1
E4_2_31	0
E4_2_32	0
E4_2_33	0
E4_2_34	0
E4_2_35	0
E5_2_13	1
E4_2_36	0
E5_2_14	0
E4_2_37	0
E4_2_38	0
E4_2_39	0
E1_2_6	1
E4_2_40	0
E5_2_15	1
E4_2_41	0
E4_2_42	0
E1_2_7	1
E1_2_8	1
E1_2_9	1
E4_2_43	0
E4_2_44	0
E5_2_16	1
E4_2_45	0
E5_2_17	1
E4_2_46	0
E4_2_47	0
E4_2_48	0
E4_2_49	0
E5_2_18	1
E5_2_19	1
E4_2_50	0
E1_0_10	1
E1_0_11	1
E1_0_12	1
E1_0_13	1
E1_0_14	1
E1_0_15	1
E1_0_16	1
E1_0_17	1
E1_0_18	1
E1_0_19	1
E1_0_20	1
E1_0_21	1
E1_0_22	1
E1_0_23	1
E1_0_24	1
E1_0_25	1
E1_0_26	1
E1_0_27	1
E1_0_28	1
E1_0_29	1
E1_0_30	1
E1_0_31	1
E1_0_32	1
E1_0_33	1
E1_0_34	1
E1_0_35	1
E1_0_36	1
E1_0_37	1
E1_0_38	1
E1_0_39	1
E1_0_40	1
E1_0_41	1
E1_0_42	1
E1_0_43	1
E1_0_44	1
E1_0_45	1
E1_0_46	1
E1_0_47	1
E1_0_48	1
E1_0_49	1
E1_0_50	1
E1_0_51	1
E1_0_52	1
E1_0_53	1
E1_0_54	1
E1_0_55	1
E1_0_56	1
E1_0_57	1
E1_0_58	1
E1_0_59	1
E1_0_60	1
E1_0_61	1
E1_0_62	1
E1_0_63	1
E1_0_64	1
E1_0_65	1
E1_0_66	1
E1_0_67	1
E1_0_68	1
E1_0_69	1
E1_0_70	1
E1_0_71	1
E1_0_72	1
E1_0_73	1
E1_0_74	1
E1_0_75	1
E1_0_76	1
E1_0_77	1
E1_0_78	1
E1_0_79	1
E1_0_80	1
E1_0_81	1
E2_5_0	0
E3_5_0	0
E3_5_1	0
E8_5_0	0
E8_5_1	0
E7_5_0	0
E3_5_2	0
E8_5_2	0
E3_5_3	0
E3_5_4	0
E8_5_3	0
E8_5_4	0
E3_5_5	0
E7_5_1	0
E8_5_5	0
E3_5_6	0
E7_5_2	0
E3_5_7	0
E8_5_6	0
E3_5_8	0
E3_5_9	0
E7_5_3	0
E7_5_4	0
E8_5_7	0
E7_5_5	0
E3_5_10	0
E8_5_8	0
E3_5_11	0
E3_5_12	0
E3_5_13	0
E8_5_9	0
E3_5_14	0
E3_5_15	0
E3_5_16	0
E3_5_17	0
E3_5_18	0
E3_5_19	0
E7_5_6	0
E7_5_7	0
E7_5_8	0
E8_5_10	0
E3_5_20	0
E8_5_11	0
E8_5_12	0
E7_5_9	0
E8_5_13	0
E7_5_10	1
E3_5_21	0
E7_5_11	0
E8_5_14	0
E8_5_15	0
E3_5_22	0
E2_5_1	0
E7_5_12	0
E3_5_23	0
E9_22_0	0
E1_0_82	1
E6_22_0	0
E9_22_1	0
E9_22_2	0
E6_22_1	0
E9_22_3	0
E9_22_4	0
E6_22_2	0
E6_22_3	0
E9_22_5	0
E6_22_4	0
E4_2_51	0
E9_22_6	0
E4_2_52	0
E9_22_7	0
E4_2_53	0
E4_2_54	0
E6_22_5	0
E4_2_55	0
E9_22_8	0
E4_2_56	0
E4_2_57	0
E9_22_9	0
E4_2_58	0
E0_22_0	0
E9_20_10	0
E9_20_11	0
E6_20_6	0
E0_20_1	0
E9_20_12	0
E6_20_7	0
E4_2_59	0
E9_22_13	0
E4_2_60	0
E9_22_14	0
E4_2_61	0
E4_2_62	0
E9_22_15	0
E4_2_63	0
E9_22_16	0
E4_2_64	0
E9_22_17	0
E4_2_65	0
E4_2_66	0
E9_22_18	0
E0_20_2	0
E9_20_19	0
E0_20_3	0
E9_20_20	0
E4_2_67	0
E9_22_21	0
E4_2_68	0
E9_22_22	0
E4_2_69	0
E4_2_70	0
E9_22_23	0
E4_2_71	0
E9_22_24	0
E4_2_72	0
E9_22_25	0
E4_2_73	0
E0_22_4	0
E4_2_74	0
E9_22_26	0
E0_20_5	0
E9_20_27	0
E9_20_28	0
E4_2_75	1
E9_22_29	0
E9_22_30	0
E9_22_31	0
E9_22_32	0
E9_22_33	0
E6_22_8	0
E0_20_6	0
E0_20_7	0
E9_20_34	0
E9_20_35	0
E9_20_36	0
E4_2_76	0
E9_22_37	0
E4_2_77	0
E9_22_38	0
E4_2_78	0
E4_2_79	0
E9_22_39	0
E4_2_80	0
E9_22_40	0
E4_2_81	0
E4_2_82	0
E4_2_83	0
E9_20_41	0
E9_20_42	0
E9_20_43	0
E9_20_44	0
E4_2_84	0
E9_22_45	0
E4_2_85	0
E9_22_46	0
E4_2_86	0
E9_22_47	0
E4_2_87	0
E9_22_48	0
E4_2_88	0
E9_22_49	0
E4_2_89	0
E9_22_50	0
E4_2_90	0
E9_22_51	0
E4_2_91	0
E9_22_52	0
E0_20_8	0
E0_20_9	0
E6_20_9	0
E0_20_10	0
E0_20_11	0
E0_20_12	0
E4_2_92	0
E9_22_53	0
E4_2_93	0
E9_22_54	0
E4_2_94	0
E6_22_10	0
E4_2_95	0
E9_22_55	0
E4_2_96	0
E9_22_56	0
E4_2_97	0
E9_22_57	0
E9_22_58	0
E9_20_59	0
E6_20_11	0
E9_20_60	0
E0_20_13	0
E9_20_61	0
E9_22_62	0
E9_22_63	0
E9_22_64	0
E9_22_65	0
E9_22_66	0
E9_22_67	0
E6_22_12	0
E9_22_68	0
E9_22_69	0
E9_22_70	0
E9_22_71	0
E9_22_72	0
E9_22_73	0
E9_22_74	0
E9_22_75	0
E9_22_76	0
E9_22_77	0
E9_22_78	0
E9_22_79	0
E9_22_80	0
E9_22_81	0
E9_22_82	0
E9_22_83	0
E9_22_84	0
E9_22_85	0
E9_22_86	0
E9_22_87	0
E9_22_88	0
E0_22_14	0
