	dim1	dim2
E0_0_0	-27.313908	12.633984
E0_0_1	-28.181656	15.692311
E0_0_2	-28.29703	13.703208
E0_0_3	-26.187244	21.389507
E0_0_4	-29.6322	18.763054
E0_0_5	-28.405214	21.527689
E0_0_6	-26.546772	22.513521
E0_0_7	-23.393223	14.03336
E0_0_8	-28.434061	14.749327
E0_0_9	-26.02526	15.948645
E0_0_10	-28.733921	12.267461
E0_0_11	-24.56378	21.060629
E0_0_12	-23.758917	16.297255
E0_0_13	-24.748716	16.017836
E0_0_14	-25.756554	18.597754
E0_0_15	-28.15464	18.279654
E0_0_16	-23.56902	18.043043
E0_0_17	-24.621916	19.976444
E0_0_18	-29.985155	14.32652
E0_0_19	-23.832218	17.183855
E0_0_20	-30.205353	16.153637
E0_0_21	-25.489576	19.584002
E0_0_22	-29.071615	16.240604
E0_0_23	-31.17511	16.51774
E0_0_24	-25.076729	19.087332
E0_0_25	-27.132025	19.316061
E0_0_26	-26.357216	12.209865
E0_0_27	-26.916262	14.471107
E0_0_28	-30.574638	15.273848
E0_0_29	-28.750925	21.02478
E0_0_30	-26.410646	17.172924
E0_0_31	-24.861347	19.828522
E0_0_32	-25.395226	13.821282
E0_0_33	-30.408325	12.197937
E0_0_34	-28.664923	11.832133
E0_0_35	-30.833557	17.579868
E0_0_36	-28.189438	18.745897
E0_0_37	-27.458178	16.21233
E0_0_38	-31.327581	17.676485
E0_0_39	-28.460936	20.99237
E0_0_40	-26.163519	18.252459
E0_0_41	-31.962261	18.565804
E0_0_42	-25.845718	16.966417
E0_0_43	-25.317379	21.208494
E0_0_44	-22.927198	14.127577
E0_0_45	-26.425055	20.22492
E0_0_46	-29.09013	12.982436
E0_0_47	-26.979923	16.10267
E0_0_48	-26.869465	13.551113
E0_0_49	-29.334099	16.54163
E0_0_50	-32.176052	15.630432
E0_0_51	-30.115883	16.49598
E0_0_52	-23.423653	16.800804
E0_0_53	-28.441387	19.048143
E0_0_54	-25.683958	20.45918
E0_0_55	-30.365088	14.011817
E0_0_56	-28.120123	16.882452
E0_0_57	-27.9281	16.958918
E0_0_58	-30.86576	18.920443
E0_0_59	-28.7103	17.777279
E0_0_60	-23.778023	13.703211
E0_0_61	-25.445473	15.296637
E0_0_62	-23.114231	18.75103
E0_0_63	-29.67646	15.503418
E0_0_64	-30.128124	17.771458
E0_0_65	-26.45099	18.208454
E0_0_66	-25.062704	16.939907
E0_0_67	-30.706837	15.680456
E0_0_68	-29.143736	18.117214
E0_0_69	-26.871473	20.922668
E2_12_0	-14.234235	13.379836
E2_12_1	-6.539079	9.832293
E2_12_2	-11.877082	12.381418
E2_12_3	-7.9778934	7.0362654
E2_12_4	-13.228917	11.738279
E2_12_5	-16.027636	14.85093
E2_12_6	-12.920286	13.78644
E2_12_7	-4.0610957	7.2281923
E2_12_8	-4.304501	4.8905535
E2_12_9	-10.541842	9.538407
E2_12_10	-7.8024282	8.671538
E2_12_11	-10.317398	8.578834
E2_12_12	-10.662805	6.0851026
E2_12_13	-8.621528	6.259815
E2_12_14	-3.7581916	6.5542436
E2_12_15	-7.5378213	4.11375
E2_12_16	-5.9584804	6.448008
E2_12_17	-5.7096257	4.856172
E2_12_18	-1.6517481	11.853918
E2_12_19	-3.2400475	5.9165797
E2_12_20	-14.296421	13.127046
E2_12_21	-5.6783423	11.21723
E2_12_22	-2.4283097	10.60823
E2_12_23	-7.6269355	6.797688
E2_12_24	-6.917718	3.20192
E2_12_25	-11.62796	12.523948
E2_12_26	-11.592401	10.5608835
E2_12_27	-3.5824082	5.4676204
E2_12_28	-12.149811	10.557957
E2_12_29	-6.948503	11.821159
E2_12_30	-7.3383017	11.939553
E2_12_31	-7.096192	5.005593
E2_12_32	-6.559469	4.50974
E2_12_33	-4.1264663	10.507522
E2_12_34	-8.994299	10.870423
E2_12_35	-3.4911447	12.007693
E2_12_36	-0.57250446	2.4706497
E2_12_37	-4.8152695	8.036373
E2_12_38	-13.28213	13.814788
E2_12_39	-1.8188366	6.431406
E2_12_40	-11.085712	13.462375
E2_12_41	-4.8053837	6.7335577
E2_12_42	-5.978747	5.548435
