Gene1,Gene2,Type
JUN,ELF3,+
EGR1,PARP1,+
ELF3,PARP1,+
KLF4,PARP1,+
RARG,PARP1,+
DDIT3,DDIT3,+
EGR1,DDIT3,+
ELF2,DDIT3,+
ELF3,DDIT3,+
ERF,DDIT3,+
ETS1,DDIT3,+
KLF4,DDIT3,+
MYCN,DDIT3,+
NANOG,DDIT3,+
RARG,DDIT3,+
REST,DDIT3,+
SMAD7,DDIT3,+
SOX2,DDIT3,+
TRP53,DDIT3,+
EGR1,GLI1,+
GLI1,GLI1,+
GLI2,GLI1,+
KLF4,GLI1,+
EGR1,XBP1,+
ELF2,XBP1,+
ELF3,XBP1,+
ETS1,XBP1,+
FOXA2,XBP1,+
JUN,XBP1,+
KLF4,XBP1,+
MSX2,XBP1,+
EGR1,TRP53,+
ETS1,TRP53,+
ETV4,TRP53,+
ETV5,TRP53,+
HNF1B,TRP53,+
KLF4,TRP53,+
MYCN,TRP53,+
NANOG,TRP53,+
POU5F1,TRP53,+
RARG,TRP53,+
TRP53,TRP53,+
EGR1,ETV4,+
NFIL3,ETV4,+
TRP53,ETV4,+
FOXA2,NFIL3,+
FOXD3,NFIL3,+
KLF4,NFIL3,+
EGR1,FOXH1,+
ETV5,FOXH1,+
HNF1B,FOXH1,+
KLF4,FOXH1,+
REST,FOXH1,+
SIX1,FOXH1,+
TGIF1,FOXH1,+
EGR1,ETV5,+
ELF3,ETV5,+
FOXA2,ETV5,+
JUN,ETV5,+
KLF4,ETV5,+
RUNX1,ETV5,+
BHLHE40,RUNX1,+
EGR1,RUNX1,+
ELF3,RUNX1,+
ETS1,RUNX1,+
FOXA2,RUNX1,+
FOXD3,RUNX1,+
HNF1B,RUNX1,+
JUN,RUNX1,+
MYCN,RUNX1,+
RARG,RUNX1,+
REST,RUNX1,+
ZFP42,RUNX1,+
BHLHE40,TGIF1,+
EGR1,TGIF1,+
ELF3,TGIF1,+
FOXA2,TGIF1,+
FOXD3,TGIF1,+
FOXH1,TGIF1,+
GLI1,TGIF1,+
GLI2,TGIF1,+
JUN,TGIF1,+
KLF4,TGIF1,+
MYBL2,TGIF1,+
MYCN,TGIF1,+
NANOG,TGIF1,+
REST,TGIF1,+
RUNX1,TGIF1,+
TCF7L2,TGIF1,+
TGIF1,TGIF1,+
EGR1,EGR1,+
ELF2,EGR1,+
ELF3,EGR1,+
ERF,EGR1,+
ESRRB,EGR1,+
ETS1,EGR1,+
FOXA2,EGR1,+
FOXD3,EGR1,+
FOXH1,EGR1,+
GATA4,EGR1,+
GATA6,EGR1,+
GLI1,EGR1,+
JUN,EGR1,+
KLF4,EGR1,+
REST,EGR1,+
RUNX1,EGR1,+
ZFP42,EGR1,+
BHLHE40,SMAD7,+
EGR1,SMAD7,+
ELF2,SMAD7,+
ELF3,SMAD7,+
MYCN,SMAD7,+
NANOG,SMAD7,+
KLF4,TCF7L2,+
ELF2,MYBL2,+
HNF1B,MYBL2,+
MYBL2,MYBL2,+
REST,MYBL2,+
JUN,ELF2,+
EGR1,RBPJ,+
ELF2,RBPJ,+
ELF3,RBPJ,+
FOXD3,RBPJ,+
FOXH1,RBPJ,+
HNF1B,RBPJ,+
JUN,RBPJ,+
NANOG,RBPJ,+
RBPJ,RBPJ,+
TGIF1,RBPJ,+
TRP53,RBPJ,+
EGR1,REST,+
ELF2,REST,+
ERF,REST,+
ETS1,REST,+
GATA6,REST,+
JUN,REST,+
KLF4,REST,+
NANOG,REST,+
POU5F1,REST,+
REST,REST,+
RUNX1,REST,+
SOX7,REST,+
TRP53,REST,+
BHLHE40,BHLHE40,+
EGR1,BHLHE40,+
ELF3,BHLHE40,+
GATA4,BHLHE40,+
JUN,BHLHE40,+
KLF4,BHLHE40,+
NANOG,BHLHE40,+
REST,BHLHE40,+
EGR1,ERF,+
ELF2,ERF,+
ERF,ERF,+
ETS1,ERF,+
EGR1,ZFHX3,+
KLF4,ZFHX3,+
EGR1,ETS1,+
KLF4,ETS1,+
REST,ETS1,+
BHLHE40,SOX17,+
EGR1,SOX17,+
ELF3,SOX17,+
ESRRB,SOX17,+
ETS1,SOX17,+
GLI1,SOX17,+
GLI2,SOX17,+
KLF4,SOX17,+
NANOG,SOX17,+
REST,SOX17,+
EGR1,GLI2,+
ELF2,GLI2,+
ESRRB,GLI2,+
KLF4,GLI2,+
NANOG,GLI2,+
POU5F1,GLI2,+
SOX2,GLI2,+
EGR1,ELF3,+
POU5F1,ELF3,+
RUNX1,ELF3,+
BHLHE40,HMGA2,+
EGR1,HMGA2,+
POU5F1,HMGA2,+
ETS1,GLI1,+
FOXA2,GLI1,+
JUN,GLI1,+
RUNX1,GLI1,+
EGR1,HNF1B,+
ETV5,HNF1B,+
HNF1B,HNF1B,+
KLF4,HNF1B,+
POU5F1,HNF1B,+
FOXA2,ETV4,+
POU5F1,ETV4,+
ZFP42,ETV4,+
EGR1,MYCN,+
ELF3,MYCN,+
ESRRB,MYCN,+
FOXA2,MYCN,+
FOXD3,MYCN,+
FOXH1,MYCN,+
GLI1,MYCN,+
GLI2,MYCN,+
KLF4,MYCN,+
NANOG,MYCN,+
NR0B1,MYCN,+
REST,MYCN,+
SMAD7,MYCN,+
TRP53,MYCN,+
BHLHE40,SIX1,+
EGR1,SIX1,+
ELF2,SIX1,+
KLF4,SIX1,+
MYCN,SIX1,+
NR0B1,SIX1,+
REST,SIX1,+
RUNX1,SIX1,+
ZFP42,SIX1,+
EGR1,ESRRB,+
NANOG,ESRRB,+
ELF3,FOXQ1,+
KLF4,FOXQ1,+
NANOG,FOXQ1,+
RARG,FOXQ1,+
REST,FOXQ1,+
EGR1,NFIL3,+
REST,NFIL3,+
