	dim1	dim2
E0_1	27.332218	-61.8111
E1_1	32.2556	-63.71165
E2_1	35.16132	-64.18615
E3_1	32.943584	-63.804825
E4_1	7.96856	-52.438725
E5_1	23.881844	-60.95844
E6_1	34.68519	-64.4574
E7_1	-24.168732	-16.854086
E8_1	8.389194	-38.74529
E9_1	31.109621	-64.907265
E10_1	31.522266	-63.110935
E11_1	4.753845	-53.44641
E12_1	31.362923	-64.25264
E13_1	13.680295	-56.663776
E14_1	19.372953	-58.94709
E15_1	23.332632	-61.06441
E16_1	-1.2076513	-51.564472
E17_1	-1.4088769	-50.282608
E18_1	-22.07265	-4.219898
E19_1	18.069893	-59.694443
E20_1	16.138332	-57.341362
E21_1	4.032773	-52.49084
E22_1	-16.841524	-10.183151
E23_1	-23.331747	-29.625856
E24_1	-24.37718	21.449669
E25_1	-23.09288	-28.644226
E26_1	-6.2194233	-24.63346
E27_1	-24.85984	-8.532034
E28_1	-19.33216	-30.183786
E29_1	27.55459	-62.375355
E30_1	-25.949593	8.28781
E31_1	17.031872	-58.14823
E32_1	34.207264	-64.61724
E33_1	19.8304	-58.89924
E34_1	-7.0329247	9.424591
E35_1	-21.876602	-30.738949
E36_1	24.304771	-60.53031
E37_1	-29.312832	11.23449
E38_1	-16.640717	-28.837206
E39_1	-25.581305	-17.389383
E40_1	9.048231	-54.706062
E41_1	-2.3853607	-49.738594
E42_1	-4.186327	-49.7107
E43_1	4.866943	-53.431965
E44_1	17.328121	-57.827045
E45_1	-6.41986	-45.741154
E46_1	3.1194046	-46.708538
E47_1	-6.8716197	-46.199696
E48_1	24.772993	-60.735527
E49_1	32.318424	-64.63279
E50_1	34.31794	-63.883415
E51_1	30.496798	-63.39209
E52_1	31.321062	-63.615105
E53_1	-20.188103	-34.277733
E54_1	-32.179306	-5.2250447
E55_1	-19.88372	35.19154
E56_1	-4.758912	-50.863033
E57_1	-16.471502	-12.686096
E58_1	-5.6917605	-22.149982
E59_1	-18.354689	-35.608326
E60_1	19.841055	-59.73936
E61_1	-27.53519	-6.8313656
E62_1	-19.414833	-25.345339
E63_1	-2.8869052	13.396021
E64_1	-10.113033	-39.26432
E65_1	-22.055578	-22.768843
E66_1	-30.186073	-2.5007944
E67_1	-2.3436038	-54.988636
E68_1	-29.523146	9.3214245
E69_1	12.121373	-54.14167
E70_1	8.265103	-54.422897
