Gene1,Gene2,Type
KLF4,KLF4,+
KLF4,TCF3,+
KLF4,SOX2,+
KLF4,NANOG,+
KLF4,SUZ12,+
KLF4,TBX3,+
KLF4,ZFP42,+
KLF4,MYBL2,+
KLF4,TUBA1A,+
TCF3,TCF3,+
TCF3,SOX2,+
TCF3,NANOG,+
TCF3,TBX3,+
TCF3,ZFP42,+
TCF3,EZH2,+
TCF3,MYBL2,+
TCF3,TUBA1A,+
SOX2,TCF3,+
SOX2,SOX2,+
SOX2,NANOG,+
SOX2,TBX3,+
SOX2,ZFP42,+
SOX2,EZH2,+
SOX2,MYBL2,+
ESRRB,KLF4,+
ESRRB,TCF3,+
ESRRB,SOX2,+
ESRRB,ESRRB,+
ESRRB,NANOG,+
ESRRB,SUZ12,+
ESRRB,TBX3,+
ESRRB,MYBL2,+
ESRRB,DPPA5A,+
ESRRB,TUBA1A,+
NANOG,KLF4,+
NANOG,TCF3,+
NANOG,SOX2,+
NANOG,ESRRB,+
NANOG,NANOG,+
NANOG,SUZ12,+
NANOG,TBX3,+
NANOG,ZFP42,+
NANOG,EZH2,+
NANOG,MYBL2,+
NANOG,TUBA1A,+
SUZ12,TCF3,+
SUZ12,ESRRB,+
SUZ12,TBX3,+
TBX3,KLF4,+
TBX3,ZFP42,+
TBX3,EZH2,+
TBX3,MYBL2,+
EZH2,ESRRB,+
EZH2,TBX3,+
