Gene1,Gene2,Type
x_Fli1,x_Gata1,+
x_Fli1,x_Eklf,-
x_Eklf,x_Gata1,+
x_Eklf,x_Fli1,-
x_Gfi1,x_Cebpa,+
x_Gfi1,x_EgrNab,-
x_cJun,x_Pu1,+
x_cJun,x_Gfi1,-
x_Gata1,x_Gata1,+
x_Gata1,x_Gata2,+
x_Gata1,x_Fli1,+
x_Gata1,x_Pu1,-
x_Fog1,x_Gata1,+
x_Cebpa,x_Cebpa,+
x_Cebpa,x_Scl,-
x_Cebpa,x_Fog1,-
x_Cebpa,x_Gata1,-
x_Pu1,x_Cebpa,+
x_Pu1,x_Pu1,+
x_Pu1,x_Gata1,-
x_Pu1,x_Gata2,-
x_Scl,x_Gata1,+
x_Scl,x_Pu1,-
x_Gata2,x_Gata2,+
x_Gata2,x_Pu1,-
x_Gata2,x_Gata1,-
x_Gata2,x_Fog1,-
x_EgrNab,x_Pu1,+
x_EgrNab,x_cJun,+
x_EgrNab,x_Gfi1,-
