TF,Sources
AATF,RegNetwork|TRRUST
ABL1,RegNetwork|TRRUST
ABT1,RegNetwork
ABTB1,RegNetwork
ADNP,RegNetwork
AEBP1,RegNetwork
AEBP2,RegNetwork|TRRUST
AES,RegNetwork|TRRUST|ESCAPE
AFF4,RegNetwork
AGAP3,RegNetwork
AHCTF1,RegNetwork
AHR,RegNetwork|TRRUST
AIP,RegNetwork
AIRE,RegNetwork|TRRUST
AKT1,RegNetwork
ALX1,RegNetwork
ALX3,RegNetwork
ALX4,RegNetwork|TRRUST
ALYREF,RegNetwork
ANKRA2,RegNetwork
ANKRD1,RegNetwork|TRRUST
ANKRD22,RegNetwork
ANKRD32,RegNetwork
ANKRD33,RegNetwork
ANKRD49,RegNetwork
ANKRD54,RegNetwork
ANKRD6,RegNetwork
ANKRD7,RegNetwork
ANKS1,RegNetwork
ANKS3,RegNetwork
APBB1,RegNetwork|TRRUST
APBB2,RegNetwork
APC,RegNetwork|TRRUST
APEX1,RegNetwork|TRRUST
AR,RegNetwork|TRRUST
ARID1A,RegNetwork
ARID1B,RegNetwork
ARID3A,RegNetwork|TRRUST
ARID3B,RegNetwork|TRRUST
ARID4B,RegNetwork
ARID5B,RegNetwork|TRRUST
ARL6IP5,TRRUST
ARNT,RegNetwork|TRRUST
ARNT2,RegNetwork
ARNTL,RegNetwork|TRRUST
ARNTL2,TRRUST
ARX,TRRUST
ASB1,RegNetwork
ASB12,RegNetwork
ASB15,RegNetwork
ASB3,RegNetwork
ASB4,RegNetwork
ASB6,RegNetwork
ASB9,RegNetwork
ASCL1,RegNetwork|TRRUST|ESCAPE
ASCL2,RegNetwork|ESCAPE
ASCL3,RegNetwork
ASH1L,RegNetwork|TRRUST
ASH2L,RegNetwork
ASXL1,RegNetwork|TRRUST
ATF1,RegNetwork|TRRUST
ATF2,RegNetwork|TRRUST
ATF3,RegNetwork|TRRUST
ATF4,RegNetwork|TRRUST
ATF5,RegNetwork
ATF6,RegNetwork|TRRUST
ATF6B,RegNetwork
ATF7,RegNetwork
ATF7IP,RegNetwork
ATM,RegNetwork|TRRUST
ATOH1,RegNetwork|TRRUST
AW146020,RegNetwork
BACH1,RegNetwork|TRRUST
BACH2,RegNetwork|TRRUST
BARD1,RegNetwork
BARHL1,RegNetwork
BARX1,RegNetwork
BARX2,RegNetwork|TRRUST
BATF,RegNetwork
BATF2,TRRUST
BATF3,RegNetwork|TRRUST
BAZ1A,RegNetwork
BAZ1B,RegNetwork
BBC3,RegNetwork
BCL11A,RegNetwork|TRRUST
BCL11B,RegNetwork|TRRUST
BCL3,RegNetwork|TRRUST
BCL6,RegNetwork|TRRUST
BCL6B,RegNetwork|TRRUST
BCLAF1,RegNetwork
BCOR,RegNetwork
BDP1,RegNetwork
BHLHA15,RegNetwork
BHLHE40,RegNetwork|TRRUST
BHLHE41,RegNetwork
BIN1,RegNetwork
BLZF1,RegNetwork
BMI1,RegNetwork|TRRUST
BMP4,TRRUST
BMP6,TRRUST
BRCA1,RegNetwork|TRRUST
BRCA2,RegNetwork|TRRUST
BRD7,RegNetwork
BRDT,RegNetwork
BRF1,RegNetwork
BRIP1,RegNetwork
BRPF1,RegNetwork
BRPF3,RegNetwork
BRWD1,RegNetwork
BTAF1,RegNetwork
BTBD11,RegNetwork
BTF3,RegNetwork
BTG1,RegNetwork
BTG2,RegNetwork|TRRUST
BUB3,TRRUST
C80913,RegNetwork
CALCOCO1,RegNetwork
CARF,RegNetwork
CBFA2T3,RegNetwork|TRRUST
CBFB,RegNetwork
CBX3,RegNetwork
CBX4,RegNetwork
CBX6,RegNetwork|TRRUST
CBX7,RegNetwork
CBX8,RegNetwork|ESCAPE
CCND1,TRRUST
CCRN4L,RegNetwork
CD7,TRRUST
CDC5L,RegNetwork
CDX1,RegNetwork|TRRUST
CDX2,RegNetwork|TRRUST|ESCAPE
CDX4,RegNetwork|TRRUST
CEBPA,RegNetwork|TRRUST
CEBPB,RegNetwork|TRRUST
CEBPD,RegNetwork
CEBPE,RegNetwork|TRRUST
CEBPG,RegNetwork|TRRUST
CEBPZ,RegNetwork|TRRUST
CELF3,RegNetwork
CENPB,RegNetwork
CENPK,RegNetwork
CHAF1A,RegNetwork
CHD1,RegNetwork|TRRUST|ESCAPE
CHD4,RegNetwork|TRRUST
CHD5,RegNetwork
CHD7,RegNetwork|TRRUST|ESCAPE
CHD8,RegNetwork|TRRUST
CIC,RegNetwork
CIITA,RegNetwork|TRRUST
CITED1,RegNetwork
CITED2,RegNetwork|TRRUST
CITED4,RegNetwork
CLASRP,RegNetwork
CLOCK,RegNetwork|TRRUST
CNOT2,RegNetwork
CNOT3,RegNetwork|TRRUST|ESCAPE
CNOT6,RegNetwork
CNOT6L,RegNetwork
CNOT7,RegNetwork|TRRUST
CNOT8,RegNetwork
COBRA1,RegNetwork
COIL,RegNetwork
COMP,RegNetwork
COPS2,RegNetwork
COPS5,RegNetwork|TRRUST
CRABP2,RegNetwork
CRAMP1L,RegNetwork
CREB1,RegNetwork|TRRUST
CREB3,RegNetwork|TRRUST
CREB3L1,RegNetwork|TRRUST
CREB3L2,RegNetwork
CREB3L3,RegNetwork|TRRUST
CREB3L4,RegNetwork|TRRUST
CREB5,RegNetwork
CREBBP,RegNetwork|TRRUST
CREBL2,RegNetwork
CREBZF,RegNetwork|TRRUST
CREM,RegNetwork|TRRUST
CRTC1,RegNetwork|TRRUST
CRX,RegNetwork|TRRUST
CRY1,RegNetwork|TRRUST
CSDA,RegNetwork
CSDC2,RegNetwork
CSDE1,RegNetwork
CSF1,TRRUST
CSF2,TRRUST
CSRP3,RegNetwork
CTBP1,RegNetwork
CTCF,RegNetwork|TRRUST|ESCAPE
CTCFL,RegNetwork|TRRUST
CTDP1,RegNetwork
CTF1,TRRUST
CTNNB1,RegNetwork|TRRUST
CTNNBIP1,RegNetwork
CTNNBL1,RegNetwork
CTR9,RegNetwork|TRRUST
CUX1,RegNetwork|TRRUST
CUX2,RegNetwork|TRRUST
CXXC1,RegNetwork
DAB2,RegNetwork|TRRUST
DACH1,RegNetwork|TRRUST
DACH2,RegNetwork|TRRUST
DAXX,RegNetwork|TRRUST
DAZAP2,RegNetwork
DBP,RegNetwork|TRRUST
DCP1A,RegNetwork
DDB1,RegNetwork
DDB2,RegNetwork
DDIT3,RegNetwork|TRRUST
DDX20,RegNetwork
DDX5,RegNetwork|TRRUST
DDX54,RegNetwork|TRRUST
DDX58,TRRUST
DEAF1,RegNetwork|TRRUST
DEDD,RegNetwork
DEK,RegNetwork
DENND4A,RegNetwork
DHX38,RegNetwork
DIDO1,RegNetwork
DLX1,RegNetwork|TRRUST
DLX2,RegNetwork|TRRUST
DLX3,TRRUST
DLX4,RegNetwork
DLX5,RegNetwork|TRRUST
DMAP1,RegNetwork|TRRUST|ESCAPE
DMBX1,RegNetwork|TRRUST
DMP1,TRRUST
DMRT1,RegNetwork|TRRUST
DMRT2,RegNetwork|TRRUST
DMRTC2,RegNetwork
DMTF1,TRRUST
DNAJC2,RegNetwork|TRRUST
DNMT1,RegNetwork|TRRUST
DNMT3A,RegNetwork|TRRUST
DNMT3B,TRRUST
DNMT3L,RegNetwork
DOT1L,RegNetwork|TRRUST
DPF2,RegNetwork
DPPA5A,ESCAPE
DR1,RegNetwork
DTX1,RegNetwork|TRRUST
E2F1,RegNetwork|TRRUST|ESCAPE
E2F2,RegNetwork|TRRUST
E2F3,RegNetwork|TRRUST
E2F4,RegNetwork|TRRUST|ESCAPE
E2F5,RegNetwork|TRRUST
E2F6,RegNetwork
E2F8,RegNetwork|TRRUST
E4F1,RegNetwork|TRRUST
EBF1,RegNetwork|TRRUST
EBF3,RegNetwork
EBF4,RegNetwork
ECD,RegNetwork
EDF1,RegNetwork
EDN1,TRRUST
EED,RegNetwork|ESCAPE
EGR1,RegNetwork|TRRUST
EGR2,RegNetwork|TRRUST
EGR3,RegNetwork|TRRUST
EGR4,TRRUST
EHF,RegNetwork|TRRUST
EHMT1,RegNetwork|TRRUST
EHMT2,RegNetwork|TRRUST
EIF2AK2,RegNetwork|TRRUST
EIF5B,RegNetwork
ELAVL2,RegNetwork
ELF1,RegNetwork|TRRUST|ESCAPE
ELF2,TRRUST
ELF3,RegNetwork|TRRUST
ELF4,RegNetwork|TRRUST
ELF5,RegNetwork|TRRUST
ELK1,RegNetwork|TRRUST
ELK3,RegNetwork|TRRUST
ELK4,RegNetwork
ELL,RegNetwork
ELL2,RegNetwork
ELL3,TRRUST
ELP2,TRRUST
ELP3,TRRUST
EMX1,RegNetwork
EMX2,RegNetwork|TRRUST
EN1,RegNetwork|TRRUST
EN2,TRRUST
EOMES,RegNetwork|TRRUST|ESCAPE
EP300,RegNetwork|TRRUST
EP400,RegNetwork
EPAS1,RegNetwork|TRRUST
EPC1,RegNetwork|TRRUST
EPO,TRRUST
EPOR,TRRUST
ERCC2,RegNetwork
ERCC3,RegNetwork
ERCC6,RegNetwork
ERCC8,RegNetwork
ERF,TRRUST
ERG,RegNetwork|TRRUST
ESPL1,RegNetwork
ESR1,RegNetwork|TRRUST
ESR2,RegNetwork|TRRUST
ESRRA,RegNetwork|TRRUST
ESRRB,RegNetwork|TRRUST|ESCAPE
ESRRG,RegNetwork|TRRUST
ESX1,ESCAPE
ETS1,RegNetwork|TRRUST
ETS2,RegNetwork|TRRUST
ETV1,RegNetwork|TRRUST
ETV2,TRRUST
ETV3,ESCAPE
ETV4,RegNetwork|TRRUST
ETV5,TRRUST
ETV6,RegNetwork|TRRUST
EWSR1,RegNetwork|TRRUST
EYA1,TRRUST
EYA2,RegNetwork|TRRUST
EYA3,RegNetwork
EYA4,RegNetwork
EZH1,RegNetwork|TRRUST
EZH2,RegNetwork|TRRUST|ESCAPE
FAIM3,RegNetwork
FEM1B,ESCAPE
FHL2,RegNetwork|TRRUST
FHL5,RegNetwork
FIZ1,RegNetwork
FLI1,RegNetwork|TRRUST
FMR1,RegNetwork|TRRUST
FOS,RegNetwork|TRRUST
FOSB,RegNetwork|TRRUST
FOSL1,RegNetwork|TRRUST
FOSL2,RegNetwork|TRRUST
FOXA1,RegNetwork|TRRUST
FOXA2,RegNetwork|TRRUST
FOXA3,RegNetwork|TRRUST
FOXB1,RegNetwork
FOXC1,RegNetwork|TRRUST
FOXC2,RegNetwork|TRRUST
FOXD1,TRRUST
FOXD3,RegNetwork|TRRUST
FOXE3,RegNetwork
FOXG1,RegNetwork|TRRUST
FOXH1,RegNetwork|TRRUST
FOXI1,RegNetwork|TRRUST
FOXJ1,RegNetwork|TRRUST
FOXJ2,RegNetwork|ESCAPE
FOXJ3,TRRUST
FOXL1,TRRUST
FOXL2,RegNetwork|TRRUST
FOXM1,RegNetwork|TRRUST
FOXN1,TRRUST
FOXN2,RegNetwork
FOXN4,RegNetwork|TRRUST
FOXO1,RegNetwork|TRRUST
FOXO3,RegNetwork|TRRUST
FOXO4,RegNetwork|TRRUST
FOXP1,RegNetwork|TRRUST
FOXP2,TRRUST
FOXP3,RegNetwork|TRRUST
FOXP4,RegNetwork
FOXQ1,RegNetwork|TRRUST
FUBP3,RegNetwork
FUS,RegNetwork|TRRUST
FXR1,RegNetwork
FXR2,RegNetwork
GABPA,RegNetwork|TRRUST
GABPB1,TRRUST
GATA1,RegNetwork|TRRUST
GATA2,RegNetwork|TRRUST
GATA3,RegNetwork|TRRUST|ESCAPE
GATA4,RegNetwork|TRRUST
GATA5,RegNetwork
GATA6,RegNetwork|TRRUST
GATAD2A,RegNetwork
GATAD2B,RegNetwork
GBX2,TRRUST
GCFC1,RegNetwork
GCFC2,TRRUST
GCGR,TRRUST
GCM2,RegNetwork|TRRUST
GCN5,ESCAPE
GFI1,RegNetwork|TRRUST
GFI1B,RegNetwork|TRRUST
GLI1,RegNetwork|TRRUST|ESCAPE
GLI2,RegNetwork|TRRUST
GLI3,RegNetwork|TRRUST
GLIS2,RegNetwork|TRRUST
GLIS3,TRRUST
GM5506,RegNetwork
GMEB1,RegNetwork
GMEB2,RegNetwork
GNRH1,RegNetwork|TRRUST
GON4L,RegNetwork
GRHL1,RegNetwork
GRIN1,TRRUST
GRLF1,RegNetwork
GSC,RegNetwork|TRRUST
GSC2,RegNetwork
GSX1,RegNetwork
GSX2,RegNetwork|TRRUST
GTF2A1,RegNetwork|TRRUST
GTF2A1L,RegNetwork
GTF2A2,TRRUST
GTF2B,RegNetwork|TRRUST
GTF2E1,RegNetwork
GTF2E2,RegNetwork
GTF2F1,RegNetwork
GTF2F2,RegNetwork
GTF2H1,RegNetwork|TRRUST
GTF2H2,RegNetwork
GTF2H3,RegNetwork
GTF2H4,RegNetwork
GTF2I,RegNetwork|TRRUST
GTF2IRD1,TRRUST
GTF3C1,RegNetwork
GTF3C2,RegNetwork
GTF3C3,RegNetwork
GTF3C4,RegNetwork
GTF3C5,RegNetwork
GZF1,RegNetwork|TRRUST
H1F0,RegNetwork
HABP4,RegNetwork
HAND1,RegNetwork
HAND2,RegNetwork|TRRUST
HAVCR2,RegNetwork|TRRUST
HAX1,RegNetwork
HBP1,TRRUST
HCFC1,RegNetwork|TRRUST
HCLS1,RegNetwork|TRRUST
HDAC1,RegNetwork|TRRUST
HDAC10,RegNetwork
HDAC11,RegNetwork|TRRUST
HDAC2,RegNetwork|TRRUST
HDAC3,RegNetwork|TRRUST
HDAC4,RegNetwork|TRRUST
HDAC5,RegNetwork
HDAC7,RegNetwork
HDAC8,RegNetwork
HDAC9,RegNetwork
HDGF,RegNetwork|TRRUST
HDGFRP2,RegNetwork
HELZ,RegNetwork
HES1,RegNetwork|TRRUST
HES6,RegNetwork|TRRUST
HES7,TRRUST
HESX1,RegNetwork|TRRUST
HEXIM1,RegNetwork|TRRUST
HEY1,RegNetwork|TRRUST
HEY2,RegNetwork|TRRUST
HEYL,RegNetwork|TRRUST
HGF,TRRUST
HHEX,RegNetwork|TRRUST
HIC1,RegNetwork|TRRUST
HIF1A,RegNetwork|TRRUST
HIF1AN,RegNetwork
HIF3A,RegNetwork
HIRA,RegNetwork
HIST1H1B,RegNetwork
HIST1H1C,RegNetwork
HIST1H1D,RegNetwork
HIST1H1E,RegNetwork
HIST1H1T,RegNetwork
HIST1H2BB,RegNetwork
HIST1H2BH,RegNetwork
HIST1H2BP,RegNetwork
HIST3H2BA,RegNetwork
HIVEP2,RegNetwork|TRRUST
HLF,RegNetwork|TRRUST
HLTF,RegNetwork|TRRUST
HLX,TRRUST
HMG20A,RegNetwork
HMG20B,RegNetwork
HMGA1,RegNetwork|TRRUST
HMGA2,RegNetwork|TRRUST
HMGB2,RegNetwork|TRRUST
HMGB4,RegNetwork
HMGN3,TRRUST
HMGXB3,RegNetwork
HMGXB4,RegNetwork
HMX3,RegNetwork
HNF1A,RegNetwork|TRRUST
HNF1B,RegNetwork|TRRUST
HNF4A,RegNetwork|TRRUST
HNF4G,RegNetwork
HNRNPAB,RegNetwork
HNRNPD,RegNetwork|TRRUST
HNRNPK,RegNetwork|TRRUST
HNRNPUL1,RegNetwork
HOPX,RegNetwork
HOXA1,RegNetwork|TRRUST
HOXA10,RegNetwork|TRRUST
HOXA11,RegNetwork|TRRUST
HOXA13,RegNetwork
HOXA2,RegNetwork|TRRUST
HOXA3,RegNetwork|TRRUST
HOXA4,RegNetwork|TRRUST
HOXA5,RegNetwork|TRRUST
HOXA6,RegNetwork
HOXA7,RegNetwork
HOXA9,RegNetwork|TRRUST
HOXB1,RegNetwork|TRRUST
HOXB13,RegNetwork
HOXB2,RegNetwork|TRRUST
HOXB3,RegNetwork|TRRUST
HOXB4,RegNetwork|TRRUST
HOXB5,RegNetwork|TRRUST
HOXB6,RegNetwork
HOXB7,RegNetwork
HOXB8,RegNetwork|TRRUST
HOXB9,RegNetwork
HOXC12,RegNetwork
HOXC13,RegNetwork|TRRUST
HOXC4,RegNetwork
HOXC5,RegNetwork
HOXC6,RegNetwork|TRRUST
HOXC8,RegNetwork|TRRUST
HOXD1,RegNetwork
HOXD10,RegNetwork
