,GSD_2000_0,GSD_2000_0_20,GSD_2000_0_50,GSD_2000_1,GSD_2000_1_20,GSD_2000_1_50,GSD_2000_2,GSD_2000_2_20,GSD_2000_2_50,GSD_2000_3,GSD_2000_3_20,GSD_2000_3_50,GSD_2000_4,GSD_2000_4_20,GSD_2000_4_50,GSD_2000_5,GSD_2000_5_20,GSD_2000_5_50,GSD_2000_6,GSD_2000_6_20,GSD_2000_6_50,GSD_2000_7,GSD_2000_7_20,GSD_2000_7_50,GSD_2000_8,GSD_2000_8_20,GSD_2000_8_50,GSD_2000_9,GSD_2000_9_20,GSD_2000_9_50
PIDC,0.26,0.28,0.34,0.3,0.2857142857142857,0.3,0.2653061224489796,0.2857142857142857,0.3,0.30612244897959184,0.30612244897959184,0.34,0.2857142857142857,0.2857142857142857,0.28,0.2653061224489796,0.2857142857142857,0.28,0.3,0.3,0.32,0.3,0.3,0.32,0.26,0.28,0.34,0.3,0.2857142857142857,0.3
GRNVBEM,0.22807017543859648,0.2037037037037037,0.24489795918367346,0.3333333333333333,0.2857142857142857,0.2653061224489796,0.25925925925925924,0.1836734693877551,0.22448979591836735,0.23214285714285715,0.19230769230769232,0.22448979591836735,0.25,0.27450980392156865,0.1836734693877551,0.2835820895522388,0.27450980392156865,0.24489795918367346,0.29411764705882354,0.2653061224489796,0.24489795918367346,0.3,0.2653061224489796,0.24489795918367346,0.22807017543859648,0.2037037037037037,0.24489795918367346,0.3333333333333333,0.2857142857142857,0.2653061224489796
GENIE3,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.32653061224489793,0.3469387755102041,0.32653061224489793,0.3673469387755102,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.32653061224489793,0.3469387755102041,0.32653061224489793,0.3673469387755102,0.3673469387755102,0.32653061224489793,0.3673469387755102,0.3469387755102041,0.32653061224489793,0.32653061224489793,0.3673469387755102,0.32653061224489793,0.3673469387755102,0.3469387755102041,0.3469387755102041,0.3469387755102041
GRNBOOST2,0.30612244897959184,0.30612244897959184,0.24489795918367346,0.2653061224489796,0.30612244897959184,0.2653061224489796,0.2857142857142857,0.32653061224489793,0.32653061224489793,0.30612244897959184,0.30612244897959184,0.2857142857142857,0.2653061224489796,0.2857142857142857,0.30612244897959184,0.32653061224489793,0.30612244897959184,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.32653061224489793,0.2857142857142857,0.2653061224489796,0.2857142857142857,0.30612244897959184,0.30612244897959184,0.3469387755102041,0.32653061224489793,0.2653061224489796,0.2653061224489796
PPCOR,0.34,0.36,0.3469387755102041,0.34,0.3673469387755102,0.32,0.3673469387755102,0.3673469387755102,0.32,0.38,0.38,0.28,0.34,0.3469387755102041,0.30612244897959184,0.3469387755102041,0.3469387755102041,0.30612244897959184,0.3469387755102041,0.32653061224489793,0.34,0.36,0.38,0.32,0.34,0.36,0.3469387755102041,0.34,0.3673469387755102,0.32
SCODE,0.24489795918367346,0.22448979591836735,0.24489795918367346,0.2653061224489796,0.24489795918367346,0.24489795918367346,0.1836734693877551,0.22448979591836735,0.16326530612244897,0.20408163265306123,0.14285714285714285,0.1836734693877551,0.1836734693877551,0.16326530612244897,0.2857142857142857,0.12244897959183673,0.22448979591836735,0.16326530612244897,0.16326530612244897,0.16326530612244897,0.2857142857142857,0.24489795918367346,0.2653061224489796,0.2653061224489796,0.2857142857142857,0.1836734693877551,0.1836734693877551,0.24489795918367346,0.2857142857142857,0.2653061224489796
SCNS,0.14285714285714285,0.14,0.1509433962264151,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.17307692307692307,0.17307692307692307,0.10204081632653061,0.19230769230769232,0.20408163265306123,0.14,0.15384615384615385,0.12244897959183673,0.12244897959183673,0.1836734693877551,0.1836734693877551,0.14285714285714285,0.16,0.16,0.12,0.14,0.16326530612244897,0.14285714285714285,0.14285714285714285,0.14,0.1509433962264151,0.14285714285714285,0.14285714285714285,0.14285714285714285
SINCERITIES,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.20408163265306123,0.20408163265306123,0.24489795918367346,0.1836734693877551,0.20408163265306123,0.20408163265306123,0.16326530612244897,0.16326530612244897,0.14285714285714285,0.16326530612244897,0.1836734693877551,0.24489795918367346,0.1836734693877551,0.16326530612244897,0.16326530612244897,0.14285714285714285,0.16326530612244897,0.22448979591836735,0.16326530612244897,0.16326530612244897,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.1836734693877551,0.20408163265306123,0.20408163265306123,0.24489795918367346
LEAP,0.36,0.3673469387755102,0.3469387755102041,0.12,0.12,0.12244897959183673,0.30612244897959184,0.30612244897959184,0.3469387755102041,0.3673469387755102,0.3673469387755102,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.32653061224489793,0.32653061224489793,0.32653061224489793,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.3469387755102041,0.30612244897959184,0.30612244897959184,0.3469387755102041,0.36,0.3673469387755102,0.3469387755102041,0.12,0.12,0.12244897959183673
GRISLI,0.18,0.16326530612244897,0.20408163265306123,0.30612244897959184,0.32653061224489793,0.2653061224489796,0.14285714285714285,0.1836734693877551,0.22,0.16,0.16,0.1836734693877551,0.14285714285714285,0.16326530612244897,0.22448979591836735,0.22448979591836735,0.24,0.20408163265306123,0.16,0.14285714285714285,0.18,0.2,0.22,0.24,0.18,0.16326530612244897,0.20408163265306123,0.30612244897959184,0.32653061224489793,0.2653061224489796
