,GSD_2000_0,GSD_2000_0_20,GSD_2000_0_50,GSD_2000_1,GSD_2000_1_20,GSD_2000_1_50,GSD_2000_2,GSD_2000_2_20,GSD_2000_2_50,GSD_2000_3,GSD_2000_3_20,GSD_2000_3_50,GSD_2000_4,GSD_2000_4_20,GSD_2000_4_50,GSD_2000_5,GSD_2000_5_20,GSD_2000_5_50,GSD_2000_6,GSD_2000_6_20,GSD_2000_6_50,GSD_2000_7,GSD_2000_7_20,GSD_2000_7_50,GSD_2000_8,GSD_2000_8_20,GSD_2000_8_50,GSD_2000_9,GSD_2000_9_20,GSD_2000_9_50
PIDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRNVBEM,0.043478260869565216,0.06521739130434782,0.030303030303030304,0.02857142857142857,0.034482758620689655,0.0,0.047619047619047616,0.05,0.0,0.06521739130434782,0.1,0.034482758620689655,0.045454545454545456,0.02631578947368421,0.0,0.058823529411764705,0.075,0.058823529411764705,0.06060606060606061,0.1111111111111111,0.037037037037037035,0.05405405405405406,0.06060606060606061,0.07407407407407407,0.043478260869565216,0.06521739130434782,0.030303030303030304,0.02857142857142857,0.034482758620689655,0.0
GENIE3,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0
GRNBOOST2,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.0,0.037037037037037035,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.037037037037037035,0.0
PPCOR,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.037037037037037035,0.03571428571428571,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0
SCODE,0.14814814814814814,0.2222222222222222,0.3333333333333333,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.14814814814814814,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.25925925925925924,0.14814814814814814,0.2222222222222222,0.25925925925925924,0.2222222222222222,0.18518518518518517,0.2962962962962963,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.25925925925925924,0.1111111111111111
SCNS,0.14814814814814814,0.14285714285714285,0.14814814814814814,0.21428571428571427,0.18518518518518517,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.2222222222222222,0.17857142857142858,0.14814814814814814,0.17857142857142858,0.14285714285714285,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.14285714285714285,0.14814814814814814,0.21428571428571427,0.18518518518518517,0.21428571428571427
SINCERITIES,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.0,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.0,0.037037037037037035,0.07407407407407407
LEAP,0.14814814814814814,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.18518518518518517,0.18518518518518517,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.0,0.14814814814814814,0.14814814814814814,0.0,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.037037037037037035,0.1111111111111111,0.1111111111111111,0.07407407407407407
GRISLI,0.1111111111111111,0.07142857142857142,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.07142857142857142,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.21428571428571427,0.07407407407407407,0.037037037037037035,0.14285714285714285,0.14814814814814814,0.07142857142857142,0.14285714285714285,0.18518518518518517,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.07142857142857142,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111
SCINGE,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.07142857142857142,0.07407407407407407,0.07407407407407407,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07142857142857142,0.07407407407407407,0.07407407407407407,0.07142857142857142,0.037037037037037035,0.10714285714285714,0.1111111111111111,0.07142857142857142,0.14814814814814814,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.07142857142857142,0.07407407407407407,0.07407407407407407
SCRIBE,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.18518518518518517,0.18518518518518517,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.037037037037037035,0.2222222222222222,0.18518518518518517,0.1111111111111111,0.2222222222222222,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.14814814814814814,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.2222222222222222,0.2222222222222222,0.07407407407407407,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.18518518518518517,0.18518518518518517,0.07407407407407407
