,GSD_2000_0,GSD_2000_1,GSD_2000_2,GSD_2000_3,GSD_2000_4,GSD_2000_5,GSD_2000_6,GSD_2000_7,GSD_2000_8,GSD_2000_9,GSD_2000_0_20,GSD_2000_1_20,GSD_2000_2_20,GSD_2000_3_20,GSD_2000_4_20,GSD_2000_5_20,GSD_2000_6_20,GSD_2000_7_20,GSD_2000_8_20,GSD_2000_9_20,GSD_2000_0_50,GSD_2000_1_50,GSD_2000_2_50,GSD_2000_3_50,GSD_2000_4_50,GSD_2000_5_50,GSD_2000_6_50,GSD_2000_7_50,GSD_2000_8_50,GSD_2000_9_50
GENIE3,0.9642857142857143,0.8571428571428571,0.8571428571428571,0.8214285714285714,0.8571428571428571,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8928571428571429,1.0,0.9285714285714286,0.8571428571428571,1.0,1.0357142857142858,1.0357142857142858,1.0,1.0714285714285714,1.0,1.0357142857142858,1.0714285714285714,1.0,0.9642857142857143
GRISLI,0.8214285714285714,0.9642857142857143,0.8571428571428571,0.7857142857142857,0.8928571428571429,0.7857142857142857,1.0357142857142858,0.9285714285714286,0.8214285714285714,0.9642857142857143,0.8214285714285714,1.0,1.0714285714285714,0.8214285714285714,1.0357142857142858,0.7857142857142857,1.0,0.9285714285714286,0.8214285714285714,1.0,0.6785714285714286,0.5714285714285714,0.7142857142857143,0.8214285714285714,0.9642857142857143,0.6785714285714286,0.6785714285714286,0.8571428571428571,0.6785714285714286,0.5714285714285714
GRNBOOST2,1.0357142857142858,0.8214285714285714,1.1428571428571428,0.8214285714285714,0.9285714285714286,1.1428571428571428,1.2142857142857142,0.7857142857142857,1.0714285714285714,1.0,1.0357142857142858,1.0714285714285714,1.1071428571428572,1.1428571428571428,1.0357142857142858,1.1071428571428572,1.1071428571428572,1.1785714285714286,0.9285714285714286,1.0714285714285714,1.1785714285714286,1.1785714285714286,1.1428571428571428,1.25,1.25,0.9642857142857143,1.1785714285714286,1.1071428571428572,1.25,0.9642857142857143
GRNVBEM,0.8214285714285714,0.6428571428571429,0.8214285714285714,1.25,0.8928571428571429,1.0,1.0,0.7857142857142857,0.8214285714285714,0.6428571428571429,0.7857142857142857,0.4642857142857143,0.8571428571428571,0.9642857142857143,1.2142857142857142,1.2142857142857142,0.8214285714285714,1.25,0.7857142857142857,0.4642857142857143,0.8928571428571429,0.6428571428571429,0.5,0.5357142857142857,1.1071428571428572,0.75,0.8928571428571429,0.6428571428571429,0.8928571428571429,0.6428571428571429
LEAP,0.25,0.6071428571428571,0.4642857142857143,0.25,0.32142857142857145,0.32142857142857145,0.42857142857142855,0.35714285714285715,0.25,0.6071428571428571,0.25,0.6071428571428571,0.4642857142857143,0.25,0.32142857142857145,0.32142857142857145,0.42857142857142855,0.35714285714285715,0.25,0.6071428571428571,0.5,0.7857142857142857,0.17857142857142858,0.21428571428571427,0.03571428571428571,0.5,0.2857142857142857,0.5,0.5,0.7857142857142857
SCINGE,0.35714285714285715,0.39285714285714285,0.39285714285714285,0.7142857142857143,0.21428571428571427,0.39285714285714285,0.25,0.10714285714285714,0.35714285714285715,0.39285714285714285,0.32142857142857145,0.2857142857142857,0.2857142857142857,0.6785714285714286,0.14285714285714285,0.39285714285714285,0.10714285714285714,0.21428571428571427,0.32142857142857145,0.2857142857142857,0.25,0.25,0.32142857142857145,0.42857142857142855,0.10714285714285714,0.35714285714285715,0.07142857142857142,0.42857142857142855,0.25,0.25
SCNS,0.5714285714285714,0.9642857142857143,0.6071428571428571,0.75,1.0,0.6071428571428571,0.6785714285714286,0.7142857142857143,0.5714285714285714,0.9642857142857143,0.6428571428571429,1.0357142857142858,0.6071428571428571,0.75,1.0,0.6071428571428571,0.6785714285714286,0.75,0.6428571428571429,1.0357142857142858,0.6785714285714286,0.7857142857142857,0.8214285714285714,0.75,0.8571428571428571,0.7142857142857143,0.6428571428571429,0.6428571428571429,0.6785714285714286,0.7857142857142857
SCODE,1.8214285714285714,0.8928571428571429,1.1071428571428572,1.5,1.3214285714285714,0.9642857142857143,1.4642857142857142,2.107142857142857,1.8928571428571428,0.9285714285714286,1.8928571428571428,1.4642857142857142,1.2857142857142858,1.3571428571428572,1.0357142857142858,1.3571428571428572,1.75,1.4285714285714286,1.6785714285714286,1.2857142857142858,2.0714285714285716,1.25,1.1071428571428572,1.4642857142857142,1.7857142857142858,1.3214285714285714,1.75,1.6428571428571428,1.7142857142857142,1.25
SCRIBE,1.3214285714285714,1.0714285714285714,1.6428571428571428,1.6785714285714286,1.5714285714285714,1.6071428571428572,1.0714285714285714,1.1071428571428572,1.3214285714285714,1.0714285714285714,1.3571428571428572,1.1071428571428572,1.8928571428571428,1.7142857142857142,1.75,1.25,1.3214285714285714,1.3571428571428572,1.3571428571428572,1.1071428571428572,1.4642857142857142,0.9285714285714286,1.25,1.4642857142857142,1.25,1.3928571428571428,1.5,1.3571428571428572,1.4642857142857142,0.9285714285714286
SINCERITIES,0.32142857142857145,0.8571428571428571,0.25,0.32142857142857145,0.17857142857142858,0.17857142857142858,0.21428571428571427,0.21428571428571427,0.32142857142857145,0.8571428571428571,0.32142857142857145,0.6428571428571429,0.25,0.25,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.2857142857142857,0.32142857142857145,0.6428571428571429,0.25,0.6428571428571429,0.39285714285714285,0.17857142857142858,0.07142857142857142,0.42857142857142855,0.4642857142857143,0.42857142857142855,0.25,0.6428571428571429
