,GSD_2000_0,GSD_2000_1,GSD_2000_2,GSD_2000_3,GSD_2000_4,GSD_2000_5,GSD_2000_6,GSD_2000_7,GSD_2000_8,GSD_2000_9,GSD_2000_0_20,GSD_2000_1_20,GSD_2000_2_20,GSD_2000_3_20,GSD_2000_4_20,GSD_2000_5_20,GSD_2000_6_20,GSD_2000_7_20,GSD_2000_8_20,GSD_2000_9_20,GSD_2000_0_50,GSD_2000_1_50,GSD_2000_2_50,GSD_2000_3_50,GSD_2000_4_50,GSD_2000_5_50,GSD_2000_6_50,GSD_2000_7_50,GSD_2000_8_50,GSD_2000_9_50
GENIE3,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.7222222222222223,1.7222222222222223,1.7222222222222223,1.6666666666666667,1.7222222222222223,1.7222222222222223,1.7222222222222223,1.7222222222222223,1.7222222222222223,1.6666666666666667,1.7222222222222223,1.7222222222222223,1.7222222222222223,1.6666666666666667,1.6111111111111112,1.6666666666666667,1.5555555555555556,1.5555555555555556,1.6666666666666667,1.6111111111111112,1.6111111111111112,1.6111111111111112,1.6111111111111112,1.6111111111111112,1.6111111111111112,1.6666666666666667
GRISLI,0.7222222222222222,0.5555555555555556,0.9444444444444444,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.6111111111111112,0.7777777777777778,0.7222222222222222,0.5555555555555556,0.7777777777777778,0.5,0.8888888888888888,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.5,0.3888888888888889,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.6111111111111112,0.5,0.5555555555555556,0.5,0.3888888888888889,0.6666666666666666
GRNBOOST2,1.5,1.3333333333333333,1.4444444444444444,1.3333333333333333,1.5555555555555556,1.2777777777777777,1.5,1.5,1.5555555555555556,1.5,1.5,1.3333333333333333,1.6111111111111112,1.4444444444444444,1.4444444444444444,1.5555555555555556,1.5,1.6111111111111112,1.3888888888888888,1.4444444444444444,1.3333333333333333,1.3888888888888888,1.5,1.3888888888888888,1.3888888888888888,1.3333333333333333,1.5,1.3333333333333333,1.5555555555555556,1.4444444444444444
GRNVBEM,1.1666666666666667,0.9444444444444444,1.5,1.3333333333333333,1.5,1.2222222222222223,1.4444444444444444,1.2222222222222223,1.1666666666666667,0.9444444444444444,1.1111111111111112,1.0,1.3333333333333333,1.0555555555555556,1.3888888888888888,1.1666666666666667,1.0555555555555556,1.2222222222222223,1.1111111111111112,1.0,1.2222222222222223,0.8333333333333334,1.1666666666666667,1.0,1.1666666666666667,1.0,1.1111111111111112,1.1666666666666667,1.2222222222222223,0.8333333333333334
LEAP,0.4444444444444444,1.0,0.6111111111111112,0.4444444444444444,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,0.4444444444444444,1.0,0.6111111111111112,0.4444444444444444,0.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,0.7222222222222222,1.0,0.4444444444444444,0.5,0.2777777777777778,0.6666666666666666,0.4444444444444444,0.7777777777777778,0.7222222222222222,1.0
SCINGE,0.3333333333333333,0.3888888888888889,0.2222222222222222,0.4444444444444444,0.2777777777777778,0.4444444444444444,0.3888888888888889,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.4444444444444444,0.2222222222222222,0.4444444444444444,0.2222222222222222,0.2777777777777778,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.4444444444444444
SCNS,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.7222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.8333333333333334,0.6111111111111112,0.7777777777777778,0.8333333333333334,0.7222222222222222,0.8888888888888888,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.6111111111111112,0.7777777777777778
SCODE,1.2777777777777777,0.8333333333333334,0.7222222222222222,1.1111111111111112,0.8888888888888888,0.8333333333333334,1.1666666666666667,1.3888888888888888,1.2777777777777777,0.8333333333333334,1.2777777777777777,0.9444444444444444,0.8888888888888888,1.0,0.8333333333333334,0.8888888888888888,0.9444444444444444,0.8888888888888888,1.2222222222222223,0.7777777777777778,1.2222222222222223,0.8333333333333334,0.7777777777777778,0.8888888888888888,1.0,1.0555555555555556,1.1666666666666667,0.9444444444444444,1.2777777777777777,0.8333333333333334
SCRIBE,0.8888888888888888,0.7222222222222222,0.9444444444444444,0.7777777777777778,1.0,0.8888888888888888,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.7222222222222222,1.0555555555555556,0.7222222222222222,1.1111111111111112,0.8888888888888888,1.1666666666666667,1.1666666666666667,0.8888888888888888,0.9444444444444444,1.0555555555555556,0.7222222222222222,1.0,0.6111111111111112,0.9444444444444444,0.8888888888888888,0.8333333333333334,0.8888888888888888,0.7777777777777778,0.8333333333333334,1.0,0.6111111111111112
SINCERITIES,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.16666666666666666,0.3888888888888889,0.2777777777777778,0.2222222222222222,0.4444444444444444,0.3333333333333333,0.5,0.5,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.5555555555555556,0.2222222222222222,0.4444444444444444,0.5,0.5
