,Spearman Median,Spearman MAD
GENIE3,0.9856262836755543,0.01053282667224537
GRISLI,0.5102641570338535,0.10078289734907198
GRNBOOST2,0.8929186032889993,0.01692956182083924
GRNVBEM,0.5982477567811452,0.10792977854201546
LEAP,0.9567374515825368,0.24670026734111075
PIDC,0.9545563635490916,0.01789318724530654
PPCOR,0.8117064612866978,0.04424236789339876
SCINGE,0.31648693462215305,0.14855921479053313
SCNS,0.9714547232897549,0.015566805099382857
SCODE,0.5005570062567395,0.21839701528764152
SCRIBE,0.5571795009097944,0.06801568607676119
SINCERITIES,0.5389025443738087,0.2815943688077772
