,Median EPR Activation,Median EPR Inhibition
GENIE3,0.3469387755102041,0.0
GRISLI,0.20204081632653062,0.14285714285714285
GRNBOOST2,0.29591836734693877,0.037037037037037035
GRNVBEM,0.24744897959183673,0.044466403162055336
LEAP,0.3469387755102041,0.1111111111111111
PIDC,0.3,0.0
PPCOR,0.3469387755102041,0.0
SCINGE,0.18,0.07407407407407407
SCNS,0.14285714285714285,0.17857142857142858
SCODE,0.22448979591836735,0.18518518518518517
SCRIBE,0.2857142857142857,0.14814814814814814
SINCERITIES,0.1836734693877551,0.07407407407407407
