Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3458097798781175
DMRT1	DKK1	0.3332952777435288
DKK1	DMRT1	0.3160217874149662
FOXL2	WT1pKTS	0.2850303229679555
UGR	CBX2	0.27869272801605904
FGF9	DHH	0.2773412740113988
CBX2	UGR	0.2636570599594798
CTNNB1	RSPO1	0.2630260785832915
DHH	FGF9	0.26210438131907177
DHH	PGD2	0.25084287030464625
RSPO1	CTNNB1	0.2487761990223879
RSPO1	WNT4	0.2434110255687653
DMRT1	SRY	0.23581440854619615
PGD2	FGF9	0.2319050116830063
FGF9	PGD2	0.2264698194115025
DKK1	SRY	0.2252553797144088
DHH	AMH	0.22078086856683396
PGD2	DHH	0.22016570444323735
RSPO1	NR5A1	0.2131596329775321
SRY	DMRT1	0.20557026166027456
PGD2	AMH	0.20315959707579825
AMH	FGF9	0.19264711524370767
FGF9	AMH	0.1923225257897377
DHH	SOX9	0.19219653302417355
AMH	PGD2	0.19125949637248096
NR5A1	RSPO1	0.18699544874829102
PGD2	SOX9	0.18082860474496604
SRY	DKK1	0.17954598288771406
FOXL2	CTNNB1	0.17350077218595109
CTNNB1	FOXL2	0.1715207170845224
GATA4	WT1mKTS	0.17103543771319882
RSPO1	NR0B1	0.16350148054059768
WT1mKTS	GATA4	0.16215816605885994
CTNNB1	WNT4	0.16105648537444614
FGF9	SOX9	0.1540277025195203
AMH	DHH	0.15257724071864745
WNT4	RSPO1	0.14647783151086746
SRY	UGR	0.14613568054155204
WNT4	NR0B1	0.14027562954893993
NR5A1	WT1pKTS	0.13685437739885753
NR0B1	WNT4	0.13616515240977264
NR5A1	FOXL2	0.13552165716544726
CTNNB1	NR5A1	0.13343274826551674
SOX9	DMRT1	0.12422229216580424
CTNNB1	WT1pKTS	0.12390100273650767
SOX9	DKK1	0.12151569537517652
SRY	WT1pKTS	0.12047234616670642
SOX9	AMH	0.1185796948690994
WT1pKTS	CTNNB1	0.117797154207264
AMH	SOX9	0.11354454675723448
FOXL2	NR5A1	0.11194489415428928
SOX9	DHH	0.10987089925271036
FOXL2	RSPO1	0.10947390695334258
SOX9	PGD2	0.10934835769785464
UGR	GATA4	0.10206231774611096
NR0B1	UGR	0.10202851609353486
RSPO1	FOXL2	0.09889033787175272
WT1pKTS	NR5A1	0.09850101261036144
CTNNB1	NR0B1	0.09655273024994804
SOX9	FGF9	0.0956835400565364
DMRT1	CBX2	0.09378562739005243
WT1pKTS	WT1mKTS	0.0919313107380562
NR5A1	CTNNB1	0.09010076892193764
NR5A1	CBX2	0.08786852401126857
WT1pKTS	SRY	0.0877114547792682
UGR	WT1mKTS	0.08621358432511136
DKK1	SOX9	0.08461117895429496
DKK1	CBX2	0.0843160650939369
WNT4	CTNNB1	0.08388093099879101
