Gene1	Gene2	EdgeWeight
CTNNB1	RSPO1	0.9599589095081541
RSPO1	CTNNB1	0.9599589095081541
DKK1	FGF9	0.956970951002153
DMRT1	PGD2	0.955642234540198
DMRT1	DKK1	0.953387156318352
DKK1	DMRT1	0.953387156318352
DMRT1	FGF9	0.9516261727940741
DKK1	PGD2	0.9515347071980329
DMRT1	DHH	0.951068269434732
DKK1	AMH	0.9507911228640419
CTNNB1	FOXL2	0.9494065233039319
DMRT1	AMH	0.947893589328688
DKK1	DHH	0.947864283341687
RSPO1	FOXL2	0.9457125437149251
DMRT1	SOX9	0.940852938605147
DKK1	SOX9	0.9365736389564058
SOX9	AMH	0.915074190785724
SOX9	PGD2	0.9142166305374159
RSPO1	WT1pKTS	0.91296819061417
CTNNB1	WT1pKTS	0.9129072997762909
SOX9	DHH	0.910279274198126
SOX9	FGF9	0.906356315334914
WNT4	FOXL2	0.9029041132306509
WNT4	WT1pKTS	0.889089849320215
RSPO1	NR5A1	0.8865737057100279
WNT4	RSPO1	0.883629962557068
CTNNB1	NR5A1	0.883157866714031
UGR	WNT4	0.880492608909895
WNT4	CTNNB1	0.8804826962749169
UGR	WT1pKTS	0.8793491465984692
WNT4	NR5A1	0.877040053185212
NR0B1	FOXL2	0.8736441653943778
UGR	FOXL2	0.873097286448558
SRY	DKK1	0.865898810322202
WNT4	CBX2	0.8649724165080871
UGR	NR5A1	0.864873436272317
NR0B1	DKK1	0.8632859526020029
SRY	DMRT1	0.863202757685472
SRY	DHH	0.860335315043266
NR0B1	CTNNB1	0.8594631334176209
NR0B1	NR5A1	0.859040262339091
UGR	RSPO1	0.858911385766929
SRY	PGD2	0.857894504349255
SRY	SOX9	0.857874088288506
NR0B1	WT1pKTS	0.8576528036537621
NR0B1	DMRT1	0.8570331164731378
UGR	CTNNB1	0.8567857604968299
SRY	FGF9	0.8567760351493001
NR0B1	RSPO1	0.856010093249645
WNT4	UGR	0.8540305866913199
UGR	DKK1	0.8537772982419279
UGR	CBX2	0.8527873108127131
DKK1	NR0B1	0.852256883497117
WNT4	NR0B1	0.8493332448244759
NR0B1	WNT4	0.8493332448244759
DMRT1	NR0B1	0.849274227821142
NR0B1	SOX9	0.849012849820847
UGR	DMRT1	0.843060020938211
NR0B1	SRY	0.83812327603645
SRY	AMH	0.837488916680548
FOXL2	WT1pKTS	0.8354006911723479
NR0B1	CBX2	0.8262119588638499
NR0B1	UGR	0.8241138454681339
NR5A1	WT1pKTS	0.824041864888846
CBX2	NR5A1	0.8196764950668379
SRY	NR0B1	0.8177560447239
SRY	WNT4	0.812145424512368
NR5A1	FOXL2	0.8014263847386321
UGR	SOX9	0.800579744078639
CBX2	FOXL2	0.7896503353326009
UGR	NR0B1	0.7888799697981541
NR0B1	PGD2	0.785542690726624
NR0B1	DHH	0.7854857400406049
CBX2	RSPO1	0.7829630995232729
NR0B1	FGF9	0.7799060322804141
CBX2	CTNNB1	0.7792056716732528
WT1pKTS	FOXL2	0.775670513881386
UGR	SRY	0.774047842472683
CBX2	WT1pKTS	0.7681772686701949
NR0B1	AMH	0.76501327164747
RSPO1	CBX2	0.7630039101686691
CTNNB1	CBX2	0.7616869868163
NR5A1	CTNNB1	0.7507333491529029
SRY	UGR	0.7468714501368621
DMRT1	SRY	0.7465752737444599
SRY	CBX2	0.746458388579398
SOX9	DKK1	0.742361076852659
NR5A1	RSPO1	0.739476457297971
DKK1	SRY	0.738714096718368
FOXL2	CTNNB1	0.737240228441958
WT1pKTS	UGR	0.7293914675731931
NR5A1	WNT4	0.7228354498153521
CBX2	WNT4	0.7156721195949929
WNT4	SRY	0.7081577642697579
CBX2	NR0B1	0.706874981045285
UGR	DHH	0.703498100638223
UGR	PGD2	0.7030272822652499
NR5A1	CBX2	0.7000034664643859
WT1pKTS	NR5A1	0.6998072393008778
UGR	FGF9	0.699212010968467
RSPO1	NR0B1	0.698717838282121
FOXL2	RSPO1	0.6980731672007551
CTNNB1	NR0B1	0.698007456224345
WT1pKTS	DMRT1	0.6932927399740051
WT1pKTS	DKK1	0.6914875408318089
FOXL2	NR5A1	0.687285207949787
UGR	AMH	0.6861440749552961
SOX9	DMRT1	0.686021694925579
CBX2	SRY	0.6837804429104329
RSPO1	WNT4	0.680776887755618
DKK1	WNT4	0.6783326336536379
CBX2	PGD2	0.67826140156923
DMRT1	WNT4	0.6777623738004089
CBX2	DKK1	0.676458360737438
CBX2	DMRT1	0.675194835465176
CBX2	DHH	0.673330326236262
CTNNB1	WNT4	0.6714737272268729
CBX2	FGF9	0.6713722805914749
CBX2	AMH	0.6706363722160921
CBX2	SOX9	0.669038318655515
CBX2	UGR	0.6679796801424599
DMRT1	CBX2	0.652581676465499
DKK1	CBX2	0.649592441820228
WT1pKTS	SRY	0.645177402552429
RSPO1	UGR	0.644660828729552
RSPO1	SOX9	0.643910173975851
CTNNB1	UGR	0.642011605328343
RSPO1	AMH	0.635227910346536
NR5A1	NR0B1	0.6291330514831078
WNT4	DMRT1	0.621218285799754
WT1mKTS	DMRT1	0.619577156616684
WNT4	DKK1	0.6193980189788261
WT1mKTS	UGR	0.6181276237330771
RSPO1	DMRT1	0.613902103448087
RSPO1	DKK1	0.6086428645782049
WT1mKTS	DKK1	0.6006248675653321
GATA4	NR5A1	0.599696705266557
GATA4	UGR	0.599107781966968
GATA4	DKK1	0.597014494151478
WT1pKTS	CBX2	0.596991491957482
WT1pKTS	WT1mKTS	0.589086919814864
WT1mKTS	WT1pKTS	0.589086919814864
RSPO1	FGF9	0.5881220921202521
GATA4	CTNNB1	0.587945557642223
GATA4	DMRT1	0.586776209580809
RSPO1	PGD2	0.58432820915601
WT1pKTS	NR0B1	0.583060016630014
NR5A1	SRY	0.5817000776898729
GATA4	CBX2	0.575293215759296
RSPO1	DHH	0.5744021475141171
DHH	PGD2	0.57429351282598
PGD2	DHH	0.57429351282598
SRY	RSPO1	0.572926683597889
WT1mKTS	NR5A1	0.5722561976812429
WT1mKTS	RSPO1	0.569956076759381
GATA4	RSPO1	0.568153262929014
GATA4	WNT4	0.567097200843055
WT1mKTS	SRY	0.5668111984856589
GATA4	NR0B1	0.559686402092522
GATA4	SRY	0.5558841821843511
WT1mKTS	CTNNB1	0.5472708106954149
WT1mKTS	CBX2	0.5455239741073811
DKK1	UGR	0.5452792959085929
DMRT1	UGR	0.543854683804425
WT1pKTS	WNT4	0.538576665727189
GATA4	FOXL2	0.5371009068400371
AMH	DHH	0.536695968446573
DHH	AMH	0.536695968446573
NR5A1	SOX9	0.535817879297734
NR5A1	AMH	0.534889266804539
WT1mKTS	WNT4	0.53165757222413
GATA4	WT1pKTS	0.530380048400899
WT1mKTS	NR0B1	0.528162456285411
FOXL2	CBX2	0.5223402131888649
NR5A1	DKK1	0.5196188081666641
WT1pKTS	SOX9	0.5192054853669389
NR5A1	DMRT1	0.5173526403994171
NR5A1	FGF9	0.51679773814898
RSPO1	SRY	0.5147883538700371
NR5A1	PGD2	0.5144832221715699
NR0B1	WT1mKTS	0.513072128566079
NR5A1	DHH	0.5130029109183379
SRY	NR5A1	0.5076382620470921
DKK1	NR5A1	0.501135175698213
DMRT1	NR5A1	0.49867874288854597
CTNNB1	SRY	0.493652235906455
WT1pKTS	GATA4	0.49295935242219
SOX9	NR0B1	0.490132949390762
SRY	WT1pKTS	0.48709129610951796
WT1mKTS	SOX9	0.48431557333522995
NR0B1	GATA4	0.4839362567232029
WT1pKTS	CTNNB1	0.476932061538102
WT1mKTS	FOXL2	0.47329650267034
WNT4	GATA4	0.47297603731672294
WNT4	WT1mKTS	0.47050446354995007
FOXL2	NR0B1	0.46653721627548905
WT1mKTS	GATA4	0.460831245381505
GATA4	WT1mKTS	0.46073824531273105
PGD2	AMH	0.455482592863395
AMH	PGD2	0.455482592863395
WNT4	SOX9	0.45521255534006894
CTNNB1	SOX9	0.45349096563289004
PGD2	FGF9	0.45173589644792994
FGF9	PGD2	0.45173589644792994
FOXL2	WNT4	0.450079588355079
GATA4	SOX9	0.449027030057825
SRY	CTNNB1	0.446966579966015
WT1pKTS	RSPO1	0.43974933299502605
CTNNB1	DMRT1	0.437745507067579
SRY	WT1mKTS	0.432011250134433
FOXL2	UGR	0.42629307381649206
DMRT1	RSPO1	0.42095205053265505
SOX9	SRY	0.419578080647286
WT1pKTS	PGD2	0.418371841920609
CTNNB1	DKK1	0.4177309836788
WT1pKTS	DHH	0.416994663936708
FGF9	DHH	0.416253488145194
DHH	FGF9	0.416253488145194
SRY	GATA4	0.41279935125360795
WT1mKTS	DHH	0.409436477339707
WT1pKTS	FGF9	0.40873583904734606
WT1mKTS	PGD2	0.407517029616081
CTNNB1	AMH	0.40506381434847705
WT1mKTS	FGF9	0.40185224970822797
WT1pKTS	AMH	0.39829724783596204
DKK1	RSPO1	0.39788040277106396
WT1mKTS	AMH	0.39572489293553004
GATA4	DHH	0.39452795445420896
WNT4	FGF9	0.39130133799590106
CTNNB1	PGD2	0.388700859202476
GATA4	FGF9	0.387355935446865
GATA4	PGD2	0.386812484027183
WNT4	PGD2	0.386069195180476
NR5A1	UGR	0.38202720526036
WNT4	AMH	0.381814385409278
WNT4	DHH	0.38159473984196796
GATA4	AMH	0.37941281012391403
SRY	FOXL2	0.376438320597761
CTNNB1	DHH	0.37526311472054297
SOX9	CBX2	0.36865806473780793
SOX9	WNT4	0.36605910310794304
CTNNB1	FGF9	0.360870205650326
UGR	GATA4	0.35219029366750204
DHH	SOX9	0.33794309081049395
RSPO1	GATA4	0.333332292686782
FOXL2	SRY	0.331369163614731
UGR	WT1mKTS	0.331300885276898
DKK1	WT1pKTS	0.327911123408343
CTNNB1	GATA4	0.325708675825006
DMRT1	WT1pKTS	0.324719804021895
PGD2	SOX9	0.321677373715148
FOXL2	WT1mKTS	0.31846904109014695
DKK1	WT1mKTS	0.315914195304217
DMRT1	WT1mKTS	0.31034891299339695
FGF9	AMH	0.305059532037323
DKK1	CTNNB1	0.30348429486143397
SOX9	UGR	0.30289402188018605
DMRT1	CTNNB1	0.30218394290068606
RSPO1	WT1mKTS	0.296744736855444
CTNNB1	WT1mKTS	0.295576452729239
DMRT1	GATA4	0.294082272089279
DKK1	GATA4	0.29204961873826096
AMH	FGF9	0.291573978464537
FGF9	SOX9	0.285737297994734
AMH	SOX9	0.259216246342012
FOXL2	GATA4	0.254084287501523
SOX9	NR5A1	0.24563355055792802
SOX9	RSPO1	0.22009361163997895
NR5A1	WT1mKTS	0.21826651302783898
SOX9	WT1mKTS	0.20845438539279001
DHH	DKK1	0.20796913755589702
PGD2	NR0B1	0.20656099171313896
PGD2	DKK1	0.20250465855896302
SOX9	WT1pKTS	0.19872683704248997
PGD2	DMRT1	0.193880148715762
DHH	DMRT1	0.191596586016751
SOX9	GATA4	0.18831153113677104
DHH	SRY	0.177227579625316
DHH	NR0B1	0.17383116902180898
DMRT1	FOXL2	0.17114522521703998
AMH	DMRT1	0.16988112101041802
SOX9	CTNNB1	0.169371679264547
AMH	DKK1	0.166274129820822
CBX2	GATA4	0.16517098000702202
DKK1	FOXL2	0.164962138392221
AMH	NR0B1	0.162670436534558
CBX2	WT1mKTS	0.161705494101633
NR5A1	GATA4	0.16038678475978502
FGF9	DMRT1	0.159954602710669
PGD2	SRY	0.15069054430315398
FOXL2	DKK1	0.14701032732950697
SOX9	FOXL2	0.14586419133165698
FOXL2	DMRT1	0.142866766002374
FGF9	NR5A1	0.14286487286847302
DHH	WT1pKTS	0.140159480071365
PGD2	WNT4	0.138901272737206
DHH	CBX2	0.138596421635307
FGF9	DKK1	0.136926398851823
FGF9	WT1pKTS	0.134089384987642
AMH	WNT4	0.133659188466834
FOXL2	SOX9	0.13251912265201
PGD2	NR5A1	0.132370117278608
FGF9	NR0B1	0.12990070454530803
AMH	SRY	0.12981077251491302
PGD2	CBX2	0.12882545681956803
DHH	NR5A1	0.12451997936141601
DHH	WNT4	0.12147361704917999
DHH	WT1mKTS	0.121160366158452
FGF9	SRY	0.120589037141845
AMH	CBX2	0.118629578544883
PGD2	FOXL2	0.11624626894744801
AMH	WT1pKTS	0.1142725585895
AMH	NR5A1	0.114249533073297
FGF9	GATA4	0.11383046501864699
PGD2	GATA4	0.112624756790849
PGD2	WT1pKTS	0.11153279715771601
FOXL2	FGF9	0.111516889852178
FGF9	FOXL2	0.10963289658141699
AMH	WT1mKTS	0.10938352460420098
DHH	GATA4	0.108874621572535
PGD2	WT1mKTS	0.10855345599369198
FGF9	WT1mKTS	0.10845499479238101
DHH	UGR	0.10841379840872999
FGF9	CBX2	0.108000217520483
AMH	GATA4	0.10520145306508001
DHH	FOXL2	0.100771575379311
FGF9	RSPO1	0.0995304870725556
FGF9	UGR	0.0987270914535726
FGF9	CTNNB1	0.0972944187582426
FOXL2	AMH	0.097110744190168
FGF9	WNT4	0.0958959680548668
PGD2	CTNNB1	0.0951003868634255
PGD2	RSPO1	0.0924559241592955
AMH	FOXL2	0.090755447144184
AMH	UGR	0.0900657587192424
AMH	RSPO1	0.0897949329125919
PGD2	UGR	0.0894982126914878
FOXL2	DHH	0.0871551972868232
DHH	CTNNB1	0.0856023255404477
FOXL2	PGD2	0.0850326715974995
AMH	CTNNB1	0.0839647037811028
DHH	RSPO1	0.0765488774917321
