Gene1	Gene2	EdgeWeight
WNT4	UGR	42.3010888827571
UGR	UGR	41.2855460223492
UGR	SRY	40.537985157381
SRY	SRY	39.003796023610896
CBX2	UGR	37.9522571682806
NR5A1	UGR	29.348556248171
SRY	NR5A1	29.0598055825645
WNT4	CBX2	28.5010703106535
UGR	NR5A1	27.922037483842807
RSPO1	SRY	27.190645181855697
CTNNB1	SRY	26.5222132371801
SRY	UGR	26.271636814411202
UGR	WNT4	24.696173049896
WNT4	WNT4	24.035076244138693
UGR	CBX2	23.3063430480871
WT1pKTS	UGR	22.586555956459303
WNT4	SRY	21.4683474835529
RSPO1	NR5A1	20.625737248628894
CBX2	CBX2	20.1479860842374
CTNNB1	NR5A1	18.8222358212477
UGR	WT1pKTS	18.196124852278
NR0B1	UGR	18.0218937498942
UGR	RSPO1	17.789785216898
WNT4	NR5A1	17.788333491520106
WNT4	RSPO1	16.9336541550578
CBX2	WNT4	16.6467865356001
WNT4	WT1pKTS	15.3541914170228
NR5A1	CBX2	14.9554416500467
WNT4	SOX9	14.386318698884196
CTNNB1	UGR	13.9892718778232
CBX2	SRY	13.977537445790901
NR0B1	SRY	13.9684076467782
RSPO1	UGR	13.797310094502599
NR0B1	CBX2	13.705193911883304
NR0B1	NR5A1	13.555240827934801
UGR	SOX9	12.7623938895965
DMRT1	WNT4	12.653015876066501
DKK1	UGR	12.164922502349
DMRT1	UGR	12.0956691839714
CBX2	WT1pKTS	11.7890488177284
DKK1	WNT4	11.600414954343801
WT1pKTS	WNT4	11.561740424326803
CBX2	RSPO1	10.8427381596187
RSPO1	CBX2	10.3925913759745
CBX2	SOX9	10.377269939037
SRY	GATA4	10.3112458752778
UGR	GATA4	10.291576770887302
GATA4	UGR	10.1163405524107
NR5A1	SRY	10.0721237068281
DMRT1	RSPO1	9.71079370263366
WT1pKTS	WT1pKTS	9.54906308859484
WNT4	DMRT1	9.44386812774204
UGR	DMRT1	9.00707327442904
SRY	WNT4	8.946321465439949
RSPO1	GATA4	8.70667053900718
WT1pKTS	CBX2	8.68048347823119
NR5A1	NR5A1	8.67114112603254
CTNNB1	CTNNB1	8.63589353055638
DKK1	RSPO1	8.60503830056572
DMRT1	WT1pKTS	8.54697561709295
SRY	CBX2	8.425776417447949
DKK1	CBX2	7.86426969280765
WT1mKTS	NR5A1	7.66778399345521
DKK1	WT1pKTS	7.5586441538424
SRY	DMRT1	7.50918181448789
RSPO1	CTNNB1	7.35559642991091
DMRT1	CBX2	7.264021521894032
CTNNB1	GATA4	7.090186943089429
NR5A1	SOX9	7.05847714687194
WT1pKTS	RSPO1	7.05833654296198
CTNNB1	CBX2	7.05109792375996
WT1mKTS	UGR	6.93908091601459
SOX9	UGR	6.7060863847312495
NR5A1	CTNNB1	6.60160499266827
NR0B1	SOX9	6.5944459093013705
CTNNB1	WNT4	6.5840522206234
CBX2	NR5A1	6.49681780805742
CBX2	DMRT1	6.34487371726918
RSPO1	WNT4	6.06883061220183
NR5A1	DMRT1	5.8884756798797095
NR5A1	WNT4	5.780889785602268
AMH	WNT4	5.767747145831231
WT1pKTS	SRY	5.747276851818559
CBX2	CTNNB1	5.69216509165262
DHH	WNT4	5.568449394895018
WNT4	CTNNB1	5.54625910174869
WNT4	GATA4	5.51758952503054
FGF9	WNT4	5.4797178153563
WT1pKTS	SOX9	5.45854462713051
NR0B1	RSPO1	5.4577986829153895
WNT4	FGF9	5.40753474090571
SRY	RSPO1	5.38393798764641
SOX9	CBX2	5.352948544834152
GATA4	GATA4	5.23844954608783
SRY	CTNNB1	5.23574439563132
UGR	CTNNB1	5.19146192945542
NR0B1	DMRT1	4.89027794652221
PGD2	WNT4	4.8709285007007495
SRY	SOX9	4.83167565649454
WNT4	WT1mKTS	4.80671957034033
RSPO1	DMRT1	4.72042080162882
NR5A1	RSPO1	4.62248707112001
NR5A1	GATA4	4.60918495342034
DKK1	SOX9	4.602422067218259
AMH	UGR	4.6000021354720095
