Gene1	Gene2	EdgeWeight
FOXL2	AMH	223
CTNNB1	AMH	216
WNT4	AMH	215
RSPO1	AMH	210
UGR	AMH	205
CBX2	AMH	205
RSPO1	FOXL2	205
CTNNB1	FOXL2	205
WNT4	FOXL2	205
FGF9	FOXL2	198
PGD2	FOXL2	196
DKK1	FOXL2	189
DHH	FOXL2	188
AMH	FOXL2	188
SOX9	FOXL2	188
SRY	FOXL2	188
FOXL2	SOX9	172
CTNNB1	SOX9	166
RSPO1	SOX9	164
WT1pKTS	FOXL2	161
UGR	SOX9	160
FGF9	AMH	157
DMRT1	AMH	157
SOX9	AMH	157
PGD2	AMH	157
SRY	AMH	157
DKK1	AMH	157
NR5A1	AMH	157
FOXL2	WT1pKTS	154
CBX2	FOXL2	143
AMH	SOX9	123
FGF9	SOX9	123
DHH	SOX9	123
PGD2	SOX9	123
FOXL2	CTNNB1	120
SOX9	CTNNB1	117
FGF9	WNT4	116
PGD2	WNT4	114
FOXL2	WNT4	113
FGF9	CTNNB1	112
WNT4	CTNNB1	111
PGD2	CTNNB1	110
DKK1	SOX9	109
DMRT1	SOX9	109
AMH	WNT4	107
DHH	WNT4	107
AMH	CTNNB1	103
DHH	CTNNB1	103
CTNNB1	WNT4	101
FOXL2	NR5A1	98
RSPO1	WNT4	97
PGD2	WT1pKTS	85
AMH	WT1pKTS	85
DHH	WT1pKTS	85
FGF9	WT1pKTS	85
FGF9	NR5A1	73
PGD2	NR5A1	73
DHH	NR5A1	73
AMH	NR5A1	73
DMRT1	FOXL2	73
NR5A1	FOXL2	69
SOX9	WT1pKTS	64
WNT4	SOX9	60
FOXL2	NR0B1	57
DKK1	WT1pKTS	57
UGR	WT1pKTS	56
CBX2	SOX9	56
CTNNB1	WT1pKTS	51
GATA4	AMH	48
WT1pKTS	AMH	48
DHH	AMH	48
NR0B1	AMH	48
UGR	FOXL2	48
WT1mKTS	AMH	48
RSPO1	NR0B1	45
WT1mKTS	FOXL2	44
RSPO1	WT1pKTS	44
UGR	NR5A1	40
GATA4	FOXL2	40
WNT4	WT1pKTS	40
NR0B1	FOXL2	36
CBX2	WT1pKTS	35
SOX9	WNT4	33
CTNNB1	NR5A1	31
DKK1	CTNNB1	30
DKK1	WNT4	29
WT1pKTS	SOX9	28
NR5A1	SOX9	28
UGR	WNT4	28
NR0B1	SOX9	28
SRY	SOX9	28
WT1mKTS	SOX9	28
GATA4	SOX9	28
SOX9	UGR	27
SRY	CTNNB1	27
FOXL2	UGR	27
DKK1	UGR	27
PGD2	UGR	27
CTNNB1	UGR	27
DHH	UGR	27
RSPO1	UGR	27
FGF9	UGR	27
DMRT1	UGR	27
DMRT1	CTNNB1	27
AMH	UGR	27
WNT4	NR5A1	26
RSPO1	NR5A1	26
SRY	WNT4	25
CBX2	NR5A1	25
DMRT1	WNT4	25
NR5A1	CTNNB1	24
FOXL2	CBX2	22
AMH	CBX2	22
FGF9	CBX2	22
DHH	CBX2	22
DMRT1	WT1pKTS	22
PGD2	CBX2	22
NR5A1	WNT4	21
UGR	NR0B1	21
UGR	CTNNB1	21
CBX2	WNT4	20
PGD2	NR0B1	18
CBX2	CTNNB1	18
DHH	NR0B1	18
FGF9	NR0B1	18
AMH	NR0B1	18
NR0B1	WNT4	16
GATA4	WNT4	16
WT1pKTS	WNT4	16
WT1mKTS	WNT4	16
RSPO1	CTNNB1	15
CTNNB1	NR0B1	15
SOX9	NR5A1	15
CBX2	NR0B1	15
GATA4	CTNNB1	15
WT1pKTS	CTNNB1	15
NR0B1	CTNNB1	15
WT1mKTS	CTNNB1	15
WT1mKTS	WT1pKTS	13
WNT4	UGR	12
WNT4	NR0B1	12
NR0B1	UGR	11
SRY	UGR	11
WT1pKTS	UGR	10
GATA4	UGR	10
NR5A1	UGR	10
CBX2	UGR	10
DKK1	NR5A1	10
WT1mKTS	UGR	10
DMRT1	NR5A1	10
GATA4	CBX2	9
SOX9	CBX2	9
SOX9	NR0B1	9
GATA4	WT1pKTS	8
UGR	CBX2	8
NR0B1	WT1pKTS	8
DMRT1	CBX2	7
RSPO1	CBX2	7
DKK1	CBX2	7
SRY	WT1pKTS	7
FOXL2	DMRT1	7
UGR	DMRT1	7
FOXL2	SRY	7
NR5A1	WT1pKTS	7
CTNNB1	CBX2	6
FGF9	RSPO1	6
PGD2	RSPO1	6
DKK1	NR0B1	6
GATA4	NR5A1	5
DHH	RSPO1	5
WNT4	RSPO1	5
AMH	RSPO1	5
FOXL2	RSPO1	5
WNT4	CBX2	5
WT1pKTS	NR5A1	5
SRY	CBX2	5
WT1mKTS	CBX2	5
SRY	NR5A1	5
WT1mKTS	NR5A1	5
WT1pKTS	CBX2	5
NR5A1	CBX2	5
NR0B1	CBX2	5
NR0B1	NR5A1	5
SRY	NR0B1	3
DMRT1	NR0B1	3
FGF9	DMRT1	3
DHH	DMRT1	3
AMH	DMRT1	3
PGD2	DMRT1	3
FGF9	SRY	2
DHH	SRY	2
PGD2	SRY	2
AMH	SRY	2
DHH	DKK1	1
CBX2	FGF9	1
CTNNB1	FGF9	1
RSPO1	FGF9	1
FOXL2	FGF9	1
UGR	FGF9	1
FGF9	DKK1	1
WNT4	FGF9	1
