Gene1	Gene2	EdgeWeight
FOXL2	GATA4	1.1822850671673
PGD2	NR0B1	1.0
FOXL2	WT1pKTS	1.0
FOXL2	WT1mKTS	0.9747494381827959
PGD2	FOXL2	0.9602665857289329
PGD2	WT1mKTS	0.947031004269522
SOX9	FGF9	0.884747088796136
SOX9	DHH	0.867024090886198
PGD2	WNT4	0.852589032610103
SOX9	WNT4	0.8146618727722069
SOX9	NR0B1	0.762675518645172
SOX9	AMH	0.7374082840005509
DKK1	FOXL2	0.718952168424988
AMH	FOXL2	0.67071158709096
DHH	NR0B1	0.665474503587593
DKK1	WT1mKTS	0.6421601602213001
SOX9	PGD2	0.629069757360881
SRY	RSPO1	0.6006321754196129
DHH	WNT4	0.600579093558514
AMH	WT1mKTS	0.575038187556093
FGF9	WT1mKTS	0.575000679511658
WNT4	NR0B1	0.554591251228997
PGD2	GATA4	0.541450631736695
PGD2	FGF9	0.5386013158838959
SOX9	FOXL2	0.527490810453062
FGF9	FOXL2	0.505035265240201
AMH	FGF9	0.50037850626918
FGF9	FGF9	0.484617033138055
DKK1	GATA4	0.473224560585544
AMH	NR0B1	0.467747013333369
NR5A1	WNT4	0.45719609192864097
PGD2	DHH	0.43035443852705396
DHH	FGF9	0.42846329584016496
NR5A1	NR0B1	0.41040654195677295
CTNNB1	NR5A1	0.408031466923647
AMH	WNT4	0.402893397834884
FGF9	DHH	0.40035600046118497
DMRT1	FOXL2	0.37830705800159
DHH	DHH	0.3630123109786
AMH	DHH	0.360668833767092
SRY	CBX2	0.35295323302535897
WNT4	RSPO1	0.35232310289492896
FGF9	GATA4	0.35121597328493603
GATA4	NR0B1	0.340847917324132
WT1pKTS	WNT4	0.33649611755211195
AMH	GATA4	0.333390365047508
UGR	CBX2	0.32789667206340006
WT1mKTS	NR0B1	0.320982265829591
WT1pKTS	NR0B1	0.314098571376132
WT1mKTS	WNT4	0.305896177798376
DKK1	WNT4	0.30208077045629306
WNT4	CBX2	0.294614915412745
PGD2	AMH	0.294063708425213
AMH	PGD2	0.287465791787252
GATA4	WNT4	0.28553800074130103
DMRT1	NR0B1	0.28410325275605297
CBX2	CBX2	0.28309984793570003
DHH	GATA4	0.281683307522201
FOXL2	FOXL2	0.280980414588161
DMRT1	WNT4	0.27268864464021897
NR0B1	CBX2	0.249188250991416
CTNNB1	RSPO1	0.238579205250464
DKK1	RSPO1	0.23460104618679398
PGD2	PGD2	0.230030656132169
UGR	RSPO1	0.22983953533701698
DHH	WT1mKTS	0.229211471614417
GATA4	WT1mKTS	0.22445071435548802
DHH	UGR	0.223493142368545
FGF9	AMH	0.21998170791553698
CBX2	WNT4	0.21930619809916801
CBX2	NR5A1	0.21872752689542801
WT1mKTS	CBX2	0.213008233189464
AMH	AMH	0.212852402082876
WNT4	UGR	0.211101957173155
WT1mKTS	WT1mKTS	0.20614675125092302
DMRT1	WT1mKTS	0.204380131052371
SRY	UGR	0.20344891589700304
NR5A1	SRY	0.20248894554289001
DMRT1	SOX9	0.201262130240352
WT1mKTS	SRY	0.20106226535282
WT1pKTS	WT1mKTS	0.200730461384395
DKK1	SOX9	0.18818404370468697
GATA4	GATA4	0.18581900381868302
WT1pKTS	SRY	0.182256907409413
