Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
CBX2	CBX2	1.0
GATA4	GATA4	1.0
SOX9	SOX9	1.0
UGR	UGR	1.0
FOXL2	FOXL2	1.0
WT1pKTS	WT1pKTS	1.0
FGF9	FGF9	1.0
NR0B1	NR0B1	1.0
AMH	AMH	1.0
NR5A1	NR5A1	1.0
WNT4	WNT4	1.0
DKK1	DKK1	1.0
SRY	SRY	1.0
WT1mKTS	WT1mKTS	1.0
PGD2	PGD2	1.0
CTNNB1	CTNNB1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
CTNNB1	RSPO1	0.309154282527897
RSPO1	CTNNB1	0.309154282527897
NR5A1	WT1pKTS	0.298271572859158
WT1pKTS	NR5A1	0.298271572859158
DKK1	DMRT1	0.29539390925634695
DMRT1	DKK1	0.29539390925634695
NR0B1	WNT4	0.288920045170501
WNT4	NR0B1	0.288920045170501
WT1pKTS	FOXL2	-0.27648354895463
FOXL2	WT1pKTS	-0.27648354895462895
RSPO1	WNT4	0.271535227409554
WNT4	RSPO1	0.271535227409554
WT1pKTS	SRY	0.264091070422197
SRY	WT1pKTS	0.264091070422197
NR5A1	RSPO1	-0.22778917800712897
RSPO1	NR5A1	-0.22778917800712897
DKK1	SRY	0.217960356915304
SRY	DKK1	0.217960356915304
DMRT1	SRY	0.21466780468029398
SRY	DMRT1	0.21466780468029398
CTNNB1	WNT4	0.20904163593147798
WNT4	CTNNB1	0.20904163593147798
UGR	CBX2	0.20547933764518303
CBX2	UGR	0.20547933764518303
NR5A1	CBX2	0.182679941174099
CBX2	NR5A1	0.182679941174099
AMH	PGD2	0.17583608372549803
PGD2	AMH	0.17583608372549803
AMH	NR0B1	-0.16587015231257501
NR0B1	AMH	-0.16587015231257501
SRY	NR0B1	0.162937737516448
NR0B1	SRY	0.162937737516448
FGF9	NR0B1	-0.16245581069858403
NR0B1	FGF9	-0.16245581069858403
CTNNB1	NR0B1	0.155967479699887
NR0B1	CTNNB1	0.155967479699887
NR5A1	SOX9	0.145697480946361
SOX9	NR5A1	0.145697480946361
FGF9	DHH	0.14038235557283402
DHH	FGF9	0.14038235557283402
CTNNB1	FOXL2	0.14001949978775
FOXL2	CTNNB1	0.14001949978775
SOX9	DMRT1	0.135292710346765
DMRT1	SOX9	0.135292710346765
DKK1	SOX9	0.134373738027502
SOX9	DKK1	0.134373738027502
FGF9	NR5A1	0.129701899119411
NR5A1	FGF9	0.129701899119411
SRY	UGR	-0.12438311885079
UGR	SRY	-0.12438311885079
NR0B1	UGR	-0.123411653358754
UGR	NR0B1	-0.123411653358754
PGD2	DHH	0.122352119061666
DHH	PGD2	0.122352119061666
SRY	GATA4	0.121941861070939
GATA4	SRY	0.121941861070939
FGF9	AMH	0.120778441882255
AMH	FGF9	0.120778441882255
SRY	NR5A1	0.119725084737396
NR5A1	SRY	0.11972508473739502
PGD2	FGF9	0.11609389673778302
FGF9	PGD2	0.11609389673778302
DHH	AMH	0.115867267594091
AMH	DHH	0.11586726759409
DMRT1	WNT4	-0.11522008398761399
WNT4	DMRT1	-0.11522008398761399
FOXL2	NR5A1	-0.114606552929969
NR5A1	FOXL2	-0.114606552929969
CBX2	SOX9	-0.111942004051589
SOX9	CBX2	-0.111942004051589
DMRT1	WT1pKTS	0.111395383480106
WT1pKTS	DMRT1	0.111395383480106
CBX2	DKK1	-0.11076886934726499
DKK1	CBX2	-0.11076886934726499
DMRT1	CBX2	-0.110697710161735
CBX2	DMRT1	-0.110697710161735
WNT4	SOX9	-0.109247754304635
SOX9	WNT4	-0.109247754304635
NR5A1	DKK1	-0.10904919918478201
DKK1	NR5A1	-0.10904919918478201
NR5A1	DHH	0.10782373369047599
DHH	NR5A1	0.10782373369047599
RSPO1	FOXL2	0.106509631067341
FOXL2	RSPO1	0.106509631067341
UGR	RSPO1	-0.104837962187801
RSPO1	UGR	-0.104837962187801
CTNNB1	SRY	-0.104013106276547
SRY	CTNNB1	-0.104013106276547
NR0B1	NR5A1	-0.102613249837287
NR5A1	NR0B1	-0.102613249837287
CTNNB1	UGR	-0.102408439480958
UGR	CTNNB1	-0.102408439480958
SRY	SOX9	0.101724597532906
SOX9	SRY	0.101724597532906
CBX2	AMH	-0.100861485510865
AMH	CBX2	-0.100861485510865
DKK1	FOXL2	-0.0989002115018343
FOXL2	DKK1	-0.0989002115018342
CTNNB1	CBX2	-0.096856424237281
CBX2	CTNNB1	-0.096856424237281
DHH	NR0B1	-0.0962302576400991
NR0B1	DHH	-0.096230257640099
NR0B1	GATA4	0.0960673304819521
GATA4	NR0B1	0.0960673304819521
CBX2	DHH	-0.0953953375655704
DHH	CBX2	-0.0953953375655703
DMRT1	NR5A1	-0.0940563221732897
NR5A1	DMRT1	-0.0940563221732896
WNT4	DKK1	-0.0939557851923995
DKK1	WNT4	-0.0939557851923994
CBX2	RSPO1	-0.0905436110495516
RSPO1	CBX2	-0.0905436110495513
WNT4	WT1mKTS	0.0872251124857447
WT1mKTS	WNT4	0.0872251124857447
CTNNB1	DMRT1	-0.0848884566763049
DMRT1	CTNNB1	-0.0848884566763047
CBX2	WT1pKTS	0.0847699544641066
WT1pKTS	CBX2	0.0847699544641065
SRY	WT1mKTS	0.0843930978110683
WT1mKTS	SRY	0.0843930978110682
NR0B1	PGD2	-0.0834985628280203
PGD2	NR0B1	-0.0834985628280202
FGF9	SOX9	0.0832526353561937
SOX9	FGF9	0.0832526353561935
NR5A1	CTNNB1	-0.0829918259049975
CTNNB1	NR5A1	-0.0829918259049973
DKK1	WT1pKTS	0.0827540963111997
WT1pKTS	DKK1	0.0827540963111996
SOX9	DHH	0.0821912479766244
DHH	SOX9	0.0821912479766243
GATA4	WNT4	0.0821283877024947
WNT4	GATA4	0.0821283877024947
NR5A1	WNT4	0.0763263981902009
WNT4	NR5A1	0.0763263981902006
FOXL2	DHH	0.0753104089800849
DHH	FOXL2	0.0753104089800849
WT1mKTS	FOXL2	0.0750945510568079
FOXL2	WT1mKTS	0.0750945510568079
CTNNB1	GATA4	0.0749451023210525
GATA4	CTNNB1	0.0749451023210525
UGR	DMRT1	-0.0742106773833885
DMRT1	UGR	-0.0742106773833885
SOX9	PGD2	0.0739594753149773
PGD2	SOX9	0.0739594753149772
NR0B1	WT1mKTS	0.0732165552386647
WT1mKTS	NR0B1	0.0732165552386647
NR0B1	FOXL2	0.0731397392872124
