Gene1	Gene2	EdgeWeight
DMRT1	DKK1	0.3257384927964001
DKK1	DMRT1	0.32136134199877514
CTNNB1	RSPO1	0.2830250284310697
CBX2	UGR	0.28107286487820965
UGR	CBX2	0.28093262659376544
DHH	FGF9	0.2803029621937495
DHH	PGD2	0.27908250660112793
CTNNB1	FOXL2	0.2580147705972843
FOXL2	CTNNB1	0.2558007454607557
FGF9	DHH	0.2544733057772905
FGF9	AMH	0.2509015025128438
RSPO1	CTNNB1	0.2497074765174317
DKK1	SRY	0.24337667494862825
PGD2	AMH	0.23736097785088275
RSPO1	WNT4	0.23600580062266846
PGD2	DHH	0.2313027169484349
PGD2	FGF9	0.2287749262667294
FOXL2	WT1pKTS	0.22422471567936675
FGF9	PGD2	0.21589653239750006
DMRT1	SRY	0.21448569314332133
WT1pKTS	FOXL2	0.2107861976450157
AMH	DHH	0.20062523730759635
FGF9	SOX9	0.1980034971231932
RSPO1	NR5A1	0.19638601786002316
SRY	DMRT1	0.191704494875184
DHH	AMH	0.19007549823174066
AMH	PGD2	0.1886147175129169
PGD2	SOX9	0.1877049330583629
SRY	DKK1	0.18522207446310496
SRY	WT1pKTS	0.1747753385454148
CTNNB1	WNT4	0.16537500748633288
SRY	UGR	0.16275122156760058
AMH	FGF9	0.1607522627632447
FOXL2	RSPO1	0.15796665707687318
RSPO1	NR0B1	0.15633109801446546
RSPO1	FOXL2	0.1541188356090919
DHH	SOX9	0.1533053121376677
SOX9	DKK1	0.14886913852726946
WNT4	RSPO1	0.13869466399278088
NR5A1	RSPO1	0.1365337268950571
SOX9	DMRT1	0.12975029100156474
FOXL2	NR5A1	0.1185679835979104
WNT4	NR0B1	0.11754095162885665
CTNNB1	NR5A1	0.11508915150761652
SOX9	AMH	0.11308497412792726
SOX9	FGF9	0.10956397506903733
AMH	SOX9	0.10947709333877896
SOX9	PGD2	0.10871181053252832
NR5A1	FOXL2	0.1065896057256489
SOX9	DHH	0.1048363831139096
CTNNB1	NR0B1	0.1040425299473621
NR5A1	CBX2	0.10315020012361917
WNT4	CTNNB1	0.10232561881471867
SOX9	SRY	0.09767282075340117
NR5A1	WT1pKTS	0.09405044006636533
NR0B1	WNT4	0.09395618012161164
CTNNB1	WT1pKTS	0.0934014770495361
DKK1	SOX9	0.09286500923849353
DKK1	CBX2	0.09057520408348647
WT1pKTS	SRY	0.08731390103838411
WT1pKTS	NR5A1	0.08385244149074024
NR5A1	CTNNB1	0.08141373191855243
DMRT1	SOX9	0.08071545853281398
RSPO1	CBX2	0.08064873211655339
NR0B1	UGR	0.0804450425321458
FOXL2	WNT4	0.08043079399479226
DMRT1	CBX2	0.07977594742295313
UGR	GATA4	0.07717403378680474
WNT4	UGR	0.0767868529442677
UGR	NR0B1	0.07615056497433577
UGR	WT1mKTS	0.07361749702228894
CBX2	NR5A1	0.07353144774098823
RSPO1	UGR	0.06889644997422119
CBX2	WT1mKTS	0.06756986877964714
SRY	CTNNB1	0.06586501244614892
SOX9	NR5A1	0.06484057796251326
SRY	NR0B1	0.06399988712161042
PGD2	DKK1	0.06379333862201671
SRY	GATA4	0.06286962150351144
SRY	FOXL2	0.06206026688867292
PGD2	DMRT1	0.061837165707311924
FGF9	DMRT1	0.061769685624907276
WT1pKTS	GATA4	0.06135626480141039
CTNNB1	CBX2	0.06057398501588961
NR5A1	WT1mKTS	0.060560961973044565
DKK1	DHH	0.059817799071734325
NR5A1	GATA4	0.059686741507089636
NR0B1	GATA4	0.059376023088822914
NR0B1	RSPO1	0.0592451114443092
WT1mKTS	GATA4	0.05883592677358386
NR5A1	NR0B1	0.058543334742606826
AMH	NR0B1	0.0582327948010147
WNT4	WT1mKTS	0.057962255358221935
WT1pKTS	WT1mKTS	0.05780502840659627
DKK1	WT1pKTS	0.05749438213346525
WNT4	GATA4	0.05745490269235344
CBX2	GATA4	0.057264822878552
GATA4	WT1mKTS	0.05703142400476901
NR0B1	WT1mKTS	0.0567055409271808
DMRT1	WT1pKTS	0.05665463631445549
CTNNB1	GATA4	0.056366681639541186
RSPO1	GATA4	0.056261678014693714
SRY	WT1mKTS	0.055554743511920135
WNT4	FOXL2	0.05551624577385991
CTNNB1	WT1mKTS	0.05546917049479568
SOX9	WNT4	0.05531502072006005
RSPO1	WT1mKTS	0.05483362812364353
WT1pKTS	CTNNB1	0.054815118589344416
DKK1	PGD2	0.05464271190619085
DKK1	AMH	0.05442465761572327
DHH	DKK1	0.054363889655403015
DMRT1	WT1mKTS	0.05277357564722356
SOX9	GATA4	0.052683965686232036
CTNNB1	UGR	0.052593831285093616
FOXL2	WT1mKTS	0.05212790890307578
SRY	NR5A1	0.051736979693390285
FGF9	WT1mKTS	0.05173652347689615
DKK1	FGF9	0.051714882618520426
UGR	WNT4	0.05131530741867298
SOX9	WT1mKTS	0.05122252905629352
FGF9	NR0B1	0.051071978686402134
DKK1	GATA4	0.051025768112496664
DMRT1	UGR	0.05039776707743896
DMRT1	FGF9	0.050241763492340386
DHH	WT1mKTS	0.05001568658586583
DMRT1	GATA4	0.04995789268475298
DKK1	WT1mKTS	0.04941434417967156
AMH	GATA4	0.04938553835546597
AMH	WT1mKTS	0.04882028784004355
DHH	GATA4	0.048606473768283184
NR5A1	WNT4	0.04845415340517216
RSPO1	WT1pKTS	0.048322160890130174
DHH	DMRT1	0.0481443320588746
FOXL2	GATA4	0.04813835426279062
NR5A1	SOX9	0.0473760194630596
PGD2	GATA4	0.04723323358732018
PGD2	WT1mKTS	0.04677902570882197
FGF9	GATA4	0.04632207685629537
DKK1	WNT4	0.04559817077957122
PGD2	SRY	0.045225010421508616
DMRT1	PGD2	0.04488863789630768
DHH	NR0B1	0.044341828767227635
PGD2	NR0B1	0.04433429953559779
SRY	CBX2	0.04416020889207538
FGF9	DKK1	0.0439651301805871
DKK1	UGR	0.04363514629994426
SOX9	CBX2	0.04269408915499371
DKK1	CTNNB1	0.042173511358742345
DHH	SRY	0.04025856923538329
DMRT1	DHH	0.03955568956922645
UGR	SRY	0.03835284677736303
SRY	SOX9	0.038267919789736836
DMRT1	WNT4	0.03810881028213452
CTNNB1	SRY	0.03777391313093914
SRY	WNT4	0.03759172899386784
WT1pKTS	RSPO1	0.037273694782002084
CBX2	NR0B1	0.03665492742692615
FGF9	SRY	0.03606175140500152
DMRT1	AMH	0.03606009564010173
WNT4	NR5A1	0.035564338164447075
DKK1	NR5A1	0.03536035900897653
AMH	DMRT1	0.03483509759381595
CBX2	WT1pKTS	0.034529288571938516
NR0B1	CTNNB1	0.03401262449575087
WT1pKTS	CBX2	0.03361286152822305
NR0B1	NR5A1	0.0335359443720047
DMRT1	NR0B1	0.03319051627307345
SRY	FGF9	0.032755066906832574
DKK1	NR0B1	0.03270307164213717
NR5A1	UGR	0.03219998518738252
DMRT1	CTNNB1	0.03180585306791251
UGR	WT1pKTS	0.03146576437198652
NR0B1	AMH	0.03129945650197728
DMRT1	NR5A1	0.031297216662165395
CBX2	RSPO1	0.031039530651947075
SOX9	UGR	0.03053828340956886
CBX2	DMRT1	0.03026994258834152
DMRT1	FOXL2	0.029922952721357136
CBX2	DKK1	0.02971913977243385
FGF9	NR5A1	0.029463577881797605
UGR	NR5A1	0.029123075130969737
AMH	DKK1	0.02904034332078258
SOX9	RSPO1	0.028576924649108663
FOXL2	CBX2	0.02806711375962967
WNT4	SOX9	0.02790470088251976
FOXL2	NR0B1	0.02764756651543909
SOX9	NR0B1	0.027047006647045225
SRY	DHH	0.02683916727192521
GATA4	WT1pKTS	0.026837144533354274
CBX2	SRY	0.026775220311369176
CTNNB1	DMRT1	0.02644621425246301
SRY	PGD2	0.02624286727080247
NR0B1	FGF9	0.026231509552007936
SRY	RSPO1	0.026117038019491768
UGR	RSPO1	0.02591376112911476
CBX2	WNT4	0.02586166060891237
DHH	NR5A1	0.025528245666489244
CTNNB1	DKK1	0.02513464141227631
FOXL2	SRY	0.024895911644538558
PGD2	CBX2	0.024662715623820136
SOX9	WT1pKTS	0.02440823928017019
WT1mKTS	NR0B1	0.02435125452614604
SRY	AMH	0.02435062641864895
WT1mKTS	WT1pKTS	0.0242257029843351
NR0B1	PGD2	0.024179767618685316
CBX2	CTNNB1	0.02387657038479521
PGD2	NR5A1	0.023752329949105342
WT1pKTS	DKK1	0.02361944352285144
NR0B1	DHH	0.023397917461083672
WNT4	WT1pKTS	0.02305558859548202
GATA4	NR0B1	0.022627451214798092
UGR	FOXL2	0.022376528063553308
NR5A1	SRY	0.022046773491570654
DKK1	FOXL2	0.022011274537005233
WT1pKTS	DMRT1	0.021876302484288197
NR0B1	CBX2	0.02131830015095238
WT1pKTS	NR0B1	0.021188937534955262
NR0B1	SRY	0.021185712764398783
DHH	CBX2	0.0211718356736221
RSPO1	SOX9	0.021110313390151524
WNT4	DMRT1	0.021017251183995462
WNT4	CBX2	0.02082124200300148
CBX2	FOXL2	0.02034699012632814
PGD2	WNT4	0.020316931747217663
NR0B1	FOXL2	0.020076213932760576
AMH	NR5A1	0.019888514090290875
UGR	CTNNB1	0.019789227402583872
NR5A1	FGF9	0.019590434602038728
WNT4	SRY	0.019213848511995715
DHH	WNT4	0.01913733396900292
FGF9	WNT4	0.01855807608364806
NR0B1	WT1pKTS	0.01850722342942828
WT1mKTS	CBX2	0.018506774211639213
NR5A1	AMH	0.018481548705455892
DHH	WT1pKTS	0.018414355355775708
WNT4	DKK1	0.01837691429864708
PGD2	WT1pKTS	0.0180983839367825
FGF9	WT1pKTS	0.018045431143312512
WT1pKTS	WNT4	0.01791409484352761
WT1pKTS	UGR	0.017913473109783917
FGF9	CBX2	0.017539879521504594
GATA4	CBX2	0.01732076730026405
NR5A1	PGD2	0.017225496119326732
NR5A1	DHH	0.017191731688089542
DKK1	RSPO1	0.017093157801380727
WT1mKTS	WNT4	0.016682925463196118
DHH	UGR	0.016621077990381237
FOXL2	UGR	0.016471996609779434
GATA4	NR5A1	0.016369241377597613
WT1mKTS	NR5A1	0.016112557842974055
RSPO1	SRY	0.015653645195873873
PGD2	UGR	0.015647828181249386
WNT4	FGF9	0.015610843512188619
AMH	SRY	0.015609411858512369
DMRT1	RSPO1	0.0154029055402509
AMH	WNT4	0.015097067761491173
WT1mKTS	UGR	0.01457933716224066
WNT4	AMH	0.014525552001253947
AMH	CBX2	0.01446751682400666
GATA4	WNT4	0.01428093569811992
FGF9	UGR	0.014278798463585712
WNT4	PGD2	0.013807743141071879
WNT4	DHH	0.013724552462929154
AMH	WT1pKTS	0.013489727118700182
AMH	UGR	0.01298885206734398
NR5A1	DMRT1	0.012693836667892002
SOX9	CTNNB1	0.012417186925288676
GATA4	UGR	0.01218119125976306
NR5A1	DKK1	0.012038681335184345
UGR	DKK1	0.011576424616185363
UGR	DMRT1	0.01067975241103193
FGF9	RSPO1	0.0101196552028363
RSPO1	DHH	0.008933844693432304
RSPO1	DKK1	0.008930467893655283
RSPO1	DMRT1	0.008568788014188543
FOXL2	DKK1	0.008378694045477001
CBX2	SOX9	0.008151163292792363
FOXL2	DMRT1	0.007814437354885356
GATA4	SRY	0.007712771373921344
PGD2	RSPO1	0.007709681179451794
CTNNB1	SOX9	0.007611987322739914
NR0B1	SOX9	0.007276212337970021
DHH	RSPO1	0.007172712563667186
GATA4	RSPO1	0.006935935324069913
SOX9	FOXL2	0.0067073546442340355
RSPO1	PGD2	0.006637614770196761
WT1mKTS	SRY	0.006385523993889354
RSPO1	AMH	0.0063334197740976175
WT1mKTS	FOXL2	0.006280748326142977
WT1pKTS	SOX9	0.005974064974173397
WT1mKTS	RSPO1	0.005854446317882224
GATA4	FOXL2	0.005667025004327979
FGF9	FOXL2	0.005526159645096297
AMH	RSPO1	0.00532536899870619
NR0B1	DMRT1	0.005309319359834253
NR0B1	DKK1	0.00522171393866337
GATA4	CTNNB1	0.005057555222002826
CBX2	FGF9	0.0049171237972090425
WT1mKTS	CTNNB1	0.0048820670500884
PGD2	FOXL2	0.004874860931601649
DHH	FOXL2	0.004826893957293461
CTNNB1	PGD2	0.004582470994056328
UGR	SOX9	0.004554430885647868
RSPO1	FGF9	0.004471558562879203
CBX2	AMH	0.00443017240561911
AMH	FOXL2	0.00429707587072552
PGD2	CTNNB1	0.004252402047610007
FGF9	CTNNB1	0.004219093792874656
CBX2	DHH	0.003987644238184072
WT1pKTS	AMH	0.003941868621311901
UGR	AMH	0.0038521622855094725
DHH	CTNNB1	0.0038273416571333063
AMH	CTNNB1	0.003758862848265425
UGR	PGD2	0.003670193282847944
WT1pKTS	FGF9	0.0036130973122534063
WT1mKTS	SOX9	0.003578882318348021
GATA4	SOX9	0.00345626710974028
WT1pKTS	DHH	0.003259123802379181
CBX2	PGD2	0.0032381401484426003
CTNNB1	AMH	0.003226680254713744
UGR	DHH	0.003070972682883228
WT1mKTS	DKK1	0.003043406425817518
GATA4	AMH	0.0030335834276388877
CTNNB1	DHH	0.003025478404732847
WT1mKTS	DMRT1	0.003024060274073889
GATA4	DKK1	0.0029680651732447174
WT1pKTS	PGD2	0.0029411341321604737
GATA4	DMRT1	0.002897686548572484
CTNNB1	FGF9	0.0026964574397629784
FOXL2	SOX9	0.002666734803809802
UGR	FGF9	0.0024645466959229262
WT1mKTS	AMH	0.0023790388472169533
FOXL2	AMH	0.0022381847773370552
WT1mKTS	FGF9	0.002159816609675007
GATA4	DHH	0.00215540851514143
GATA4	FGF9	0.002142759159852501
WT1mKTS	DHH	0.002108572291976201
FOXL2	FGF9	0.001996013445754932
GATA4	PGD2	0.0019325428072385661
WT1mKTS	PGD2	0.0018650398098272718
FOXL2	PGD2	0.0018400730587716735
FOXL2	DHH	0.0016944546990508794
