Gene1	Gene2	EdgeWeight
PGD2	GATA4	6.0
FOXL2	WT1mKTS	6.0
PGD2	WT1mKTS	1.5
FOXL2	DMRT1	1.5
DHH	RSPO1	0.66666
FOXL2	WT1pKTS	0.66666
FOXL2	DKK1	0.375
DHH	CTNNB1	0.375
PGD2	WT1pKTS	0.16666
CTNNB1	DMRT1	0.12244000000000001
AMH	SRY	0.12244000000000001
FGF9	WT1pKTS	0.09375
PGD2	UGR	0.07407000000000001
CTNNB1	RSPO1	0.07407000000000001
CTNNB1	DKK1	0.06
RSPO1	NR5A1	0.04958
SOX9	CTNNB1	0.0355
UGR	CBX2	0.030610000000000002
FOXL2	UGR	0.026660000000000003
SOX9	WT1mKTS	0.02343
WT1pKTS	GATA4	0.02076
SOX9	RSPO1	0.02076
WT1pKTS	NR5A1	0.01851
PGD2	CTNNB1	0.01851
PGD2	SRY	0.015
RSPO1	SOX9	0.015
DHH	CBX2	0.0136
WNT4	RSPO1	0.011340000000000001
WT1pKTS	WT1mKTS	0.010409999999999999
DHH	SRY	0.010409999999999999
AMH	NR0B1	0.0096
CTNNB1	WNT4	0.0096
FGF9	AMH	0.008870000000000001
PGD2	NR5A1	0.008870000000000001
FOXL2	SRY	0.00823
FGF9	CTNNB1	0.00823
SOX9	FGF9	0.00765
SRY	CBX2	0.00765
DMRT1	CBX2	0.00713
RSPO1	WNT4	0.00713
DMRT1	WT1mKTS	0.006659999999999999
CTNNB1	SOX9	0.006659999999999999
DHH	WT1mKTS	0.00624
SOX9	NR0B1	0.00624
FOXL2	CBX2	0.00585
NR5A1	WT1mKTS	0.00585
SOX9	PGD2	0.0055
DMRT1	NR5A1	0.00519
SOX9	AMH	0.00489
WNT4	NR0B1	0.00489
WT1mKTS	GATA4	0.00462
DKK1	SOX9	0.00462
NR0B1	WT1mKTS	0.004379999999999999
SOX9	WNT4	0.00415
SOX9	WT1pKTS	0.00394
SOX9	DHH	0.00394
FOXL2	GATA4	0.00375
CBX2	RSPO1	0.0035600000000000002
UGR	SRY	0.0035600000000000002
DKK1	GATA4	0.0034
CBX2	WNT4	0.0034
WT1mKTS	UGR	0.00324
UGR	WNT4	0.00324
CTNNB1	WT1mKTS	0.00309
WNT4	NR5A1	0.00309
SRY	WT1mKTS	0.00296
WNT4	CTNNB1	0.00283
CBX2	NR5A1	0.00271
NR5A1	CTNNB1	0.00271
CBX2	CTNNB1	0.0026
NR5A1	SRY	0.0026
AMH	FOXL2	0.0024
WT1mKTS	NR0B1	0.0023
AMH	DKK1	0.00221
WT1mKTS	CBX2	0.00221
NR5A1	WNT4	0.00213
DMRT1	RSPO1	0.00213
WNT4	SOX9	0.00205
GATA4	NR0B1	0.00198
NR5A1	WT1pKTS	0.00198
DHH	WNT4	0.0019100000000000002
GATA4	UGR	0.0019100000000000002
DMRT1	CTNNB1	0.0018399999999999998
UGR	SOX9	0.0018399999999999998
NR0B1	GATA4	0.0017800000000000001
WT1pKTS	SRY	0.00172
WNT4	CBX2	0.0016600000000000002
RSPO1	SRY	0.0016600000000000002
UGR	WT1mKTS	0.00161
DMRT1	WNT4	0.00161
SRY	SOX9	0.00156
DHH	GATA4	0.00156
RSPO1	CBX2	0.00151
DKK1	CTNNB1	0.00146
WT1mKTS	SRY	0.0014199999999999998
AMH	DMRT1	0.00137
SRY	CTNNB1	0.00137
NR0B1	SRY	0.00133
WNT4	UGR	0.00133
SOX9	SRY	0.0012900000000000001
NR5A1	DHH	0.00126
NR0B1	WNT4	0.00122
