Gene1	Gene2	EdgeWeight
AMH	WT1mKTS	1.0
FOXL2	SRY	1.0
FOXL2	WT1mKTS	0.9470618219638459
FOXL2	GATA4	0.7904378717932621
DHH	WT1mKTS	0.7179761694131079
WT1mKTS	UGR	0.616914244564854
GATA4	UGR	0.576316432418817
SOX9	DHH	0.551188413517873
WT1mKTS	WNT4	0.48299454911476597
PGD2	WT1mKTS	0.463553085044424
GATA4	SRY	0.462290658690555
WT1mKTS	SRY	0.45516310633950896
GATA4	WNT4	0.44155911701057704
NR0B1	CTNNB1	0.425739666401345
WNT4	CTNNB1	0.42220953761891605
DHH	RSPO1	0.42170483898594796
SRY	CTNNB1	0.410349521930067
SOX9	FGF9	0.39569499364495203
FGF9	DHH	0.386067407936633
WT1pKTS	SRY	0.38491899619128006
FGF9	WT1mKTS	0.380283920002184
DKK1	RSPO1	0.379723194465157
FOXL2	NR5A1	0.37887433446465096
PGD2	DHH	0.36196095937548295
AMH	FOXL2	0.34838827903073
AMH	DHH	0.34169701634456
DMRT1	WT1mKTS	0.34036994098282597
SRY	UGR	0.337011776936187
CTNNB1	CTNNB1	0.32690978442470503
SRY	CBX2	0.324141072089746
SOX9	WT1mKTS	0.322727392112633
DHH	DHH	0.30846368544616404
FOXL2	CBX2	0.306441781529892
FOXL2	WT1pKTS	0.306294866368789
WT1pKTS	UGR	0.30485859865065507
GATA4	CBX2	0.302869050288409
PGD2	SRY	0.298533937714621
FGF9	RSPO1	0.29809077103060605
PGD2	WT1pKTS	0.28071876968320897
WNT4	WNT4	0.27571780691346803
WT1mKTS	CBX2	0.27276334000859903
NR0B1	CBX2	0.269507385173166
AMH	DMRT1	0.258885572981969
FOXL2	FOXL2	0.253988711904691
WT1pKTS	GATA4	0.25390583699723496
NR0B1	SRY	0.253376383777585
WT1pKTS	WT1mKTS	0.252265606318092
CBX2	WNT4	0.24871079019151698
FOXL2	UGR	0.244906913908143
SRY	WNT4	0.24307356016009
NR5A1	WNT4	0.24072752855587803
UGR	UGR	0.23882553104758802
UGR	CTNNB1	0.237165932672228
WT1mKTS	GATA4	0.23691763228161897
WNT4	UGR	0.231272218316665
CTNNB1	NR5A1	0.22875397208501203
FGF9	FGF9	0.22766121612549398
DMRT1	RSPO1	0.227251789190237
DMRT1	NR5A1	0.22599850679801398
AMH	FGF9	0.22049030526499902
PGD2	FGF9	0.210302269091611
AMH	WT1pKTS	0.208467264931624
NR5A1	UGR	0.20264506818970301
UGR	WNT4	0.202532784233368
GATA4	GATA4	0.19487460517267
CBX2	NR5A1	0.189739744051193
UGR	CBX2	0.18501720333287303
CBX2	UGR	0.184325828212524
WT1mKTS	WT1mKTS	0.18393486313840401
GATA4	WT1mKTS	0.182775905272963
DHH	SRY	0.18023983175361802
FGF9	WT1pKTS	0.18013369556413897
CTNNB1	WNT4	0.174064074355267
DHH	WT1pKTS	0.17174264514031798
DHH	FGF9	0.169982210166212
DKK1	NR5A1	0.16842960555730999
NR0B1	UGR	0.167002848409488
DHH	FOXL2	0.161681394251928
FGF9	SRY	0.157154969716919
WT1pKTS	CBX2	0.155081880123211
FGF9	FOXL2	0.154375707955639
AMH	SRY	0.151541503610711
RSPO1	CTNNB1	0.14936392852300198
PGD2	RSPO1	0.145791857781678
WT1pKTS	WNT4	0.14344831968312696
CBX2	CTNNB1	0.142558897845296
SRY	SRY	0.140459376495192
NR0B1	WNT4	0.14023440078830499
PGD2	FOXL2	0.138139292586046
UGR	SRY	0.137885231988865
CBX2	CBX2	0.136577512677286
CBX2	GATA4	0.13564007642725998
WNT4	CBX2	0.132335175059665
SOX9	NR5A1	0.13196604926242403
WNT4	WT1mKTS	0.129108706010774
DMRT1	WNT4	0.127225741924744
WT1pKTS	WT1pKTS	0.126408155791671
WT1mKTS	WT1pKTS	0.124611564509711
CBX2	SRY	0.114476049208976
GATA4	WT1pKTS	0.11382815618204901
WNT4	NR5A1	0.11192789292128999
NR5A1	GATA4	0.11136705520802401
DHH	DMRT1	0.10675656393488901
DMRT1	CTNNB1	0.10604113668429802
NR0B1	WT1mKTS	0.105364898854059
DKK1	WNT4	0.10511515012293199
NR0B1	WT1pKTS	0.100957281725164
NR0B1	RSPO1	0.100341855385494
UGR	NR5A1	0.0977320468981943
RSPO1	FOXL2	0.0971709430092053
NR5A1	SRY	0.0931978385021843
NR5A1	WT1mKTS	0.0929453305960708
UGR	GATA4	0.0925282419657597
FGF9	DMRT1	0.0882244949388216
CTNNB1	FOXL2	0.0858669964762117
WNT4	RSPO1	0.0844925748151466
CBX2	WT1mKTS	0.0837077239418239
AMH	DKK1	0.0783883109548443
WT1pKTS	NR5A1	0.0776799097258178
PGD2	DKK1	0.076434781781184
DMRT1	FOXL2	0.0750503785006721
PGD2	GATA4	0.0702786200397699
DKK1	FOXL2	0.0652275089322428
DHH	DKK1	0.0631217414719038
AMH	SOX9	0.0626700063364154
AMH	AMH	0.0615107465900155
FGF9	AMH	0.0592459748778299
DMRT1	AMH	0.0546978528961939
WT1mKTS	NR5A1	0.0538357292138809
DHH	AMH	0.0520141642269517
PGD2	DMRT1	0.0518389526552257
SRY	FOXL2	0.0515841011446611
DHH	GATA4	0.0492409497566578
SRY	RSPO1	0.0491065551115787
DKK1	AMH	0.0483153076819944
NR5A1	NR5A1	0.0464370760957758
DHH	SOX9	0.0452708620480354
RSPO1	RSPO1	0.044285399971674
GATA4	RSPO1	0.0435949306387913
WNT4	DMRT1	0.0426889741410195
NR0B1	DKK1	0.0419364465452369
RSPO1	NR5A1	0.0415897821884721
FGF9	GATA4	0.0402942936067248
UGR	RSPO1	0.0400755210754931
NR0B1	FOXL2	0.0391964745795702
WNT4	DKK1	0.0387108715109571
CTNNB1	RSPO1	0.0374259618881372
NR5A1	WT1pKTS	0.0372130574938246
WT1mKTS	RSPO1	0.0368312103596134
NR0B1	DMRT1	0.0325307042611136
FGF9	DKK1	0.0319997671517672
SOX9	PGD2	0.0318843277592421
FGF9	SOX9	0.0305533357716888
AMH	GATA4	0.0285824647301057
FOXL2	AMH	0.0262231193002091
DKK1	CTNNB1	0.0234376942718037
DMRT1	DMRT1	0.0233505398129744
WT1pKTS	FOXL2	0.0221417915106314
SOX9	DKK1	0.0221243457332916
WNT4	SOX9	0.0216541988145704
UGR	WT1mKTS	0.0206046610666974
SRY	DKK1	0.0190656703925184
FGF9	PGD2	0.0188236186112595
GATA4	AMH	0.0161104721099281
DHH	PGD2	0.0152390188346738
SOX9	WT1pKTS	0.0136754186389514
GATA4	CTNNB1	0.0125154692796795
SRY	NR5A1	0.012099785235010001
