Gene1	Gene2	EdgeWeight
SOX9	SRY	6.0
FOXL2	SRY	6.0
DHH	WT1pKTS	1.5
FOXL2	WT1mKTS	1.5
FGF9	GATA4	0.66666
FOXL2	CTNNB1	0.66666
FOXL2	NR0B1	0.375
DHH	GATA4	0.375
AMH	WNT4	0.24
FOXL2	WT1pKTS	0.24
CTNNB1	RSPO1	0.16666
PGD2	FOXL2	0.16666
FOXL2	DKK1	0.12244000000000001
SOX9	NR0B1	0.12244000000000001
PGD2	SRY	0.09375
DHH	SRY	0.07407000000000001
FGF9	CTNNB1	0.06
FGF9	FOXL2	0.04958
PGD2	NR5A1	0.04166
FOXL2	CBX2	0.0355
AMH	CBX2	0.0355
DHH	WT1mKTS	0.030610000000000002
DMRT1	NR5A1	0.02343
AMH	SRY	0.01851
FOXL2	DMRT1	0.015
DHH	NR0B1	0.015
RSPO1	NR5A1	0.0136
CTNNB1	DMRT1	0.0096
FGF9	UGR	0.008870000000000001
CTNNB1	WNT4	0.008870000000000001
NR0B1	SRY	0.00765
CBX2	SRY	0.00765
UGR	CBX2	0.00713
GATA4	NR0B1	0.006659999999999999
GATA4	WT1pKTS	0.00624
FGF9	RSPO1	0.00624
DHH	CTNNB1	0.00585
CTNNB1	DKK1	0.0055
NR5A1	WT1pKTS	0.00519
SOX9	FGF9	0.00519
WNT4	NR0B1	0.00489
DKK1	NR0B1	0.00462
WT1pKTS	WT1mKTS	0.004379999999999999
FGF9	SRY	0.004379999999999999
DMRT1	DKK1	0.00415
GATA4	WNT4	0.00394
DMRT1	WNT4	0.00394
SRY	CBX2	0.00375
SOX9	PGD2	0.00375
AMH	NR0B1	0.0035600000000000002
CBX2	DKK1	0.0035600000000000002
FGF9	WNT4	0.0034
FOXL2	NR5A1	0.00324
PGD2	RSPO1	0.00324
DMRT1	UGR	0.00309
GATA4	WT1mKTS	0.00309
PGD2	AMH	0.00296
CBX2	WNT4	0.00283
WNT4	SOX9	0.00271
SOX9	DHH	0.0026
CBX2	NR5A1	0.0026
CTNNB1	SRY	0.00249
WT1mKTS	GATA4	0.0024
WT1pKTS	GATA4	0.0024
DKK1	SRY	0.0023
NR0B1	UGR	0.0023
UGR	WNT4	0.00221
DHH	UGR	0.00221
AMH	WT1mKTS	0.00213
UGR	SRY	0.00213
NR0B1	WNT4	0.00205
WT1pKTS	SRY	0.00205
WT1pKTS	NR5A1	0.0019100000000000002
DHH	WNT4	0.0018399999999999998
PGD2	NR0B1	0.0017800000000000001
SOX9	NR5A1	0.0017800000000000001
AMH	CTNNB1	0.00172
CTNNB1	CBX2	0.00172
WT1mKTS	DKK1	0.0016600000000000002
CBX2	DMRT1	0.00161
UGR	NR5A1	0.00161
FOXL2	SOX9	0.00156
WT1mKTS	NR5A1	0.00151
WNT4	UGR	0.00151
RSPO1	SOX9	0.00146
UGR	CTNNB1	0.00137
CTNNB1	FOXL2	0.00133
CBX2	SOX9	0.00133
SOX9	AMH	0.0012900000000000001
UGR	RSPO1	0.0012900000000000001
RSPO1	CTNNB1	0.00126
CBX2	CTNNB1	0.00122
AMH	UGR	0.00119
SRY	NR5A1	0.00119
NR0B1	CBX2	0.00115
RSPO1	UGR	0.00115
WT1mKTS	CTNNB1	0.00112
NR0B1	SOX9	0.00112
SRY	NR0B1	0.00109
WNT4	NR5A1	0.00109
WT1pKTS	SOX9	0.00106
FGF9	CBX2	0.00106
WNT4	RSPO1	0.00103
DMRT1	SRY	0.00103
UGR	NR0B1	0.00101
SRY	WT1pKTS	0.00101
WNT4	CTNNB1	0.00098
WT1pKTS	NR0B1	0.00098
WT1pKTS	WNT4	0.0009599999999999999
RSPO1	NR0B1	0.0009599999999999999
SRY	DKK1	0.00093
CBX2	RSPO1	0.00093
WT1mKTS	SRY	0.0008900000000000001
WT1mKTS	DMRT1	0.0008699999999999999
WT1mKTS	SOX9	0.00085
CBX2	NR0B1	0.00085
NR5A1	WNT4	0.0008300000000000001
WT1pKTS	RSPO1	0.0008300000000000001
CBX2	UGR	0.00079
PGD2	WNT4	0.00079
AMH	DHH	0.0007700000000000001
PGD2	UGR	0.00075
NR5A1	SRY	0.00074
NR5A1	GATA4	0.00072
WNT4	SRY	0.0007
AMH	FGF9	0.0007
SRY	WT1mKTS	0.0006900000000000001
NR5A1	WT1mKTS	0.00067
WT1pKTS	UGR	0.00067
WT1pKTS	DKK1	0.00066
SRY	DMRT1	0.00066
SRY	CTNNB1	0.00063
FGF9	NR5A1	0.00063
GATA4	NR5A1	0.00061
WNT4	WT1mKTS	0.00061
NR5A1	RSPO1	0.0006
WT1mKTS	WNT4	0.0006
NR0B1	GATA4	0.00058
WT1mKTS	CBX2	0.00057
UGR	SOX9	0.00056
SRY	GATA4	0.00056
FGF9	NR0B1	0.00055
NR5A1	FOXL2	0.00055
NR0B1	CTNNB1	0.00054
DKK1	WT1mKTS	0.00053
DMRT1	CTNNB1	0.0005200000000000001
WT1pKTS	CBX2	0.0005200000000000001
NR0B1	WT1pKTS	0.0005099999999999999
SRY	SOX9	0.0005
GATA4	RSPO1	0.0005
UGR	GATA4	0.00049
SRY	WNT4	0.00049
RSPO1	DKK1	0.00047999999999999996
FOXL2	WNT4	0.00047999999999999996
WT1pKTS	DMRT1	0.00047000000000000004
WT1pKTS	CTNNB1	0.00047000000000000004
GATA4	CBX2	0.00045999999999999996
UGR	WT1pKTS	0.00045999999999999996
CTNNB1	NR5A1	0.00045
RSPO1	GATA4	0.00045
CTNNB1	UGR	0.00044
WT1mKTS	FOXL2	0.00044
AMH	DKK1	0.00043
RSPO1	DMRT1	0.00043
WNT4	DKK1	0.00042
NR5A1	DKK1	0.00041
NR5A1	FGF9	0.0004
DKK1	CBX2	0.0004
NR5A1	DHH	0.00039
SOX9	UGR	0.00037999999999999997
DMRT1	GATA4	0.00037
NR0B1	FGF9	0.00036
NR5A1	PGD2	0.00036
WT1mKTS	AMH	0.00035
DMRT1	RSPO1	0.00033999999999999997
WNT4	DHH	0.00033999999999999997
WNT4	AMH	0.00033
RSPO1	WT1pKTS	0.00033
