Gene1	Gene2	EdgeWeight
NR5A1	FOXL2	360
CTNNB1	CBX2	359
UGR	UGR	358
WT1pKTS	FOXL2	357
FOXL2	NR5A1	356
FOXL2	FOXL2	355
SRY	NR0B1	354
NR0B1	SRY	353
SRY	UGR	352
NR0B1	WNT4	351
WT1mKTS	NR0B1	350
RSPO1	CBX2	349
WNT4	WNT4	348
DHH	CBX2	347
WNT4	FOXL2	346
SOX9	WT1pKTS	345
CBX2	RSPO1	344
SRY	NR5A1	343
CTNNB1	NR5A1	342
WT1mKTS	WT1mKTS	341
CBX2	CTNNB1	340
CBX2	NR5A1	339
WT1pKTS	NR5A1	338
DMRT1	FOXL2	337
WT1pKTS	GATA4	336
FOXL2	SRY	335
DKK1	UGR	334
NR5A1	WT1pKTS	333
DMRT1	UGR	332
GATA4	CTNNB1	331
CTNNB1	UGR	330
CBX2	GATA4	329
SOX9	CTNNB1	328
GATA4	WNT4	327
PGD2	WNT4	326
UGR	RSPO1	325
GATA4	SRY	324
DMRT1	NR5A1	323
PGD2	SRY	322
WT1mKTS	FOXL2	321
NR0B1	UGR	320
UGR	CBX2	319
UGR	CTNNB1	318
DHH	WT1mKTS	317
GATA4	GATA4	316
DKK1	WT1pKTS	315
WNT4	UGR	314
CTNNB1	WT1mKTS	313
FOXL2	GATA4	312
FGF9	WNT4	311
PGD2	FOXL2	310
RSPO1	UGR	309
AMH	NR0B1	308
CBX2	UGR	307
NR0B1	GATA4	306
GATA4	NR0B1	305
WT1mKTS	WT1pKTS	304
NR0B1	NR0B1	303
RSPO1	NR5A1	302
WNT4	WT1mKTS	301
WT1pKTS	SRY	300
FGF9	WT1pKTS	299
RSPO1	SRY	298
NR0B1	FOXL2	297
RSPO1	WT1mKTS	296
FGF9	FOXL2	295
RSPO1	NR0B1	294
RSPO1	CTNNB1	293
SRY	WT1pKTS	292
PGD2	WT1mKTS	291
CBX2	SRY	290
FGF9	NR5A1	289
NR5A1	GATA4	288
PGD2	NR0B1	287
GATA4	RSPO1	286
NR5A1	SRY	285
WNT4	CBX2	284
WNT4	RSPO1	283
NR5A1	RSPO1	282
RSPO1	GATA4	281
AMH	UGR	280
WT1mKTS	GATA4	279
PGD2	RSPO1	278
SOX9	FOXL2	277
DHH	GATA4	276
NR5A1	UGR	275
SRY	SRY	274
UGR	WT1mKTS	273
UGR	SRY	272
NR5A1	CBX2	271
WT1mKTS	RSPO1	270
WNT4	WT1pKTS	269
WT1pKTS	CBX2	268
FGF9	CBX2	267
DKK1	NR0B1	266
WT1pKTS	NR0B1	265
FOXL2	WNT4	264
AMH	FOXL2	263
CTNNB1	SRY	262
WT1pKTS	WNT4	261
RSPO1	FOXL2	260
SOX9	CBX2	259
AMH	WT1mKTS	258
CTNNB1	WT1pKTS	257
AMH	GATA4	256
CBX2	WT1pKTS	255
DKK1	NR5A1	254
PGD2	NR5A1	253
CBX2	NR0B1	252
DKK1	FOXL2	251
NR0B1	CTNNB1	250
DHH	NR0B1	249
GATA4	WT1mKTS	248
WNT4	NR5A1	247
DMRT1	GATA4	246
CBX2	WNT4	245
FOXL2	CTNNB1	244
WT1pKTS	UGR	243
SOX9	WT1mKTS	242
