Gene1	Gene2	EdgeWeight
UGR	UGR	360
GATA4	RSPO1	359
SOX9	RSPO1	359
WNT4	SOX9	358
WT1pKTS	FOXL2	358
NR5A1	FOXL2	357
DMRT1	DMRT1	357
WT1mKTS	NR0B1	356
RSPO1	CTNNB1	356
DKK1	DKK1	355
NR0B1	RSPO1	355
RSPO1	RSPO1	354
WNT4	RSPO1	354
WNT4	FOXL2	353
WNT4	SRY	353
CTNNB1	NR0B1	352
WT1mKTS	RSPO1	352
SRY	NR0B1	351
RSPO1	SOX9	351
SRY	UGR	350
UGR	RSPO1	350
CBX2	CTNNB1	349
CTNNB1	UGR	349
SRY	SRY	348
FGF9	NR0B1	347
WT1mKTS	SOX9	347
CBX2	NR5A1	346
NR5A1	RSPO1	346
RSPO1	NR0B1	345
WT1pKTS	CBX2	344
AMH	RSPO1	344
GATA4	SOX9	343
WT1mKTS	WT1pKTS	342
SOX9	WNT4	342
RSPO1	UGR	341
NR0B1	NR0B1	341
CTNNB1	CBX2	340
AMH	DMRT1	340
FGF9	WT1pKTS	339
CTNNB1	WNT4	339
CTNNB1	RSPO1	338
DHH	GATA4	338
DHH	WT1pKTS	337
PGD2	PGD2	337
DMRT1	CBX2	336
UGR	NR0B1	336
NR0B1	WT1pKTS	335
DHH	AMH	335
GATA4	GATA4	334
NR0B1	SOX9	334
CTNNB1	SRY	333
SRY	WT1pKTS	332
WT1mKTS	DMRT1	332
CTNNB1	GATA4	331
CBX2	DKK1	331
NR0B1	WNT4	330
FOXL2	WT1pKTS	330
NR5A1	CBX2	329
FGF9	DMRT1	329
GATA4	WT1pKTS	328
CBX2	DMRT1	327
CBX2	UGR	327
RSPO1	CBX2	326
CBX2	RSPO1	325
WT1mKTS	CTNNB1	325
DMRT1	SRY	324
AMH	NR0B1	323
DHH	DHH	323
DHH	NR5A1	322
DKK1	SRY	322
NR5A1	DHH	321
DHH	CBX2	321
PGD2	WNT4	320
UGR	CTNNB1	319
UGR	CBX2	318
SOX9	WT1pKTS	318
FGF9	FGF9	317
PGD2	WT1pKTS	317
WNT4	WNT4	316
NR5A1	WNT4	316
AMH	WT1pKTS	315
WT1pKTS	RSPO1	314
RSPO1	WT1pKTS	314
WT1mKTS	WT1mKTS	313
WNT4	NR0B1	313
PGD2	NR0B1	312
NR0B1	WT1mKTS	312
DMRT1	RSPO1	311
GATA4	WNT4	311
DHH	PGD2	310
WT1pKTS	SRY	310
DKK1	RSPO1	309
PGD2	RSPO1	309
DKK1	NR0B1	308
PGD2	DMRT1	308
NR5A1	DMRT1	307
DHH	RSPO1	307
AMH	WNT4	306
NR5A1	UGR	306
DMRT1	WNT4	305
DMRT1	DKK1	304
UGR	WT1pKTS	304
PGD2	GATA4	303
RSPO1	WNT4	303
AMH	GATA4	302
SRY	DKK1	302
DHH	WNT4	301
WNT4	WT1pKTS	299
WNT4	DMRT1	299
CTNNB1	WT1mKTS	298
DKK1	DMRT1	298
WT1mKTS	WNT4	297
WNT4	DKK1	296
GATA4	NR0B1	296
DHH	WT1mKTS	295
DMRT1	FOXL2	294
AMH	CBX2	294
SRY	DMRT1	293
RSPO1	NR5A1	292
FOXL2	NR0B1	291
CBX2	NR0B1	291
DHH	NR0B1	290
FGF9	PGD2	290
DKK1	PGD2	289
DMRT1	WT1pKTS	289
GATA4	WT1mKTS	288
CTNNB1	WT1pKTS	288
FOXL2	CTNNB1	287
AMH	SOX9	286
WT1mKTS	DKK1	285
WT1pKTS	NR5A1	285
SOX9	CTNNB1	284
GATA4	DMRT1	284
DKK1	CBX2	283
FOXL2	WNT4	283
CTNNB1	DKK1	282
WT1pKTS	UGR	282
CBX2	CBX2	281
FOXL2	GATA4	281
DMRT1	SOX9	280
