Gene1	Gene2	EdgeWeight
DMRT1	DMRT1	1.0
GATA4	NR5A1	1.0
NR5A1	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
UGR	WT1pKTS	1.0
GATA4	WT1pKTS	1.0
UGR	UGR	1.0
WNT4	SOX9	1.0
NR5A1	SOX9	1.0
SOX9	SOX9	1.0
WT1mKTS	GATA4	1.0
DKK1	GATA4	1.0
NR5A1	GATA4	1.0
WT1pKTS	GATA4	1.0
UGR	GATA4	1.0
GATA4	GATA4	1.0
NR5A1	DMRT1	1.0
RSPO1	RSPO1	1.0
CTNNB1	RSPO1	1.0
WT1mKTS	WT1pKTS	1.0
SOX9	NR5A1	1.0
CBX2	RSPO1	1.0
NR5A1	NR5A1	1.0
UGR	WNT4	1.0
CBX2	CBX2	1.0
NR5A1	CBX2	1.0
UGR	CBX2	1.0
FGF9	AMH	1.0
DHH	AMH	1.0
PGD2	AMH	1.0
AMH	AMH	1.0
DHH	NR0B1	1.0
WT1mKTS	NR0B1	1.0
WNT4	NR0B1	1.0
CBX2	NR0B1	1.0
AMH	NR0B1	1.0
NR0B1	NR0B1	1.0
UGR	NR0B1	1.0
GATA4	NR0B1	1.0
RSPO1	NR5A1	1.0
SRY	RSPO1	1.0
RSPO1	CTNNB1	1.0
RSPO1	WNT4	1.0
NR0B1	NR0B1	1.0
UGR	NR0B1	1.0
RSPO1	NR5A1	1.0
SRY	NR5A1	1.0
NR5A1	NR5A1	1.0
NR5A1	WT1pKTS	1.0
WT1pKTS	WT1pKTS	1.0
FOXL2	WT1pKTS	1.0
WT1pKTS	FOXL2	1.0
FOXL2	FOXL2	1.0
WNT4	UGR	1.0
CBX2	UGR	1.0
NR0B1	UGR	1.0
UGR	UGR	1.0
NR5A1	SOX9	1.0
NR5A1	GATA4	1.0
WT1pKTS	GATA4	1.0
FOXL2	GATA4	1.0
WT1pKTS	NR0B1	1.0
WNT4	NR0B1	1.0
CTNNB1	CTNNB1	1.0
CBX2	CBX2	1.0
SRY	CTNNB1	1.0
FOXL2	CTNNB1	1.0
RSPO1	WT1mKTS	1.0
WT1mKTS	WT1mKTS	1.0
NR5A1	WT1mKTS	1.0
WT1pKTS	WT1mKTS	1.0
FOXL2	WT1mKTS	1.0
GATA4	WT1mKTS	1.0
SRY	SRY	1.0
NR5A1	SRY	1.0
CBX2	DKK1	1.0
NR5A1	DKK1	1.0
CTNNB1	WNT4	1.0
WNT4	WNT4	1.0
NR0B1	WNT4	1.0
NR5A1	WNT4	1.0
UGR	WNT4	1.0
WNT4	WNT4	1.0
GATA4	GATA4	1.0
DKK1	DMRT1	1.0
WT1mKTS	WT1mKTS	1.0
FGF9	PGD2	1.0
DHH	PGD2	1.0
PGD2	PGD2	1.0
DHH	FGF9	1.0
AMH	PGD2	1.0
PGD2	FGF9	1.0
DMRT1	DKK1	1.0
FGF9	FGF9	1.0
UGR	SRY	1.0
DKK1	WT1mKTS	1.0
NR5A1	WT1mKTS	1.0
UGR	WT1mKTS	1.0
CBX2	SRY	1.0
SRY	SRY	1.0
DKK1	SRY	1.0
AMH	FGF9	1.0
FGF9	DHH	1.0
CTNNB1	CTNNB1	1.0
WNT4	RSPO1	1.0
DHH	DHH	1.0
RSPO1	RSPO1	1.0
PGD2	DHH	1.0
DKK1	DKK1	1.0
CBX2	DKK1	1.0
WT1pKTS	NR5A1	0.999999
RSPO1	CBX2	0.999999
FOXL2	NR0B1	0.999999
RSPO1	DMRT1	0.9999979999999999
CBX2	DMRT1	0.9999979999999999
CTNNB1	SRY	0.9999969999999999
CBX2	CTNNB1	0.9999969999999999
GATA4	CBX2	0.9999969999999999
UGR	RSPO1	0.9999959999999999
NR5A1	CTNNB1	0.9999959999999999
PGD2	NR0B1	0.9999959999999999
WNT4	NR5A1	0.9999950000000001
CTNNB1	CBX2	0.999985
WNT4	CTNNB1	0.999967
GATA4	UGR	0.999964
DMRT1	SOX9	0.999964
NR5A1	RSPO1	0.9999629999999999
FOXL2	CBX2	0.999875
RSPO1	DKK1	0.999862
WNT4	WT1mKTS	0.999843
WT1pKTS	CBX2	0.9998370000000001
CBX2	NR5A1	0.9997229999999999
GATA4	FOXL2	0.999613
NR0B1	SRY	0.9996
GATA4	RSPO1	0.9995379999999999
CBX2	SOX9	0.9995200000000001
FOXL2	DMRT1	0.999491
SOX9	CBX2	0.9994770000000001
WT1pKTS	SRY	0.999035
SRY	DMRT1	0.9987659999999999
WNT4	FOXL2	0.9987469999999999
AMH	SOX9	0.998292
CTNNB1	NR5A1	0.998231
WNT4	GATA4	0.998132
DMRT1	WT1pKTS	0.996915
SOX9	DMRT1	0.9968629999999999
CTNNB1	DMRT1	0.9967950000000001
CTNNB1	DKK1	0.9960530000000001
WT1mKTS	FOXL2	0.9960399999999999
RSPO1	WT1pKTS	0.99585
DKK1	WT1pKTS	0.9957010000000001
AMH	DHH	0.9955809999999999
NR0B1	DMRT1	0.995187
CTNNB1	WT1pKTS	0.9949790000000001
DMRT1	NR5A1	0.9949459999999999
WNT4	SRY	0.994395
GATA4	WNT4	0.993976
NR0B1	AMH	0.9934709999999999
DHH	CTNNB1	0.9931180000000001
SRY	SOX9	0.9922690000000001
CTNNB1	GATA4	0.991381
AMH	DKK1	0.991316
CTNNB1	NR0B1	0.986476
UGR	NR5A1	0.986469
RSPO1	SRY	0.984817
SRY	DKK1	0.9830479999999999
