Gene1	Gene2	EdgeWeight
DKK1	DMRT1	0.9593439784023
DMRT1	DKK1	0.9593439784023
DKK1	AMH	0.9574696251353599
DMRT1	PGD2	0.9566649174438879
DMRT1	AMH	0.956260537352283
DMRT1	DHH	0.9556576645853401
DMRT1	FGF9	0.9548476460210091
RSPO1	FOXL2	0.9535913415098621
DKK1	FGF9	0.9534665920075129
DKK1	DHH	0.9517248981040171
DKK1	PGD2	0.950900610117327
CTNNB1	RSPO1	0.947347997871774
RSPO1	CTNNB1	0.947347997871774
CTNNB1	FOXL2	0.94457543875207
DKK1	SOX9	0.944344066344884
DMRT1	SOX9	0.938757746437614
RSPO1	WT1pKTS	0.92088246576362
SOX9	AMH	0.9202197111260151
SOX9	FGF9	0.91620688627434
SOX9	DHH	0.914495305154019
SOX9	PGD2	0.9121540823030799
CTNNB1	WT1pKTS	0.910671625854899
WNT4	FOXL2	0.904324026109225
UGR	WNT4	0.8974592983838481
WNT4	WT1pKTS	0.8947698077755891
WNT4	RSPO1	0.8943197722583341
WNT4	NR5A1	0.8912093052886629
RSPO1	NR5A1	0.8865116390175021
UGR	WT1pKTS	0.886453173219112
NR0B1	DMRT1	0.8823817750589208
WNT4	CTNNB1	0.881183900124852
NR0B1	FOXL2	0.881001568191053
CTNNB1	NR5A1	0.879866171644523
UGR	CBX2	0.878852441224318
UGR	FOXL2	0.8769714632193158
WNT4	CBX2	0.874982371625211
UGR	NR5A1	0.874406157391249
NR0B1	WNT4	0.8736564919540679
NR0B1	DKK1	0.873010756703241
NR0B1	RSPO1	0.872535615083893
NR0B1	WT1pKTS	0.8725233347096311
NR0B1	NR5A1	0.8691085266274241
DMRT1	NR0B1	0.8685049045115442
UGR	DKK1	0.8676589069948549
UGR	RSPO1	0.8670825880190121
DKK1	NR0B1	0.8670805799924358
UGR	DMRT1	0.865931014296028
UGR	CTNNB1	0.865782768938316
WNT4	NR0B1	0.865192744417399
WNT4	UGR	0.864407424277572
NR0B1	CTNNB1	0.8622062204810269
FOXL2	WT1pKTS	0.858318266506288
CBX2	FOXL2	0.8529410986827509
CBX2	NR5A1	0.8529054598135569
NR0B1	CBX2	0.8496652358912191
NR0B1	UGR	0.848760192686689
SRY	DKK1	0.8481690225835501
NR0B1	SOX9	0.8472080706065459
UGR	SOX9	0.8468883353854408
CBX2	RSPO1	0.8457646152872321
SRY	DMRT1	0.8446033768711841
NR0B1	SRY	0.84448157876587
SRY	NR0B1	0.8437888119250541
