Gene1	Gene2	EdgeWeight
CTNNB1	FOXL2	195
RSPO1	FOXL2	195
FOXL2	AMH	192
CTNNB1	AMH	186
RSPO1	AMH	186
WNT4	AMH	181
UGR	AMH	180
CBX2	AMH	180
PGD2	FOXL2	162
DHH	FOXL2	162
FGF9	FOXL2	162
AMH	FOXL2	160
SOX9	FOXL2	158
DMRT1	FOXL2	158
DKK1	FOXL2	158
FOXL2	SOX9	155
DHH	AMH	152
DMRT1	AMH	152
SRY	AMH	152
DKK1	AMH	152
NR5A1	AMH	152
SOX9	AMH	152
CTNNB1	SOX9	152
UGR	SOX9	149
FOXL2	WT1pKTS	132
WT1pKTS	FOXL2	131
FOXL2	CTNNB1	117
CBX2	FOXL2	116
FOXL2	NR5A1	114
DHH	SOX9	112
PGD2	SOX9	112
FGF9	SOX9	112
AMH	SOX9	112
FOXL2	WNT4	97
SOX9	CTNNB1	94
NR5A1	SOX9	91
DMRT1	SOX9	91
PGD2	WT1pKTS	87
FGF9	WT1pKTS	87
DHH	WT1pKTS	87
AMH	WT1pKTS	87
FGF9	NR5A1	81
DHH	NR5A1	81
PGD2	NR5A1	81
FGF9	CTNNB1	81
DHH	CTNNB1	81
PGD2	CTNNB1	81
AMH	NR5A1	81
AMH	CTNNB1	79
RSPO1	SOX9	72
UGR	WT1pKTS	70
SOX9	WT1pKTS	66
PGD2	WNT4	65
FGF9	WNT4	65
DHH	WNT4	65
AMH	WNT4	63
SOX9	NR5A1	63
UGR	NR5A1	60
DKK1	WT1pKTS	59
NR5A1	FOXL2	56
CBX2	SOX9	56
SRY	FOXL2	53
CTNNB1	WT1pKTS	50
WT1mKTS	AMH	49
WNT4	SOX9	49
NR0B1	AMH	49
RSPO1	WT1pKTS	43
CTNNB1	NR5A1	43
GATA4	AMH	42
PGD2	AMH	42
WT1pKTS	AMH	42
FGF9	AMH	42
RSPO1	NR5A1	37
UGR	FOXL2	36
CBX2	WT1pKTS	35
WNT4	WT1pKTS	35
CBX2	NR5A1	30
GATA4	FOXL2	30
WT1mKTS	FOXL2	30
WNT4	NR5A1	30
NR0B1	SOX9	28
WT1mKTS	SOX9	28
RSPO1	UGR	27
AMH	UGR	27
WNT4	FOXL2	27
PGD2	UGR	27
CTNNB1	UGR	27
DMRT1	UGR	27
FGF9	UGR	27
DHH	UGR	27
FOXL2	UGR	27
SOX9	UGR	27
NR0B1	FOXL2	27
DKK1	UGR	27
UGR	CTNNB1	24
FGF9	CBX2	22
DHH	CBX2	22
DKK1	CTNNB1	22
FOXL2	CBX2	22
AMH	CBX2	22
PGD2	CBX2	22
DMRT1	CTNNB1	22
DKK1	SOX9	21
GATA4	SOX9	21
SRY	SOX9	21
WT1pKTS	SOX9	21
NR5A1	CTNNB1	20
SRY	CTNNB1	20
SOX9	WNT4	18
DMRT1	WNT4	16
DKK1	WNT4	16
CBX2	CTNNB1	14
DMRT1	WT1pKTS	14
UGR	WNT4	14
DMRT1	NR5A1	12
SRY	WNT4	12
NR5A1	WNT4	12
GATA4	CTNNB1	12
DKK1	NR5A1	12
WT1pKTS	CTNNB1	12
CTNNB1	WNT4	10
UGR	CBX2	10
CBX2	WNT4	10
NR5A1	UGR	10
SRY	UGR	10
WT1mKTS	CTNNB1	10
WNT4	CTNNB1	10
NR0B1	CTNNB1	10
WNT4	UGR	10
CBX2	UGR	10
NR0B1	UGR	10
RSPO1	CTNNB1	10
WT1pKTS	UGR	10
GATA4	UGR	10
WT1mKTS	UGR	10
SOX9	CBX2	9
FOXL2	NR0B1	8
NR0B1	WNT4	8
WT1pKTS	WNT4	8
WT1mKTS	WNT4	8
RSPO1	WNT4	8
GATA4	WNT4	8
NR0B1	WT1pKTS	7
GATA4	WT1pKTS	7
NR5A1	WT1pKTS	7
WT1mKTS	WT1pKTS	7
CTNNB1	CBX2	7
SRY	WT1pKTS	7
FOXL2	SRY	7
RSPO1	CBX2	7
UGR	NR0B1	7
UGR	DMRT1	7
FOXL2	DMRT1	7
DKK1	CBX2	6
PGD2	NR0B1	6
DMRT1	CBX2	6
GATA4	NR5A1	6
DHH	NR0B1	6
FGF9	NR0B1	6
AMH	NR0B1	6
WT1mKTS	NR5A1	6
SRY	NR5A1	6
NR0B1	CBX2	6
NR0B1	NR5A1	6
WT1pKTS	NR5A1	6
SRY	CBX2	5
CBX2	NR0B1	5
WNT4	CBX2	5
GATA4	CBX2	5
WT1pKTS	CBX2	5
CTNNB1	NR0B1	5
FOXL2	RSPO1	5
WT1mKTS	CBX2	5
NR5A1	CBX2	5
FGF9	RSPO1	4
DHH	RSPO1	4
PGD2	RSPO1	4
WNT4	NR0B1	4
AMH	RSPO1	4
RSPO1	NR0B1	4
SOX9	NR0B1	3
FGF9	DMRT1	3
DHH	DMRT1	3
AMH	DMRT1	3
PGD2	DMRT1	3
DKK1	NR0B1	2
FGF9	SRY	2
DMRT1	NR0B1	2
DHH	SRY	2
PGD2	SRY	2
AMH	SRY	2
WNT4	FGF9	1
CBX2	FGF9	1
PGD2	DKK1	1
CTNNB1	FGF9	1
DHH	DKK1	1
FGF9	DKK1	1
RSPO1	FGF9	1
FOXL2	FGF9	1
UGR	FGF9	1
AMH	DKK1	1
AMH	GATA4	1
GATA4	FGF9	0
DKK1	DHH	0
WNT4	DHH	0
CBX2	DHH	0
DMRT1	RSPO1	0
WT1pKTS	FGF9	0
SOX9	FGF9	0
SRY	DHH	0
NR5A1	FGF9	0
NR0B1	FGF9	0
AMH	FGF9	0
CTNNB1	RSPO1	0
PGD2	DHH	0
WT1mKTS	RSPO1	0
WT1pKTS	RSPO1	0
RSPO1	DHH	0
FGF9	DHH	0
DMRT1	DHH	0
GATA4	RSPO1	0
SOX9	RSPO1	0
UGR	RSPO1	0
NR5A1	RSPO1	0
WT1mKTS	DHH	0
NR0B1	RSPO1	0
CBX2	RSPO1	0
DKK1	FGF9	0
WNT4	RSPO1	0
DKK1	RSPO1	0
CTNNB1	DHH	0
SRY	RSPO1	0
RSPO1	DMRT1	0
SRY	FGF9	0
DKK1	GATA4	0
RSPO1	GATA4	0
DHH	GATA4	0
CTNNB1	GATA4	0
PGD2	GATA4	0
WT1mKTS	GATA4	0
SRY	GATA4	0
WNT4	GATA4	0
WT1mKTS	FGF9	0
CBX2	GATA4	0
NR0B1	GATA4	0
NR5A1	GATA4	0
WT1pKTS	GATA4	0
FOXL2	GATA4	0
UGR	GATA4	0
FGF9	GATA4	0
DMRT1	GATA4	0
CTNNB1	DMRT1	0
WT1mKTS	DMRT1	0
SRY	DMRT1	0
DKK1	DMRT1	0
WNT4	DMRT1	0
CBX2	DMRT1	0
NR0B1	DMRT1	0
NR5A1	DMRT1	0
WT1pKTS	DMRT1	0
SOX9	DMRT1	0
