Gene1	Gene2	EdgeWeight
SOX9	WNT4	360
SOX9	RSPO1	359
CTNNB1	CBX2	358
WT1pKTS	RSPO1	357
DHH	DHH	356
UGR	UGR	355
AMH	AMH	354
PGD2	WNT4	353
GATA4	CBX2	352
SRY	SRY	351
WNT4	SOX9	350
DHH	WNT4	349
FGF9	FGF9	348
RSPO1	CTNNB1	347
FGF9	WNT4	346
SRY	CTNNB1	345
UGR	RSPO1	344
FOXL2	CTNNB1	343
WT1pKTS	NR0B1	342
RSPO1	SOX9	341
AMH	WNT4	340
SRY	UGR	339
WT1mKTS	NR0B1	338
DKK1	DKK1	337
CTNNB1	NR0B1	336
WNT4	RSPO1	335
GATA4	NR0B1	334
SOX9	FGF9	333
UGR	NR0B1	332
CBX2	RSPO1	331
CTNNB1	RSPO1	330
DHH	NR5A1	329
WT1pKTS	CBX2	328
NR0B1	SRY	327
NR0B1	SOX9	326
WNT4	SRY	325
NR5A1	WNT4	324
DMRT1	SRY	323
SRY	NR5A1	322
AMH	NR5A1	321
RSPO1	CBX2	320
CBX2	SRY	319
PGD2	NR5A1	318
WT1mKTS	GATA4	317
DMRT1	WT1pKTS	316
DMRT1	DMRT1	315
UGR	CTNNB1	314
AMH	CBX2	313
WT1pKTS	SRY	312
NR5A1	RSPO1	311
NR0B1	WT1mKTS	310
SRY	RSPO1	309
FGF9	NR5A1	308
WT1mKTS	WT1pKTS	307
AMH	FGF9	306
SOX9	CBX2	305
CTNNB1	UGR	304
CBX2	CBX2	303
PGD2	CBX2	302
NR0B1	GATA4	301
WT1mKTS	WNT4	300
WNT4	DKK1	299
WNT4	DMRT1	298
DKK1	SOX9	297
DKK1	NR5A1	296
RSPO1	NR5A1	295
WT1mKTS	CBX2	294
PGD2	NR0B1	293
SRY	SOX9	292
DMRT1	RSPO1	291
NR0B1	AMH	290
DMRT1	WT1mKTS	289
DKK1	RSPO1	288
WNT4	NR5A1	287
CTNNB1	SRY	286
UGR	WNT4	285
GATA4	CTNNB1	284
WNT4	CBX2	283
CBX2	NR0B1	282
PGD2	WT1mKTS	281
NR5A1	UGR	280
SRY	CBX2	279
WT1pKTS	GATA4	278
CBX2	WNT4	277
DKK1	SRY	276
PGD2	SOX9	275
CBX2	DKK1	274
CBX2	DMRT1	273
AMH	SOX9	272
FOXL2	FGF9	271
SRY	NR0B1	270
DHH	SOX9	269
CBX2	UGR	268
NR5A1	PGD2	267
RSPO1	UGR	266
CBX2	CTNNB1	265
NR5A1	CTNNB1	264
CTNNB1	NR5A1	263
PGD2	PGD2	262
SOX9	NR0B1	261
FOXL2	RSPO1	260
FOXL2	SOX9	259
UGR	SRY	258
NR0B1	WNT4	257
WT1mKTS	AMH	256
DHH	CBX2	255
FOXL2	AMH	254
UGR	CBX2	253
DHH	DKK1	252
NR0B1	CBX2	251
DKK1	WT1pKTS	250
DKK1	GATA4	249
DMRT1	FGF9	248
WT1pKTS	UGR	247
DMRT1	SOX9	246
FGF9	UGR	245
FGF9	SOX9	244
NR5A1	DHH	243
RSPO1	WNT4	242
GATA4	UGR	241
SOX9	DKK1	240
DMRT1	NR5A1	239
DHH	WT1pKTS	238
DHH	WT1mKTS	237
FOXL2	UGR	236
RSPO1	DKK1	235
CTNNB1	WNT4	234
NR5A1	DMRT1	233
RSPO1	SRY	232
SOX9	WT1pKTS	231
FOXL2	WT1mKTS	230
GATA4	RSPO1	229
AMH	WT1pKTS	228
NR0B1	DMRT1	227
CBX2	NR5A1	226
PGD2	DHH	225
GATA4	WT1mKTS	224
FOXL2	NR5A1	223
CTNNB1	WT1pKTS	222
AMH	SRY	221
RSPO1	DMRT1	220
GATA4	NR5A1	219
NR5A1	GATA4	218
FOXL2	SRY	217
SOX9	DMRT1	216
WT1mKTS	UGR	215
PGD2	DKK1	214
FGF9	CBX2	213
FGF9	WT1mKTS	212
PGD2	GATA4	211
UGR	GATA4	210
CTNNB1	DMRT1	209
DKK1	WNT4	208
CTNNB1	CTNNB1	207
FGF9	GATA4	206
NR0B1	NR5A1	205
DKK1	PGD2	204
GATA4	GATA4	203
GATA4	WT1pKTS	202
WT1pKTS	WNT4	201
CTNNB1	DKK1	200
NR5A1	DKK1	199
