Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	360
SOX9	WNT4	360
NR5A1	FOXL2	359
WT1pKTS	RSPO1	359
SOX9	RSPO1	358
SRY	UGR	358
AMH	AMH	357
WNT4	SRY	357
FOXL2	FOXL2	356
NR0B1	WT1mKTS	356
CTNNB1	CBX2	355
NR0B1	SRY	355
DHH	DHH	354
FOXL2	NR5A1	354
UGR	UGR	353
WNT4	CTNNB1	353
PGD2	WNT4	352
DHH	WNT4	351
SRY	NR5A1	351
FGF9	FGF9	350
DMRT1	WT1pKTS	350
GATA4	FOXL2	349
FGF9	WNT4	349
PGD2	NR5A1	348
WT1mKTS	WT1pKTS	348
FOXL2	SRY	347
RSPO1	CTNNB1	347
AMH	WNT4	346
UGR	RSPO1	345
RSPO1	CBX2	345
SRY	SRY	344
RSPO1	FOXL2	344
GATA4	NR0B1	343
CBX2	RSPO1	343
DHH	SRY	342
RSPO1	SOX9	342
NR0B1	FOXL2	341
WNT4	SOX9	341
CTNNB1	NR0B1	340
GATA4	WNT4	340
DKK1	DKK1	339
DKK1	WT1pKTS	339
CBX2	CTNNB1	338
SRY	CTNNB1	338
WT1mKTS	WT1mKTS	337
FOXL2	CTNNB1	337
PGD2	SRY	336
WT1pKTS	GATA4	336
RSPO1	NR5A1	335
SOX9	FGF9	335
DMRT1	SRY	334
WNT4	RSPO1	333
NR5A1	WT1mKTS	333
NR5A1	WNT4	332
DKK1	WT1mKTS	332
NR5A1	WT1pKTS	331
CTNNB1	RSPO1	331
PGD2	WT1mKTS	330
DHH	NR5A1	330
CTNNB1	NR5A1	329
UGR	NR0B1	328
AMH	NR5A1	327
WT1mKTS	WNT4	327
DHH	WT1mKTS	326
DMRT1	DMRT1	326
DHH	WT1pKTS	325
NR0B1	SOX9	325
WT1pKTS	NR5A1	324
SOX9	SRY	323
FOXL2	WT1pKTS	322
AMH	CBX2	321
WT1pKTS	NR0B1	320
CTNNB1	WT1mKTS	320
UGR	CTNNB1	319
SRY	WT1pKTS	318
GATA4	SRY	317
WNT4	WT1mKTS	316
GATA4	WT1pKTS	316
DHH	GATA4	315
NR0B1	GATA4	314
CTNNB1	FOXL2	314
FGF9	NR5A1	313
WNT4	NR0B1	313
AMH	WT1mKTS	312
PGD2	CBX2	312
FGF9	WT1mKTS	311
SRY	RSPO1	311
WT1mKTS	GATA4	310
NR5A1	RSPO1	309
NR5A1	CTNNB1	309
WNT4	FOXL2	308
AMH	FGF9	307
CBX2	SRY	307
WT1mKTS	RSPO1	306
UGR	WT1mKTS	305
DMRT1	NR0B1	305
FOXL2	GATA4	304
CBX2	WT1pKTS	304
DKK1	SRY	303
AMH	SRY	301
SOX9	CBX2	301
SOX9	FOXL2	300
DMRT1	RSPO1	300
DKK1	FOXL2	299
CTNNB1	UGR	298
GATA4	RSPO1	297
FOXL2	WT1mKTS	297
SRY	CBX2	296
CTNNB1	WNT4	295
DKK1	SOX9	295
DKK1	RSPO1	294
DKK1	CBX2	294
NR5A1	CBX2	293
SOX9	WT1pKTS	292
GATA4	UGR	291
DKK1	CTNNB1	290
NR5A1	UGR	290
NR0B1	NR0B1	289
