Gene1	Gene2	EdgeWeight
CBX2	UGR	1.9967964447233773
UGR	CBX2	1.9967964447233773
WT1mKTS	GATA4	1.9733742563117955
GATA4	WT1mKTS	1.9733742563117955
WT1pKTS	FOXL2	1.9388587219890083
FOXL2	WT1pKTS	1.9388587219890083
DMRT1	DKK1	1.9359048747249847
DKK1	DMRT1	1.9359048747249847
RSPO1	CTNNB1	1.901646529756547
CTNNB1	RSPO1	1.901646529756547
SRY	DKK1	1.876888223047922
DKK1	SRY	1.876888223047922
RSPO1	NR5A1	1.869598861788368
NR5A1	RSPO1	1.869598861788368
DMRT1	SRY	1.8684247466439816
SRY	DMRT1	1.8684247466439816
WNT4	NR0B1	1.8673439779411545
NR0B1	WNT4	1.8673439779411545
NR5A1	FOXL2	1.8637430668668795
FOXL2	NR5A1	1.8637430668668795
RSPO1	WNT4	1.8631092552667543
WNT4	RSPO1	1.8631092552667543
DHH	AMH	1.8579630974108048
AMH	DHH	1.8579630974108048
FGF9	DHH	1.8578560251218712
DHH	FGF9	1.8578560251218712
FGF9	AMH	1.8538412242614943
AMH	FGF9	1.8538412242614943
DHH	PGD2	1.8497559746822103
PGD2	DHH	1.8497559746822103
FGF9	PGD2	1.8458667827621884
PGD2	FGF9	1.8458667827621884
PGD2	AMH	1.8428303852026582
AMH	PGD2	1.8428303852026582
NR5A1	WT1pKTS	1.8332929017763937
WT1pKTS	NR5A1	1.8332929017763937
CTNNB1	FOXL2	1.8330794323597093
FOXL2	CTNNB1	1.8330794323597093
CTNNB1	WNT4	1.7921422448777444
WNT4	CTNNB1	1.7921422448777444
RSPO1	FOXL2	1.7854712627581553
FOXL2	RSPO1	1.7854712627581553
CTNNB1	NR5A1	1.7753796160361597
NR5A1	CTNNB1	1.7753796160361597
DKK1	SOX9	1.7568281374432475
SOX9	DKK1	1.7568281374432475
DMRT1	SOX9	1.7539634827013724
SOX9	DMRT1	1.7539634827013724
RSPO1	NR0B1	1.7523901705333491
NR0B1	RSPO1	1.7523901705333491
CTNNB1	WT1pKTS	1.733476743805786
WT1pKTS	CTNNB1	1.733476743805786
SRY	WT1pKTS	1.7004217775416208
WT1pKTS	SRY	1.7004217775416208
DHH	SOX9	1.6961921782471587
SOX9	DHH	1.6961921782471587
PGD2	SOX9	1.6953725464960026
SOX9	PGD2	1.6953725464960026
WT1mKTS	WT1pKTS	1.6918229945673178
WT1pKTS	WT1mKTS	1.6918229945673178
FGF9	SOX9	1.687050691887489
SOX9	FGF9	1.687050691887489
UGR	GATA4	1.6837422476698307
GATA4	UGR	1.6837422476698307
AMH	SOX9	1.6743417863923096
SOX9	AMH	1.6743417863923096
RSPO1	WT1pKTS	1.6500242058216832
WT1pKTS	RSPO1	1.6500242058216832
SRY	SOX9	1.618585483285922
SOX9	SRY	1.618585483285922
CTNNB1	NR0B1	1.6145262610742437
NR0B1	CTNNB1	1.6145262610742437
NR0B1	NR5A1	1.5766418016007968
NR5A1	NR0B1	1.5766418016007968
WT1mKTS	CBX2	1.5729992318822956
CBX2	WT1mKTS	1.5729992318822956
WT1mKTS	UGR	1.534940562822965
UGR	WT1mKTS	1.534940562822965
SRY	FOXL2	1.5130264446715098
FOXL2	SRY	1.5130264446715098
WNT4	FOXL2	1.473560284550508
FOXL2	WNT4	1.473560284550508
WT1pKTS	GATA4	1.4639555881322897
GATA4	WT1pKTS	1.4639555881322897
PGD2	DKK1	1.4636627078874231
DKK1	PGD2	1.4636627078874231
CBX2	GATA4	1.4581728027931598
GATA4	CBX2	1.4581728027931598
DMRT1	FGF9	1.4530465428590245
FGF9	DMRT1	1.4530465428590245
DMRT1	DHH	1.4507408661082757
DHH	DMRT1	1.4507408661082757
AMH	NR0B1	1.4430890574650406
NR0B1	AMH	1.4430890574650406
DKK1	AMH	1.4421983448714233
AMH	DKK1	1.4421983448714233
DHH	DKK1	1.4392894522479946
DKK1	DHH	1.4392894522479946
DMRT1	PGD2	1.4387734282111264
PGD2	DMRT1	1.4387734282111264
FGF9	DKK1	1.432525685699588
DKK1	FGF9	1.432525685699588
DMRT1	AMH	1.4211327540638132
AMH	DMRT1	1.4211327540638132
FGF9	NR0B1	1.4022327842116962
NR0B1	FGF9	1.4022327842116962
DHH	NR0B1	1.393258879193514
NR0B1	DHH	1.393258879193514
CTNNB1	SRY	1.3603545496809222
SRY	CTNNB1	1.3603545496809222
PGD2	NR0B1	1.3581829249615869
NR0B1	PGD2	1.3581829249615869
DMRT1	CTNNB1	1.3465430557553122
CTNNB1	DMRT1	1.3465430557553122
CTNNB1	DKK1	1.3450789764451276
DKK1	CTNNB1	1.3450789764451276
WNT4	SOX9	1.3365376427113698
SOX9	WNT4	1.3365376427113698
WNT4	NR5A1	1.3019835862765323
NR5A1	WNT4	1.3019835862765323
CBX2	NR5A1	1.287126911625406
NR5A1	CBX2	1.287126911625406
NR0B1	UGR	1.2787171814692626
UGR	NR0B1	1.2787171814692626
NR5A1	GATA4	1.2579688074033877
GATA4	NR5A1	1.2579688074033877
NR0B1	FOXL2	1.2192355920800395
FOXL2	NR0B1	1.2192355920800395
DMRT1	WT1pKTS	1.2077503856676914
WT1pKTS	DMRT1	1.2077503856676914
NR0B1	GATA4	1.2035927460624611
GATA4	NR0B1	1.2035927460624611
FGF9	SRY	1.2008949555166664
SRY	FGF9	1.2008949555166664
DHH	SRY	1.2006705797155504
SRY	DHH	1.2006705797155504
PGD2	SRY	1.1995543777838529
SRY	PGD2	1.1995543777838529
DKK1	WT1pKTS	1.199239249354487
WT1pKTS	DKK1	1.199239249354487
SRY	AMH	1.1856480960150018
AMH	SRY	1.1856480960150018
RSPO1	CBX2	1.1577776705353355
CBX2	RSPO1	1.1577776705353355
DMRT1	FOXL2	1.1517795075753074
FOXL2	DMRT1	1.1517795075753074
CBX2	FOXL2	1.1339996895653512
FOXL2	CBX2	1.1339996895653512
FGF9	WNT4	1.1240953101146007
WNT4	FGF9	1.1240953101146007
DHH	WNT4	1.1208845381100363
WNT4	DHH	1.1208845381100363
WT1mKTS	NR5A1	1.1161939528512799
NR5A1	WT1mKTS	1.1161939528512799
WNT4	AMH	1.1104111314970382
AMH	WNT4	1.1104111314970382
PGD2	WNT4	1.108695538698122
WNT4	PGD2	1.108695538698122
CTNNB1	CBX2	1.0934190336917444
CBX2	CTNNB1	1.0934190336917444
NR5A1	SOX9	1.0756876601570604
SOX9	NR5A1	1.0756876601570604
RSPO1	UGR	1.074405041783454
UGR	RSPO1	1.074405041783454
WNT4	WT1pKTS	1.0723157538135608
WT1pKTS	WNT4	1.0723157538135608
DKK1	FOXL2	1.0553525757692208
FOXL2	DKK1	1.0553525757692208
DMRT1	WNT4	1.0150291381867738
WNT4	DMRT1	1.0150291381867738
RSPO1	SOX9	1.0140745061394862
SOX9	RSPO1	1.0140745061394862
CBX2	WT1pKTS	0.9850357880792072
WT1pKTS	CBX2	0.9850357880792072
SRY	NR5A1	0.9797019532222055
NR5A1	SRY	0.9797019532222055
WT1mKTS	NR0B1	0.9452945557278454
NR0B1	WT1mKTS	0.9452945557278454
NR0B1	WT1pKTS	0.9125659876736648
WT1pKTS	NR0B1	0.9125659876736648
DKK1	WNT4	0.906232193278302
WNT4	DKK1	0.906232193278302
CTNNB1	SOX9	0.8849879728975559
SOX9	CTNNB1	0.8849879728975559
CTNNB1	UGR	0.8798699582568645
UGR	CTNNB1	0.8798699582568645
NR5A1	UGR	0.8785349908161041
UGR	NR5A1	0.8785349908161041
WT1pKTS	UGR	0.8699004590782081
UGR	WT1pKTS	0.8699004590782081
WNT4	UGR	0.8627525617089551
UGR	WNT4	0.8627525617089551
SRY	UGR	0.8131483609676226
UGR	SRY	0.8131483609676226
RSPO1	SRY	0.7969354694718072
SRY	RSPO1	0.7969354694718072
PGD2	NR5A1	0.7789597322768902
NR5A1	PGD2	0.7789597322768902
FGF9	NR5A1	0.7678932728547447
NR5A1	FGF9	0.7678932728547447
DHH	NR5A1	0.7565682131412959
NR5A1	DHH	0.7565682131412959
RSPO1	PGD2	0.7437429519776968
PGD2	RSPO1	0.7437429519776968
FGF9	RSPO1	0.7434684714747457
RSPO1	FGF9	0.7434684714747457
AMH	NR5A1	0.7373859259421109
NR5A1	AMH	0.7373859259421109
DMRT1	CBX2	0.7359433568877691
CBX2	DMRT1	0.7359433568877691
FOXL2	UGR	0.7103598857398137
UGR	FOXL2	0.7103598857398137
WT1pKTS	SOX9	0.7052142760051976
SOX9	WT1pKTS	0.7052142760051976
DKK1	CBX2	0.6924475518945838
CBX2	DKK1	0.6924475518945838
FOXL2	SOX9	0.6886835723612807
SOX9	FOXL2	0.6886835723612807
RSPO1	DHH	0.6741883525244353
DHH	RSPO1	0.6741883525244353
RSPO1	AMH	0.6701899458960794
AMH	RSPO1	0.6701899458960794
SRY	WNT4	0.6193182228419098
WNT4	SRY	0.6193182228419098
NR0B1	SOX9	0.6014916117844367
SOX9	NR0B1	0.6014916117844367
WNT4	GATA4	0.5847106560744061
GATA4	WNT4	0.5847106560744061
CTNNB1	PGD2	0.5580631634084382
PGD2	CTNNB1	0.5580631634084382
FGF9	CTNNB1	0.5314319214618861
CTNNB1	FGF9	0.5314319214618861
CBX2	NR0B1	0.5279088370362083
NR0B1	CBX2	0.5279088370362083
CTNNB1	AMH	0.5219087226299205
AMH	CTNNB1	0.5219087226299205
DHH	CTNNB1	0.5180199150692646
CTNNB1	DHH	0.5180199150692646
DMRT1	UGR	0.5046326711126671
UGR	DMRT1	0.5046326711126671
DMRT1	RSPO1	0.4898473427696553
RSPO1	DMRT1	0.4898473427696553
RSPO1	DKK1	0.4807548173270789
DKK1	RSPO1	0.4807548173270789
FGF9	FOXL2	0.4699315913307812
FOXL2	FGF9	0.4699315913307812
CTNNB1	GATA4	0.4698544363125094
GATA4	CTNNB1	0.4698544363125094
PGD2	WT1pKTS	0.4543744997395509
WT1pKTS	PGD2	0.4543744997395509
DMRT1	WT1mKTS	0.4476376445326871
WT1mKTS	DMRT1	0.4476376445326871
FOXL2	GATA4	0.4422610069817248
GATA4	FOXL2	0.4422610069817248
DKK1	UGR	0.4315646284203069
UGR	DKK1	0.4315646284203069
PGD2	FOXL2	0.4273013075561121
FOXL2	PGD2	0.4273013075561121
RSPO1	GATA4	0.4185692826973235
GATA4	RSPO1	0.4185692826973235
DHH	FOXL2	0.4148382815847026
FOXL2	DHH	0.4148382815847026
WT1mKTS	WNT4	0.4000319593637389
WNT4	WT1mKTS	0.4000319593637389
AMH	FOXL2	0.3850039246412153
FOXL2	AMH	0.3850039246412153
WT1mKTS	DKK1	0.3799265084663378
DKK1	WT1mKTS	0.3799265084663378
DHH	GATA4	0.3759322876934645
GATA4	DHH	0.3759322876934645
DHH	WT1pKTS	0.3736741630850707
WT1pKTS	DHH	0.3736741630850707
DHH	CBX2	0.3568730323941402
CBX2	DHH	0.3568730323941402
FGF9	WT1pKTS	0.3489585420818882
WT1pKTS	FGF9	0.3489585420818882
UGR	SOX9	0.34554764392324233
SOX9	UGR	0.34554764392324233
CBX2	SOX9	0.3336980683240623
SOX9	CBX2	0.3336980683240623
RSPO1	WT1mKTS	0.3331207794165492
WT1mKTS	RSPO1	0.3331207794165492
WT1mKTS	SRY	0.3299634203033117
SRY	WT1mKTS	0.3299634203033117
WT1mKTS	AMH	0.3247567791872605
AMH	WT1mKTS	0.3247567791872605
WNT4	CBX2	0.3137308746698351
CBX2	WNT4	0.3137308746698351
CTNNB1	WT1mKTS	0.30925141347570645
WT1mKTS	CTNNB1	0.30925141347570645
DKK1	GATA4	0.3068657070350259
GATA4	DKK1	0.3068657070350259
AMH	WT1pKTS	0.2986872405816117
WT1pKTS	AMH	0.2986872405816117
SRY	CBX2	0.2852880828136071
CBX2	SRY	0.2852880828136071
FGF9	GATA4	0.2846156204579581
GATA4	FGF9	0.2846156204579581
AMH	UGR	0.2839344075847193
UGR	AMH	0.2839344075847193
FGF9	CBX2	0.2835015919567986
CBX2	FGF9	0.2835015919567986
PGD2	CBX2	0.2707917694770339
CBX2	PGD2	0.2707917694770339
WT1mKTS	FOXL2	0.2683913785457908
FOXL2	WT1mKTS	0.2683913785457908
SRY	GATA4	0.26599423305765835
GATA4	SRY	0.26599423305765835
DMRT1	NR5A1	0.2580743175132606
NR5A1	DMRT1	0.2580743175132606
DMRT1	GATA4	0.25377862125762896
GATA4	DMRT1	0.25377862125762896
CBX2	AMH	0.2359908914882241
AMH	CBX2	0.2359908914882241
PGD2	WT1mKTS	0.23492992307386115
WT1mKTS	PGD2	0.23492992307386115
DHH	WT1mKTS	0.2218775916390848
WT1mKTS	DHH	0.2218775916390848
SOX9	GATA4	0.21842878667106874
GATA4	SOX9	0.21842878667106874
FGF9	WT1mKTS	0.21729639674919954
WT1mKTS	FGF9	0.21729639674919954
DKK1	NR5A1	0.20457915995493675
NR5A1	DKK1	0.20457915995493675
PGD2	UGR	0.20445257808557527
UGR	PGD2	0.20445257808557527
SRY	NR0B1	0.19126827260978907
NR0B1	SRY	0.19126827260978907
FGF9	UGR	0.16904032295016722
UGR	FGF9	0.16904032295016722
WT1mKTS	SOX9	0.16042088738014634
SOX9	WT1mKTS	0.16042088738014634
AMH	GATA4	0.15229336916333658
GATA4	AMH	0.15229336916333658
DKK1	NR0B1	0.15014445427944872
NR0B1	DKK1	0.15014445427944872
DMRT1	NR0B1	0.1474951321464703
NR0B1	DMRT1	0.1474951321464703
PGD2	GATA4	0.1343186522960278
GATA4	PGD2	0.1343186522960278
DHH	UGR	0.13276542670156738
UGR	DHH	0.13276542670156738
