Gene1	Gene2	EdgeWeight
FOXL2	WT1pKTS	209.12587145540246
DMRT1	DKK1	189.27213737695863
SRY	DKK1	176.8366970215541
UGR	CBX2	151.62983988904878
DMRT1	SRY	148.03005243532425
AMH	PGD2	146.38042237089869
CBX2	UGR	142.69494383042806
WT1pKTS	FOXL2	142.46383267499448
DKK1	DMRT1	141.17285654814603
RSPO1	NR5A1	120.46724993433328
SRY	WT1pKTS	120.41074911318668
CTNNB1	FOXL2	119.9235046462591
FGF9	PGD2	114.93289186052051
NR0B1	UGR	112.02511034942033
AMH	FGF9	110.80495784824518
NR0B1	WNT4	110.7373997846332
NR5A1	WT1pKTS	106.62169771717927
PGD2	DHH	105.866727412381
GATA4	WT1mKTS	103.92777379003465
CTNNB1	RSPO1	102.33383893429749
WT1pKTS	CTNNB1	102.30929546315994
RSPO1	CTNNB1	101.8805893187104
PGD2	AMH	100.21068860950656
DKK1	SRY	98.89484989203733
RSPO1	WNT4	92.6903642331732
FGF9	AMH	91.30150848085695
WNT4	RSPO1	90.40749208548522
NR5A1	RSPO1	90.31317390871595
DHH	AMH	89.47007533469568
WT1pKTS	NR5A1	86.87868067299341
DHH	PGD2	86.1545844769559
FGF9	DHH	85.33811048299366
FOXL2	NR5A1	85.07936885074645
SOX9	DKK1	84.5830636388033
SRY	DMRT1	82.82962119595781
NR5A1	FOXL2	81.17256766034784
NR0B1	AMH	80.72695121700578
SOX9	AMH	79.7098864693023
CTNNB1	WT1pKTS	79.45284399125867
RSPO1	UGR	78.59346863278327
RSPO1	WT1pKTS	77.85511253510684
NR0B1	RSPO1	77.69638256966711
WT1mKTS	GATA4	77.0620618876865
SOX9	FGF9	76.88027471011533
DMRT1	PGD2	76.33981926839863
NR0B1	NR5A1	76.16200074514933
CTNNB1	WNT4	75.53985140574503
AMH	DHH	74.94801914994146
PGD2	FGF9	73.92614065929425
FOXL2	RSPO1	71.89722669474115
NR5A1	CBX2	69.21888267119472
SOX9	SRY	69.1750607926638
SOX9	DHH	68.98895868933258
DHH	FGF9	68.73108824597598
SRY	FOXL2	68.43553350921975
SOX9	DMRT1	68.37652788727581
RSPO1	NR0B1	66.30570546790214
NR0B1	DHH	65.99262113522992
PGD2	NR0B1	65.73212900686157
PGD2	DKK1	65.2816933801311
DMRT1	WT1pKTS	64.04399981372872
WT1pKTS	DKK1	63.70155345096354
DHH	NR5A1	61.77977599765708
WNT4	NR0B1	61.72372098215344
WT1pKTS	SRY	61.345073525967045
UGR	RSPO1	60.96395323186135
SRY	NR5A1	60.89444134994254
DHH	SOX9	60.31746414840364
CTNNB1	SRY	59.415740156111596
DMRT1	UGR	59.132431860612925
SRY	CTNNB1	58.31836527871806
FOXL2	CTNNB1	57.84000385615271
RSPO1	FOXL2	57.43132778458047
FGF9	SOX9	57.32644105729664
UGR	NR0B1	56.891498328412965
NR0B1	FGF9	56.801765366802606
SOX9	NR5A1	55.38336775729255
DKK1	PGD2	54.88658658674285
WNT4	CTNNB1	54.731007123962115
WT1pKTS	RSPO1	54.68233847556881
CTNNB1	NR0B1	54.41568805743699
DKK1	CTNNB1	52.938598443871186
WNT4	UGR	52.717863220521366
FGF9	DKK1	52.55641273615127
RSPO1	CBX2	52.4476067921436
CBX2	NR5A1	52.33327454805985
DMRT1	CBX2	52.12757362859829
AMH	NR0B1	51.74932832682571
SRY	UGR	51.2219561143537
PGD2	WNT4	50.34757482201641
CTNNB1	UGR	49.58992650005664
NR0B1	GATA4	49.544939326188434
DHH	NR0B1	49.47388962567405
NR5A1	WNT4	49.473786618739176
NR5A1	NR0B1	49.32691917366875
AMH	DMRT1	48.76805820593689
WNT4	DKK1	48.58306264607179
CTNNB1	NR5A1	48.50126930369272
UGR	GATA4	48.41019722957866
FOXL2	WNT4	48.30690165412239
NR5A1	CTNNB1	48.296096623495295
FGF9	DMRT1	48.11429177831157
DKK1	CBX2	47.940587861440996
CTNNB1	DKK1	47.58246888609344
DMRT1	AMH	46.74662988084499
CTNNB1	DMRT1	46.73596557823494
DHH	DMRT1	46.549720293138904
DKK1	SOX9	46.09203538798934
FOXL2	DMRT1	45.87814656685606
NR0B1	PGD2	45.58958406627613
WNT4	NR5A1	45.16183367515894
DMRT1	SOX9	44.89604798833579
UGR	WNT4	44.21888461780193
WT1pKTS	CBX2	43.71370352983564
CTNNB1	CBX2	43.60504506684365
DKK1	DHH	43.27377102767279
DMRT1	NR5A1	42.77508312097232
DMRT1	WNT4	42.760028148163684
NR5A1	PGD2	42.62395722114713
SRY	SOX9	42.127181330714436
SOX9	NR0B1	41.945699812148355
FGF9	WNT4	41.77629211210573
SOX9	CBX2	41.6499319085138
NR5A1	UGR	41.551078066075924
WNT4	FGF9	41.54636737099897
WT1pKTS	WNT4	41.20400363756301
FGF9	NR0B1	40.93399311503277
WNT4	WT1pKTS	40.795978726630736
NR5A1	SRY	40.59365741663047
DHH	SRY	40.59146099074757
CBX2	RSPO1	40.512591622566255
DKK1	UGR	40.45753638712779
CBX2	DMRT1	40.09057391906683
PGD2	SRY	40.047730203229044
DKK1	WT1pKTS	39.761998463616436
NR0B1	WT1mKTS	39.40489735313167
WT1pKTS	WT1mKTS	39.28344237705645
FOXL2	NR0B1	38.75945207312249
DKK1	AMH	38.699658321263016
UGR	SRY	38.51881706806874
AMH	DKK1	37.98327693098506
WNT4	SOX9	37.79539780323236
DHH	DKK1	37.42088639190572
FOXL2	CBX2	37.21048155677767
RSPO1	SRY	36.98667889624711
SOX9	PGD2	36.697609001364114
AMH	SOX9	36.66443887575756
PGD2	SOX9	36.172441386113576
UGR	CTNNB1	36.022895831404675
UGR	WT1mKTS	35.89781517869797
CBX2	CTNNB1	35.86616820511023
NR5A1	SOX9	35.833481871742784
SRY	CBX2	35.75292512316281
DMRT1	FGF9	34.884858332559176
SRY	RSPO1	34.542601243319226
WNT4	SRY	34.462481041186855
SRY	FGF9	34.44096315280993
NR0B1	CBX2	34.116137275360416
WNT4	PGD2	33.931347161069425
CBX2	NR0B1	33.85639576841646
SRY	WNT4	33.47093514572113
FOXL2	SRY	33.23694360627571
UGR	NR5A1	33.22090403208179
FOXL2	DKK1	33.101933055252594
GATA4	UGR	32.64328567955051
NR0B1	CTNNB1	32.382088252402944
DKK1	FOXL2	32.313889022740575
WNT4	DHH	32.259319717020134
WT1pKTS	UGR	32.18152383110954
DMRT1	CTNNB1	32.05694118282762
FGF9	SRY	31.45609847711084
DKK1	WNT4	31.358466455357927
WNT4	FOXL2	30.803705394403664
DMRT1	FOXL2	30.78040130942404
RSPO1	DKK1	30.63690289855021
AMH	WNT4	30.624929457534137
CBX2	FOXL2	30.52545248195386
WNT4	WT1mKTS	30.36132534554247
WNT4	DMRT1	29.9816465862063
SOX9	RSPO1	29.82716913331592
WT1pKTS	NR0B1	29.594170459034853
DKK1	RSPO1	29.406383201874682
AMH	SRY	29.073645196240978
SOX9	WNT4	28.85550417568605
PGD2	NR5A1	28.456527421976137
DKK1	FGF9	28.40497992971108
SOX9	UGR	28.376355571544238
FGF9	NR5A1	28.23657633874758
