Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	255.8824667734445
FOXL2	WT1pKTS	204.067590423549
DMRT1	DKK1	194.38119787059784
DKK1	DMRT1	165.8269751695841
CBX2	UGR	159.04523158654825
UGR	CBX2	151.71155288703537
SRY	DMRT1	137.4561198982457
RSPO1	CTNNB1	131.94486192641034
RSPO1	FOXL2	119.11037243566014
PGD2	FGF9	117.77983985460828
NR0B1	UGR	115.88551981441002
CTNNB1	FOXL2	114.98469343650619
NR5A1	FOXL2	112.7069697557528
NR5A1	WT1pKTS	111.9596137656883
RSPO1	NR5A1	110.69893008487057
AMH	DHH	110.42667687088522
NR5A1	CBX2	108.42139048333587
SOX9	FGF9	108.15295418929895
PGD2	DHH	107.83336519346106
FOXL2	CTNNB1	106.17064792742205
FGF9	PGD2	106.12021896801826
AMH	PGD2	103.66677305803492
FGF9	DHH	102.75958663487528
CTNNB1	WNT4	101.16823893794964
RSPO1	WT1pKTS	98.37649559237794
CTNNB1	WT1pKTS	97.24747531737448
CTNNB1	NR5A1	97.24191516918677
DMRT1	SRY	97.18328101440704
SRY	WT1pKTS	96.78702537181688
AMH	FGF9	96.15444399256396
PGD2	AMH	94.62366452857742
DHH	AMH	94.60384795594065
SRY	DKK1	94.14308479541596
WT1pKTS	NR5A1	92.05048243501885
CTNNB1	RSPO1	91.82685889647274
SOX9	DMRT1	90.53786391532465
RSPO1	WNT4	89.00685920511921
NR5A1	RSPO1	87.29178842717708
SOX9	DKK1	85.07122324679206
DHH	PGD2	84.97658875823504
WNT4	UGR	84.13202758850355
SRY	FOXL2	80.2342997297774
NR0B1	AMH	80.10355290586264
FOXL2	NR5A1	79.40467292123361
WNT4	NR0B1	78.43677661310774
WNT4	RSPO1	76.330352449013
DKK1	CBX2	76.31562031305144
DKK1	SRY	76.13437330972472
SOX9	SRY	75.7163582060207
NR0B1	WNT4	73.96498505043544
FGF9	AMH	73.79912287936675
DHH	FGF9	73.70980348295572
FGF9	DMRT1	73.38348204559651
CTNNB1	CBX2	72.63515281471388
DMRT1	WT1pKTS	71.96335149145878
RSPO1	CBX2	71.66046410435398
CBX2	NR5A1	70.54143399097697
SOX9	PGD2	67.80595461097943
WT1pKTS	SRY	67.01704607785034
FGF9	SOX9	65.55198983269634
SOX9	DHH	65.04653330415223
SRY	UGR	64.84019179667422
FGF9	DKK1	64.45971340236588
DKK1	FOXL2	64.24326923758483
FOXL2	RSPO1	63.01627853286429
SOX9	NR5A1	62.364912300386216
SOX9	AMH	61.628044505120364
PGD2	NR0B1	61.40383898332693
WT1pKTS	CBX2	61.2502139146045
NR0B1	RSPO1	60.914857296772595
NR0B1	PGD2	60.79998585317925
