Gene1	Gene2	EdgeWeight
CBX2	UGR	1.9982762354941823
UGR	CBX2	1.9982762354941823
WT1mKTS	GATA4	1.9636719963646008
GATA4	WT1mKTS	1.9636719963646008
WT1pKTS	FOXL2	1.9482191073004107
FOXL2	WT1pKTS	1.9482191073004107
DMRT1	DKK1	1.945584410051593
DKK1	DMRT1	1.945584410051593
RSPO1	CTNNB1	1.9125913074292078
CTNNB1	RSPO1	1.9125913074292078
DMRT1	SRY	1.8875975764796775
SRY	DMRT1	1.8875975764796775
RSPO1	WNT4	1.8853431125003837
WNT4	RSPO1	1.8853431125003837
FGF9	PGD2	1.882038252972705
PGD2	FGF9	1.882038252972705
DHH	PGD2	1.8765969924152317
PGD2	DHH	1.8765969924152317
WNT4	NR0B1	1.8764637671621682
NR0B1	WNT4	1.8764637671621682
PGD2	AMH	1.876307530595114
AMH	PGD2	1.876307530595114
SRY	DKK1	1.873884212967768
DKK1	SRY	1.873884212967768
FGF9	DHH	1.866189787030364
DHH	FGF9	1.866189787030364
FGF9	AMH	1.8654871740980556
AMH	FGF9	1.8654871740980556
DHH	AMH	1.865480868064827
AMH	DHH	1.865480868064827
RSPO1	NR5A1	1.8587953094222045
NR5A1	RSPO1	1.8587953094222045
NR5A1	WT1pKTS	1.857303175186192
WT1pKTS	NR5A1	1.857303175186192
NR5A1	FOXL2	1.851144211417224
FOXL2	NR5A1	1.851144211417224
CTNNB1	FOXL2	1.8431631122298824
FOXL2	CTNNB1	1.8431631122298824
WT1mKTS	CBX2	1.838979286741469
CBX2	WT1mKTS	1.838979286741469
CTNNB1	WNT4	1.8088609995202336
WNT4	CTNNB1	1.8088609995202336
CBX2	GATA4	1.7898638867291217
GATA4	CBX2	1.7898638867291217
RSPO1	NR0B1	1.7797471584511415
NR0B1	RSPO1	1.7797471584511415
RSPO1	FOXL2	1.7766569480255292
FOXL2	RSPO1	1.7766569480255292
UGR	GATA4	1.7669959693096573
GATA4	UGR	1.7669959693096573
CTNNB1	WT1pKTS	1.759895009049094
WT1pKTS	CTNNB1	1.759895009049094
SRY	WT1pKTS	1.7539999070232333
WT1pKTS	SRY	1.7539999070232333
CTNNB1	NR5A1	1.7477158213768431
NR5A1	CTNNB1	1.7477158213768431
DKK1	SOX9	1.7475764404735274
SOX9	DKK1	1.7475764404735274
DMRT1	SOX9	1.7450232056832342
SOX9	DMRT1	1.7450232056832342
PGD2	SOX9	1.7141679175063145
SOX9	PGD2	1.7141679175063145
FGF9	SOX9	1.7076387788131933
SOX9	FGF9	1.7076387788131933
DHH	SOX9	1.6990357490284391
SOX9	DHH	1.6990357490284391
AMH	SOX9	1.697092148749645
SOX9	AMH	1.697092148749645
RSPO1	WT1pKTS	1.6615002499893743
WT1pKTS	RSPO1	1.6615002499893743
NR0B1	NR5A1	1.6413424522496645
NR5A1	NR0B1	1.6413424522496645
CTNNB1	NR0B1	1.5942350007838515
NR0B1	CTNNB1	1.5942350007838515
WT1mKTS	UGR	1.5833293023137789
UGR	WT1mKTS	1.5833293023137789
SRY	SOX9	1.5626062226946014
SOX9	SRY	1.5626062226946014
SRY	FOXL2	1.5536256127161798
FOXL2	SRY	1.5536256127161798
WT1mKTS	WT1pKTS	1.5462155859052518
WT1pKTS	WT1mKTS	1.5462155859052518
WNT4	FOXL2	1.4864712585804942
FOXL2	WNT4	1.4864712585804942
AMH	NR0B1	1.4626369692243295
NR0B1	AMH	1.4626369692243295
PGD2	DKK1	1.457862516121387
DKK1	PGD2	1.457862516121387
DHH	DKK1	1.4452244082364816
DKK1	DHH	1.4452244082364816
DKK1	AMH	1.433001829991681
AMH	DKK1	1.433001829991681
DMRT1	DHH	1.4296280645218007
DHH	DMRT1	1.4296280645218007
FGF9	DKK1	1.400047564050671
DKK1	FGF9	1.400047564050671
DMRT1	AMH	1.3943638523691422
AMH	DMRT1	1.3943638523691422
DMRT1	PGD2	1.3787062671645638
PGD2	DMRT1	1.3787062671645638
PGD2	NR0B1	1.376974193421468
NR0B1	PGD2	1.376974193421468
CTNNB1	SRY	1.3673839849346388
SRY	CTNNB1	1.3673839849346388
DMRT1	FGF9	1.3668101209607273
FGF9	DMRT1	1.3668101209607273
CTNNB1	DKK1	1.3467761611315163
DKK1	CTNNB1	1.3467761611315163
FGF9	NR0B1	1.3439825963367702
NR0B1	FGF9	1.3439825963367702
DHH	NR0B1	1.3435202616266015
NR0B1	DHH	1.3435202616266015
DMRT1	CTNNB1	1.3328440951549343
CTNNB1	DMRT1	1.3328440951549343
WNT4	SOX9	1.3178278694967809
SOX9	WNT4	1.3178278694967809
WT1pKTS	GATA4	1.312082063203824
GATA4	WT1pKTS	1.312082063203824
CBX2	NR5A1	1.2852252271338391
NR5A1	CBX2	1.2852252271338391
DKK1	WT1pKTS	1.2542777181277918
WT1pKTS	DKK1	1.2542777181277918
PGD2	WNT4	1.23606542165295
WNT4	PGD2	1.23606542165295
DMRT1	WT1pKTS	1.2325395809460282
WT1pKTS	DMRT1	1.2325395809460282
WNT4	NR5A1	1.2286206226127256
NR5A1	WNT4	1.2286206226127256
WT1mKTS	NR5A1	1.1987860973686415
NR5A1	WT1mKTS	1.1987860973686415
NR0B1	FOXL2	1.1981423797547854
FOXL2	NR0B1	1.1981423797547854
NR0B1	UGR	1.1905889768561653
UGR	NR0B1	1.1905889768561653
DHH	SRY	1.1607149626028828
SRY	DHH	1.1607149626028828
FGF9	WNT4	1.16000169098544
WNT4	FGF9	1.16000169098544
RSPO1	UGR	1.1442313009150125
UGR	RSPO1	1.1442313009150125
WNT4	AMH	1.1389463624688378
AMH	WNT4	1.1389463624688378
DHH	WNT4	1.1220313099623105
WNT4	DHH	1.1220313099623105
PGD2	SRY	1.1209981070276305
SRY	PGD2	1.1209981070276305
SRY	AMH	1.1209537924477426
AMH	SRY	1.1209537924477426
FGF9	SRY	1.1099508292465057
SRY	FGF9	1.1099508292465057
NR5A1	GATA4	1.1068795046034978
GATA4	NR5A1	1.1068795046034978
DMRT1	FOXL2	1.0677060924762962
FOXL2	DMRT1	1.0677060924762962
DKK1	FOXL2	1.06564198701212
FOXL2	DKK1	1.06564198701212
SRY	NR5A1	1.06359218108511
NR5A1	SRY	1.06359218108511
NR5A1	SOX9	1.0422647757914991
SOX9	NR5A1	1.0422647757914991
CBX2	WT1pKTS	1.039108954468463
WT1pKTS	CBX2	1.039108954468463
DKK1	WNT4	1.007825808247083
WNT4	DKK1	1.007825808247083
RSPO1	SOX9	0.9521761545887892
SOX9	RSPO1	0.9521761545887892
CTNNB1	UGR	0.922922921546646
UGR	CTNNB1	0.922922921546646
DMRT1	WNT4	0.886120747413374
WNT4	DMRT1	0.886120747413374
CTNNB1	CBX2	0.8580422053489334
CBX2	CTNNB1	0.8580422053489334
RSPO1	CBX2	0.8577965086242073
CBX2	RSPO1	0.8577965086242073
SRY	UGR	0.8415414441996638
UGR	SRY	0.8415414441996638
WNT4	WT1pKTS	0.8304434516504188
WT1pKTS	WNT4	0.8304434516504188
CBX2	FOXL2	0.8102262960339787
FOXL2	CBX2	0.8102262960339787
CTNNB1	SOX9	0.7991623038198776
SOX9	CTNNB1	0.7991623038198776
RSPO1	SRY	0.790690918320987
SRY	RSPO1	0.790690918320987
DKK1	CBX2	0.7589706948465945
CBX2	DKK1	0.7589706948465945
AMH	NR5A1	0.7502186008446585
NR5A1	AMH	0.7502186008446585
DMRT1	CBX2	0.7341144327817672
CBX2	DMRT1	0.7341144327817672
DHH	NR5A1	0.7279135031460381
NR5A1	DHH	0.7279135031460381
NR0B1	WT1pKTS	0.7251611302064982
WT1pKTS	NR0B1	0.7251611302064982
NR5A1	UGR	0.7250710886203231
UGR	NR5A1	0.7250710886203231
PGD2	NR5A1	0.7203065887351034
NR5A1	PGD2	0.7203065887351034
FGF9	NR5A1	0.7113935582669813
NR5A1	FGF9	0.7113935582669813
WT1pKTS	SOX9	0.7048948735816128
SOX9	WT1pKTS	0.7048948735816128
RSPO1	DHH	0.6899978371194884
DHH	RSPO1	0.6899978371194884
SRY	WNT4	0.6837021825367173
WNT4	SRY	0.6837021825367173
NR0B1	GATA4	0.6805077655946207
GATA4	NR0B1	0.6805077655946207
NR0B1	SOX9	0.6770240259393234
SOX9	NR0B1	0.6770240259393234
FOXL2	SOX9	0.6739968358611849
SOX9	FOXL2	0.6739968358611849
WT1mKTS	NR0B1	0.6550338739658437
NR0B1	WT1mKTS	0.6550338739658437
FGF9	RSPO1	0.649602437589963
RSPO1	FGF9	0.649602437589963
RSPO1	AMH	0.6408181495193566
AMH	RSPO1	0.6408181495193566
WNT4	UGR	0.6184999722220534
UGR	WNT4	0.6184999722220534
RSPO1	PGD2	0.6158464966534152
PGD2	RSPO1	0.6158464966534152
WT1pKTS	UGR	0.5898845562345063
UGR	WT1pKTS	0.5898845562345063
SRY	CBX2	0.572821994852901
CBX2	SRY	0.572821994852901
FOXL2	UGR	0.5595790222974503
UGR	FOXL2	0.5595790222974503
DHH	FOXL2	0.5203011787260546
FOXL2	DHH	0.5203011787260546
FOXL2	GATA4	0.5201443772988911
GATA4	FOXL2	0.5201443772988911
DMRT1	UGR	0.5184861488016066
UGR	DMRT1	0.5184861488016066
DHH	CTNNB1	0.5030316651128187
CTNNB1	DHH	0.5030316651128187
WT1mKTS	WNT4	0.5015164530033279
WNT4	WT1mKTS	0.5015164530033279
DKK1	UGR	0.4961163411329437
UGR	DKK1	0.4961163411329437
RSPO1	DKK1	0.4871501204524353
DKK1	RSPO1	0.4871501204524353
CTNNB1	GATA4	0.4835743149908272
GATA4	CTNNB1	0.4835743149908272
AMH	FOXL2	0.482858457094706
FOXL2	AMH	0.482858457094706
FGF9	CTNNB1	0.4803335549276175
CTNNB1	FGF9	0.4803335549276175
CTNNB1	AMH	0.4747093801854756
AMH	CTNNB1	0.4747093801854756
FGF9	FOXL2	0.473894999580903
FOXL2	FGF9	0.473894999580903
CTNNB1	PGD2	0.468315141114404
PGD2	CTNNB1	0.468315141114404
CBX2	NR0B1	0.4540265099775908
NR0B1	CBX2	0.4540265099775908
DMRT1	WT1mKTS	0.44591145835865603
WT1mKTS	DMRT1	0.44591145835865603
PGD2	FOXL2	0.4246229573184549
FOXL2	PGD2	0.4246229573184549
CTNNB1	WT1mKTS	0.4241214098807221
WT1mKTS	CTNNB1	0.4241214098807221
RSPO1	GATA4	0.42130126034544013
GATA4	RSPO1	0.42130126034544013
PGD2	UGR	0.40533450122806497
UGR	PGD2	0.40533450122806497
DMRT1	RSPO1	0.4045538846989736
RSPO1	DMRT1	0.4045538846989736
WNT4	CBX2	0.3813066591106629
CBX2	WNT4	0.3813066591106629
PGD2	CBX2	0.3750014345913486
CBX2	PGD2	0.3750014345913486
PGD2	WT1mKTS	0.3740222438838152
WT1mKTS	PGD2	0.3740222438838152
DHH	CBX2	0.36749038938021505
CBX2	DHH	0.36749038938021505
DKK1	GATA4	0.3660667751329717
GATA4	DKK1	0.3660667751329717
SRY	NR0B1	0.3654076556915716
NR0B1	SRY	0.3654076556915716
AMH	GATA4	0.3625599955679098
GATA4	AMH	0.3625599955679098
CBX2	SOX9	0.3557085137328194
SOX9	CBX2	0.3557085137328194
WNT4	GATA4	0.3524095510840899
GATA4	WNT4	0.3524095510840899
PGD2	GATA4	0.3506546069618346
GATA4	PGD2	0.3506546069618346
FGF9	WT1pKTS	0.3396978642450681
WT1pKTS	FGF9	0.3396978642450681
DHH	WT1pKTS	0.33583839365122103
WT1pKTS	DHH	0.33583839365122103
RSPO1	WT1mKTS	0.33048028273518393
WT1mKTS	RSPO1	0.33048028273518393
DHH	UGR	0.32485378060419523
UGR	DHH	0.32485378060419523
WT1mKTS	SRY	0.3237752107839358
SRY	WT1mKTS	0.3237752107839358
UGR	SOX9	0.3233847287807612
SOX9	UGR	0.3233847287807612
PGD2	WT1pKTS	0.31335183724284954
WT1pKTS	PGD2	0.31335183724284954
FGF9	CBX2	0.31197520740116125
CBX2	FGF9	0.31197520740116125
CBX2	AMH	0.3108315936341025
AMH	CBX2	0.3108315936341025
AMH	WT1pKTS	0.3039224639881392
WT1pKTS	AMH	0.3039224639881392
SOX9	GATA4	0.26568202072255465
GATA4	SOX9	0.26568202072255465
WT1mKTS	FOXL2	0.2554217875222766
FOXL2	WT1mKTS	0.2554217875222766
FGF9	GATA4	0.2407473192943608
GATA4	FGF9	0.2407473192943608
SRY	GATA4	0.23636700229128754
GATA4	SRY	0.23636700229128754
DHH	WT1mKTS	0.2316509905356109
WT1mKTS	DHH	0.2316509905356109
FGF9	UGR	0.22826969054395435
UGR	FGF9	0.22826969054395435
DMRT1	NR5A1	0.2229377646620863
NR5A1	DMRT1	0.2229377646620863
DMRT1	GATA4	0.21862837534532176
GATA4	DMRT1	0.21862837534532176
WT1mKTS	SOX9	0.21400942898714506
SOX9	WT1mKTS	0.21400942898714506
DKK1	NR0B1	0.2102665865409572
NR0B1	DKK1	0.2102665865409572
DKK1	NR5A1	0.20903771839997773
NR5A1	DKK1	0.20903771839997773
FGF9	WT1mKTS	0.2082154114420699
WT1mKTS	FGF9	0.2082154114420699
AMH	UGR	0.2035753228487933
UGR	AMH	0.2035753228487933
DHH	GATA4	0.1940256384121027
GATA4	DHH	0.1940256384121027
WT1mKTS	DKK1	0.18594156057942
DKK1	WT1mKTS	0.18594156057942
WT1mKTS	AMH	0.16865494132661354
AMH	WT1mKTS	0.16865494132661354
DMRT1	NR0B1	0.14796619919974308
NR0B1	DMRT1	0.14796619919974308
