Gene1	Gene2	EdgeWeight
NR5A1	SOX9	26.1959896939898
RSPO1	SOX9	14.9020131957234
RSPO1	WT1mKTS	14.1535688703045
NR5A1	WT1mKTS	13.384084660485303
SOX9	SOX9	11.997870983529301
NR5A1	RSPO1	11.295142737772
NR5A1	DHH	11.018859514207499
DKK1	SOX9	10.6961846593594
NR5A1	NR5A1	10.6504532313713
DMRT1	SOX9	10.221183625888699
CBX2	SOX9	10.2152234229486
NR5A1	CTNNB1	9.00551680585785
NR5A1	NR0B1	8.59191351238266
SOX9	DHH	8.51071671086694
NR5A1	FOXL2	8.45056692071419
NR5A1	AMH	8.257452113241369
RSPO1	FOXL2	7.60894595350582
NR5A1	FGF9	7.40953790291551
CTNNB1	SOX9	7.2337473821515585
SOX9	RSPO1	6.668838651532531
RSPO1	RSPO1	6.40226488132609
NR5A1	WNT4	6.39885671179101
RSPO1	CTNNB1	6.24490483394725
NR5A1	CBX2	6.2156578342898605
RSPO1	CBX2	6.129167903809449
CTNNB1	WT1mKTS	5.96161338767314
UGR	SOX9	5.889606048111111
WNT4	WT1mKTS	5.83382954967162
WT1pKTS	WT1mKTS	5.82927300711064
WNT4	SOX9	5.7023468823105095
NR5A1	WT1pKTS	5.59471247823057
SOX9	AMH	5.5042504526217115
SOX9	NR5A1	5.4307305446779095
NR5A1	PGD2	5.428970027100482
RSPO1	NR0B1	5.0863929938759815
NR5A1	GATA4	5.0720137703224095
CBX2	WT1mKTS	5.04225225462605
FOXL2	WT1mKTS	4.9936403157330185
SOX9	FGF9	4.7956410164103085
CTNNB1	FOXL2	4.7539301914461
CBX2	FOXL2	4.723658669973
RSPO1	WNT4	4.64892286604367
DMRT1	WT1mKTS	4.56220597411658
CTNNB1	CBX2	4.5553875699823605
CBX2	CTNNB1	4.52185627945536
NR5A1	UGR	4.49622036607021
RSPO1	DHH	4.45114577333216
CBX2	NR0B1	4.39508399703484
WNT4	NR5A1	4.37364196624818
DKK1	WT1mKTS	4.347173649663319
SOX9	UGR	4.30285139824471
NR0B1	SOX9	4.19998613280098
SOX9	GATA4	4.09699997249596
SOX9	NR0B1	3.99257931757032
CBX2	NR5A1	3.9903584307668094
UGR	NR5A1	3.97554320698878
SRY	FOXL2	3.96065630679608
NR5A1	DMRT1	3.9544517767693
WT1pKTS	CTNNB1	3.93643167508458
DMRT1	CTNNB1	3.91788627543672
UGR	FGF9	3.86904944998025
WNT4	FGF9	3.6595036591977297
DKK1	CTNNB1	3.56832949344634
GATA4	GATA4	3.47787284560785
CTNNB1	NR5A1	3.47126159397312
SOX9	WT1pKTS	3.45287742728184
PGD2	SOX9	3.44177314204408
SRY	SRY	3.43537562008244
DMRT1	RSPO1	3.40435776975034
RSPO1	DMRT1	3.36586381515206
SOX9	PGD2	3.3572653474865
SOX9	WNT4	3.2935415558951098
DMRT1	WNT4	3.29273855684171
WNT4	WNT4	3.27999690671542
SOX9	DMRT1	3.19602937341764
RSPO1	WT1pKTS	3.1895820424302204
WT1pKTS	NR0B1	3.173940474521181
AMH	SOX9	3.13542177643088
DKK1	RSPO1	3.13068661938329
CTNNB1	WT1pKTS	3.1283076785429
NR0B1	WT1mKTS	3.1185018209524
CBX2	WT1pKTS	3.10688045401331
DHH	SOX9	3.0957267550891103
SRY	FGF9	3.01627790154655
NR5A1	SRY	2.9979446610442
WT1mKTS	SOX9	2.9954173676522897
DKK1	WNT4	2.99516175362296
FGF9	SOX9	2.9743997098032
CBX2	UGR	2.9300877188818903
DKK1	NR5A1	2.87207913294155
WT1pKTS	SOX9	2.8324312492769104
RSPO1	PGD2	2.79498273661552
SOX9	CBX2	2.7711084710791303
WT1mKTS	WT1mKTS	2.7655082317093505
WT1pKTS	UGR	2.75855759491866
WNT4	CBX2	2.74286287544856
DMRT1	NR5A1	2.73588879227915
SRY	SOX9	2.7344337838300894
SRY	NR5A1	2.72327774007836
NR0B1	NR5A1	2.69629770820434
RSPO1	GATA4	2.68455749107234
UGR	AMH	2.67514881884858
WNT4	DMRT1	2.67057101874866
DKK1	CBX2	2.66240270562382
WT1pKTS	FOXL2	2.65891301841219
FGF9	DHH	2.65352404581043
WNT4	DKK1	2.64767759620098
FOXL2	CTNNB1	2.64530988703068
SOX9	WT1mKTS	2.64251975908042
PGD2	DHH	2.59842093370309
SRY	WT1pKTS	2.56890755266013
RSPO1	FGF9	2.56249893885642
CTNNB1	NR0B1	2.56082351566152
UGR	RSPO1	2.5373904430648904
NR0B1	FGF9	2.53379446031916
WT1pKTS	WT1pKTS	2.52822470455835
DMRT1	NR0B1	2.49187445958045
UGR	GATA4	2.45164367733024
RSPO1	UGR	2.43604813206713
RSPO1	AMH	2.43450910067498
AMH	FGF9	2.4191456216246
FOXL2	SOX9	2.41660418491829
WT1pKTS	DMRT1	2.39993655090644
FOXL2	FOXL2	2.3981357000366
DMRT1	CBX2	2.3960643288517995
WNT4	NR0B1	2.38117385555615
DKK1	WT1pKTS	2.3529749192554705
SRY	WNT4	2.3446420346244703
WT1pKTS	GATA4	2.33442133034944
PGD2	FGF9	2.31869498223679
GATA4	NR0B1	2.31450323063084
DHH	GATA4	2.31400419399881
PGD2	AMH	2.2904359941245698
DKK1	FOXL2	2.26821951424358
DHH	FGF9	2.22233555252311
WT1mKTS	CBX2	2.21710535887719
GATA4	SOX9	2.21305339226683
AMH	GATA4	2.19618567958445
SRY	GATA4	2.19390723808794
DHH	UGR	2.1608848639072
SOX9	CTNNB1	2.1421503881408
NR0B1	NR0B1	2.11905975305605
PGD2	UGR	2.10200383451119
AMH	DHH	2.08642099936935
DHH	RSPO1	2.07210916977011
UGR	UGR	2.07131823008028
AMH	RSPO1	2.0679103917087
UGR	DHH	2.06150292757456
DMRT1	DMRT1	1.98793902867522
NR0B1	CBX2	1.98027419613887
FGF9	AMH	1.97925175179775
FGF9	NR5A1	1.95810411877844
CBX2	WNT4	1.9447962071042
DHH	NR5A1	1.9277075897140696
FGF9	RSPO1	1.89873415699705
DMRT1	FOXL2	1.87403946495904
DHH	AMH	1.87249381255871
SOX9	DKK1	1.8404791122696105
WT1mKTS	RSPO1	1.83198424525485
CTNNB1	DKK1	1.82102378647717
PGD2	NR5A1	1.81505404464509
SRY	AMH	1.7938684223940102
RSPO1	SRY	1.7932710888178998
FOXL2	DMRT1	1.78967879643166
WNT4	GATA4	1.78871061451043
NR5A1	DKK1	1.78818567363111
WT1mKTS	FGF9	1.77909071266072
GATA4	UGR	1.75957407404087
DHH	NR0B1	1.7551209946459
FOXL2	CBX2	1.7538627476628
DKK1	NR0B1	1.7452350592151695
FGF9	PGD2	1.7432219388373
WNT4	SRY	1.74005766356527
DKK1	DHH	1.73734397725176
DMRT1	WT1pKTS	1.7321465975843702
CBX2	CBX2	1.7273013026710902
AMH	PGD2	1.7180842343552
SRY	UGR	1.71464831101491
SRY	DKK1	1.68903843444249
PGD2	GATA4	1.685787197627
PGD2	NR0B1	1.68077514128582
CTNNB1	PGD2	1.68062193600043
DMRT1	AMH	1.6620447465268302
SRY	WT1mKTS	1.65160503499739
SOX9	SRY	1.65080073566455
PGD2	RSPO1	1.6481211885728502
DKK1	PGD2	1.64607058846013
WT1pKTS	NR5A1	1.61736080239376
WT1mKTS	FOXL2	1.61505819240886
CTNNB1	FGF9	1.61471091395883
FGF9	NR0B1	1.6091870900967198
AMH	UGR	1.60903317721642
AMH	NR5A1	1.5986581161016298
WNT4	FOXL2	1.59595291077701
CBX2	PGD2	1.5762930546476102
UGR	DKK1	1.5680255966495902
WT1mKTS	UGR	1.55186128260949
AMH	NR0B1	1.55121064543585
FGF9	GATA4	1.5400295146592302
WNT4	AMH	1.5281255041373998
GATA4	NR5A1	1.5263934956507
DHH	DHH	1.52247665483873
GATA4	FGF9	1.51496845009526
UGR	NR0B1	1.5037140528358
RSPO1	NR5A1	1.49498871503691
DMRT1	GATA4	1.4930802805618602
DMRT1	PGD2	1.479573909882
FGF9	UGR	1.47735219656102
DKK1	GATA4	1.4664944673908
DKK1	SRY	1.4639191710181
SRY	PGD2	1.43545328152694
WT1pKTS	FGF9	1.43477737245748
NR0B1	SRY	1.4329048740703505
DMRT1	DHH	1.42689050852284
NR0B1	AMH	1.4031568710003897
FGF9	FGF9	1.40118365712131
SRY	NR0B1	1.39301493607034
NR0B1	RSPO1	1.38387890719941
WT1mKTS	GATA4	1.37336676949582
DKK1	FGF9	1.36713124877999
DKK1	AMH	1.36536905089948
DMRT1	SRY	1.36340604925322
FOXL2	GATA4	1.3390321040054198
RSPO1	DKK1	1.3337715952937
NR0B1	DMRT1	1.31669693247955
NR0B1	UGR	1.30448902892165
UGR	WT1mKTS	1.30383804395164
NR0B1	DKK1	1.29317462762973
WNT4	DHH	1.26966782220047
CTNNB1	GATA4	1.22415782763436
WT1mKTS	NR5A1	1.21564884870088
GATA4	AMH	1.20895338925001
CTNNB1	SRY	1.19704468684751
SRY	RSPO1	1.19700946584334
DMRT1	FGF9	1.1905999663456202
WNT4	CTNNB1	1.18995757090397
CBX2	FGF9	1.16500958650547
CBX2	SRY	1.15419457122305
WNT4	UGR	1.15205625989754
UGR	PGD2	1.13879362304111
GATA4	DHH	1.13621132558417
WT1pKTS	DHH	1.1044371033802198
GATA4	WT1mKTS	1.08958637284178
FOXL2	WNT4	1.08115100123331
FGF9	CBX2	1.08044138569289
GATA4	DKK1	1.06634358682575
WT1mKTS	DHH	1.05331453184048
WT1mKTS	WT1pKTS	1.0432429736559798
WT1pKTS	AMH	1.04089746081412
CBX2	RSPO1	1.02230431604071
UGR	FOXL2	1.00355073248568
DHH	PGD2	0.984786912316296
GATA4	FOXL2	0.981478325969538
SRY	DHH	0.9806688792254892
GATA4	RSPO1	0.9780238545526412
DKK1	DMRT1	0.975633138433065
NR0B1	WNT4	0.962921035518137
FOXL2	DKK1	0.9568772047033008
CTNNB1	DMRT1	0.953773981896068
SOX9	FOXL2	0.942803540035445
DKK1	UGR	0.940207620373984
WT1pKTS	PGD2	0.938163741560724
WT1mKTS	NR0B1	0.9363432628026308
SRY	CBX2	0.90602630936614
WT1mKTS	DMRT1	0.8967148070433191
WT1pKTS	DKK1	0.8952847426613391
FOXL2	DHH	0.893778025936822
