Gene1	Gene2	EdgeWeight
RSPO1	WNT4	0.0867087924747828
WNT4	SRY	0.0821203518028807
UGR	NR5A1	0.081184918461705
NR0B1	SRY	0.0774182216056612
GATA4	NR5A1	0.0762574276842621
DMRT1	NR0B1	0.0738517406029925
UGR	CBX2	0.0730684258169159
UGR	SRY	0.0714232705777744
SRY	NR5A1	0.0710715369567048
WT1pKTS	NR5A1	0.0710251193979259
RSPO1	CBX2	0.0706193191330628
WT1pKTS	CBX2	0.0698817465444141
NR0B1	NR5A1	0.0688780261087739
FOXL2	NR5A1	0.0687636055368255
CBX2	NR0B1	0.0682349003184119
NR0B1	WNT4	0.0641182276916742
NR5A1	GATA4	0.0641116191805839
NR5A1	CBX2	0.0638757979944623
NR5A1	SOX9	0.063846556932232
NR0B1	CBX2	0.0627046001262062
UGR	WT1pKTS	0.0623931793870173
CBX2	UGR	0.0623162304680078
RSPO1	SRY	0.0620033695597164
WNT4	NR5A1	0.0615631139605808
SRY	NR0B1	0.0608515113393939
DKK1	NR0B1	0.0608503835388172
NR5A1	NR0B1	0.0607767957986889
RSPO1	NR0B1	0.0605521210427027
DKK1	DMRT1	0.0603596791667432
SOX9	AMH	0.0595672486323755
SOX9	PGD2	0.0588533435440763
RSPO1	NR5A1	0.0583512735083957
WT1mKTS	NR5A1	0.0581003933292302
UGR	GATA4	0.0562731591284848
WNT4	NR0B1	0.05612878014882
DKK1	SOX9	0.0560970936548737
CBX2	NR5A1	0.0558711063669577
DMRT1	PGD2	0.0558600510281939
WT1pKTS	GATA4	0.0556382825922427
CTNNB1	CBX2	0.0549759408894605
SOX9	DHH	0.054899685145318004
WT1pKTS	WNT4	0.0546793348647796
WNT4	CBX2	0.054469365152966
DKK1	PGD2	0.0535734984750063
GATA4	WT1mKTS	0.0532113418573571
GATA4	CBX2	0.0527961061366593
UGR	WNT4	0.0524722932320219
WT1mKTS	GATA4	0.052349004493727
NR5A1	SRY	0.0521541479809601
CTNNB1	SOX9	0.0519767255800836
DMRT1	SOX9	0.0517054878768019
SRY	FGF9	0.0509535584432183
SRY	SOX9	0.0505302248430987
DKK1	DHH	0.0504595187269032
