Gene1	Gene2	EdgeWeight
RSPO1	WNT4	0.108830825399121
UGR	NR0B1	0.0965941317834092
FOXL2	WT1pKTS	0.0843984153296047
CBX2	NR0B1	0.0779944500915897
UGR	CBX2	0.0767744961069321
DKK1	NR0B1	0.0765029921747805
SRY	NR0B1	0.073396110240635
DMRT1	NR0B1	0.0704204436119718
UGR	WNT4	0.0703363817349467
UGR	SRY	0.0698991189099838
NR5A1	NR0B1	0.0695889761816401
NR5A1	CBX2	0.0691159781530278
SRY	NR5A1	0.0680015913552934
UGR	NR5A1	0.0678044424000975
UGR	WT1pKTS	0.0664548788455097
SOX9	DHH	0.0661722775495141
WT1pKTS	CBX2	0.0630271143580605
DKK1	DHH	0.0626546832606863
NR5A1	SOX9	0.0625339943397879
DKK1	NR5A1	0.0619360669665518
DKK1	DMRT1	0.0616056669564302
WT1pKTS	NR5A1	0.0599323167458874
CTNNB1	WT1mKTS	0.0596466758820114
CBX2	UGR	0.0593171824602475
DMRT1	PGD2	0.0578640720831714
CBX2	NR5A1	0.0573812630494725
SOX9	PGD2	0.057141335611929
WNT4	SRY	0.0565947967642773
DMRT1	NR5A1	0.0562767473261367
DMRT1	WNT4	0.0552031193539424
GATA4	NR0B1	0.0540030666897361
DMRT1	SOX9	0.0538397803347781
RSPO1	CBX2	0.0535855309185164
DKK1	WNT4	0.0516917142761804
RSPO1	NR0B1	0.0512807108247492
DKK1	PGD2	0.0509054536352584
CBX2	SRY	0.050769723468937995
WT1pKTS	NR0B1	0.0505828514182827
RSPO1	NR5A1	0.0499465308127699
SRY	WNT4	0.0489064706149642
DMRT1	SRY	0.0474856907949285
CBX2	GATA4	0.0473611369270127
WT1mKTS	SRY	0.0470054059228652
CTNNB1	WNT4	0.0469526389461018
NR0B1	GATA4	0.0465378293098609
NR0B1	SRY	0.0462467325462036
UGR	GATA4	0.04602492094087
WT1mKTS	AMH	0.0456804141483233
DKK1	SOX9	0.0453026324593599
SRY	SOX9	0.0452707841643102
NR5A1	AMH	0.0452641763262495
SRY	UGR	0.0449624993657556
RSPO1	SRY	0.0446172145566141
DKK1	SRY	0.0445775978053134
CTNNB1	CBX2	0.0443949992335228
GATA4	NR5A1	0.0443270918181652
SOX9	AMH	0.0443166961076523
RSPO1	CTNNB1	0.0442615786482259
SRY	DMRT1	0.0442356158014757
CBX2	WT1mKTS	0.0435022735079411
DMRT1	DKK1	0.0432049167875407
NR0B1	NR5A1	0.0431616010062294
NR0B1	CBX2	0.0426260561486083
WNT4	CBX2	0.0423582300133267
NR5A1	WNT4	0.0422529711927025
WT1pKTS	GATA4	0.0421827121828886
FOXL2	DKK1	0.0411412025269399
NR0B1	WNT4	0.0406869457941699
SOX9	FGF9	0.040620418854057
GATA4	WT1mKTS	0.0404840198166962
DMRT1	UGR	0.0400477223883752
FGF9	AMH	0.0399283243050684
WT1mKTS	GATA4	0.0397849887069798
FOXL2	RSPO1	0.0397173190892121
DMRT1	GATA4	0.0396105380341167
NR0B1	FOXL2	0.0394158639788688
WNT4	NR0B1	0.0392198900667355
SOX9	NR5A1	0.0391197334825368
CTNNB1	RSPO1	0.0390486846474097
DKK1	RSPO1	0.0388850657922934
WNT4	NR5A1	0.0388776458741075
RSPO1	DKK1	0.038863356535033
SOX9	UGR	0.0387337686225032
FOXL2	DMRT1	0.038620804795928
DKK1	GATA4	0.0382446737638954
NR5A1	SRY	0.038213293538061
WT1pKTS	DMRT1	0.0378909624632027
WNT4	FGF9	0.0377894490023939
CTNNB1	SRY	0.0377820777869899
DMRT1	WT1pKTS	0.0375537530882266
CTNNB1	SOX9	0.0373559756645923
NR5A1	GATA4	0.0373552567571823
SRY	WT1pKTS	0.0368740282069858
WT1mKTS	CBX2	0.0366655590966184
RSPO1	GATA4	0.0366244602189134
DMRT1	CTNNB1	0.0366078373290769
NR5A1	UGR	0.0365990836422303
CBX2	WNT4	0.0364827828585835
DKK1	FGF9	0.036424313141751
CTNNB1	DKK1	0.0362766805081348
FOXL2	CTNNB1	0.0362641161691488
NR5A1	FGF9	0.0361014637760357
WT1mKTS	NR5A1	0.0360548141850249
GATA4	PGD2	0.0358925868140822
NR5A1	DMRT1	0.0358414958200179
AMH	FGF9	0.0358128410048917
SRY	FGF9	0.0355497508868611
DKK1	CBX2	0.0351272225562607
WNT4	WT1mKTS	0.0345813100215844
CTNNB1	GATA4	0.0345392454847604
SRY	RSPO1	0.0345107523700011
WT1mKTS	WNT4	0.0344043413569048
SRY	DHH	0.0342932820374267
SOX9	DMRT1	0.0342124320061832
PGD2	AMH	0.034058229625582
