,HSC_2000_0,HSC_2000_0_20,HSC_2000_0_50,HSC_2000_1,HSC_2000_1_20,HSC_2000_1_50,HSC_2000_2,HSC_2000_2_20,HSC_2000_2_50,HSC_2000_3,HSC_2000_3_20,HSC_2000_3_50,HSC_2000_4,HSC_2000_4_20,HSC_2000_4_50,HSC_2000_5,HSC_2000_5_20,HSC_2000_5_50,HSC_2000_6,HSC_2000_6_20,HSC_2000_6_50,HSC_2000_7,HSC_2000_7_20,HSC_2000_7_50,HSC_2000_8,HSC_2000_8_20,HSC_2000_8_50,HSC_2000_9,HSC_2000_9_20,HSC_2000_9_50
PIDC,0.3333333333333333,0.36363636363636365,0.45454545454545453,0.3333333333333333,0.36363636363636365,0.36363636363636365,0.25,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.45454545454545453,0.2727272727272727,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.4166666666666667,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.3333333333333333,0.36363636363636365,0.2727272727272727,0.25,0.36363636363636365
GRNVBEM,0.19047619047619047,0.19047619047619047,0.17647058823529413,0.4,0.42105263157894735,0.42105263157894735,0.2608695652173913,0.30434782608695654,0.2631578947368421,0.19047619047619047,0.19047619047619047,0.17647058823529413,0.15789473684210525,0.15789473684210525,0.23076923076923078,0.2222222222222222,0.25925925925925924,0.23809523809523808,0.2608695652173913,0.2608695652173913,0.23809523809523808,0.28,0.28,0.2857142857142857,0.18181818181818182,0.19047619047619047,0.17647058823529413,0.13636363636363635,0.14285714285714285,0.16666666666666666
GENIE3,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.36363636363636365
GRNBOOST2,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727
PPCOR,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.4166666666666667,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,0.2727272727272727,0.25,0.25,0.25,0.25,0.25,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.25,0.25,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.25
SCODE,0.09090909090909091,0.0,0.0,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
SCNS,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.16666666666666666,0.18181818181818182,0.18181818181818182,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182
SINCERITIES,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182
LEAP,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.08333333333333333,0.09090909090909091,0.08333333333333333,0.08333333333333333,0.09090909090909091
GRISLI,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.15384615384615385,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.25,0.16666666666666666,0.25,0.38461538461538464,0.5,0.3333333333333333,0.25,0.2727272727272727,0.16666666666666666,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.15384615384615385,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
