,HSC_2000_0,HSC_2000_0_20,HSC_2000_0_50,HSC_2000_1,HSC_2000_1_20,HSC_2000_1_50,HSC_2000_2,HSC_2000_2_20,HSC_2000_2_50,HSC_2000_3,HSC_2000_3_20,HSC_2000_3_50,HSC_2000_4,HSC_2000_4_20,HSC_2000_4_50,HSC_2000_5,HSC_2000_5_20,HSC_2000_5_50,HSC_2000_6,HSC_2000_6_20,HSC_2000_6_50,HSC_2000_7,HSC_2000_7_20,HSC_2000_7_50,HSC_2000_8,HSC_2000_8_20,HSC_2000_8_50,HSC_2000_9,HSC_2000_9_20,HSC_2000_9_50
PIDC,0.5384615384615384,0.5384615384615384,0.5,0.46153846153846156,0.46153846153846156,0.5,0.5384615384615384,0.5384615384615384,0.5,0.5384615384615384,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.5384615384615384,0.46153846153846156,0.5,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.5384615384615384,0.46153846153846156,0.5,0.5384615384615384,0.46153846153846156,0.5
GRNVBEM,0.25,0.25,0.23076923076923078,0.4230769230769231,0.4230769230769231,0.38461538461538464,0.3103448275862069,0.32142857142857145,0.3076923076923077,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.2222222222222222,0.23076923076923078,0.23076923076923078,0.25,0.25925925925925924,0.2692307692307692,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.18518518518518517,0.19230769230769232,0.15384615384615385,0.2692307692307692,0.2692307692307692,0.23076923076923078
GENIE3,0.4230769230769231,0.46153846153846156,0.38461538461538464,0.5,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.38461538461538464,0.4230769230769231,0.46153846153846156,0.38461538461538464,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.38461538461538464,0.46153846153846156,0.5,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.38461538461538464
GRNBOOST2,0.5384615384615384,0.5,0.4230769230769231,0.46153846153846156,0.5,0.5,0.4230769230769231,0.5,0.5,0.5,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.38461538461538464,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.5,0.4230769230769231,0.38461538461538464,0.5384615384615384,0.5,0.38461538461538464,0.4230769230769231,0.5,0.4230769230769231
PPCOR,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.5384615384615384,0.5384615384615384,0.38461538461538464,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.38461538461538464,0.4230769230769231,0.46153846153846156,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.5,0.46153846153846156,0.46153846153846156,0.4230769230769231,0.4230769230769231,0.4230769230769231,0.46153846153846156,0.46153846153846156,0.38461538461538464,0.5,0.4230769230769231,0.4230769230769231
SCODE,0.19230769230769232,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.19230769230769232,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.11538461538461539
SCNS,0.38461538461538464,0.38461538461538464,0.4074074074074074,0.38461538461538464,0.38461538461538464,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.3333333333333333,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.34615384615384615
SINCERITIES,0.23076923076923078,0.23076923076923078,0.2692307692307692,0.3076923076923077,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.19230769230769232,0.19230769230769232,0.15384615384615385,0.07692307692307693,0.19230769230769232,0.15384615384615385,0.2692307692307692,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.15384615384615385,0.2692307692307692,0.19230769230769232,0.19230769230769232,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.2692307692307692,0.23076923076923078,0.2692307692307692
LEAP,0.38461538461538464,0.38461538461538464,0.34615384615384615,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.4230769230769231,0.4230769230769231,0.34615384615384615,0.46153846153846156,0.48148148148148145,0.2692307692307692,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.4230769230769231,0.4230769230769231,0.34615384615384615,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.4444444444444444,0.38461538461538464,0.34615384615384615,0.4230769230769231,0.4230769230769231,0.38461538461538464
GRISLI,0.2962962962962963,0.3333333333333333,0.3333333333333333,0.4074074074074074,0.38461538461538464,0.4230769230769231,0.38461538461538464,0.41379310344827586,0.23076923076923078,0.3333333333333333,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.37037037037037035,0.37037037037037035,0.38461538461538464,0.3333333333333333,0.35714285714285715,0.37037037037037035,0.35714285714285715,0.39285714285714285,0.39285714285714285,0.34615384615384615,0.2692307692307692,0.3076923076923077,0.25925925925925924,0.3076923076923077,0.25925925925925924,0.2692307692307692
