,Jaccard Median,Jaccard MAD
GENIE3,0.7333333333333333,0.09777264707883605
GRISLI,0.2857142857142857,0.1039155234858269
GRNBOOST2,0.625,0.08638435926449638
GRNVBEM,0.4857142857142857,0.09111375234884297
LEAP,0.5757575757575758,0.09489933666839913
PIDC,0.7333333333333333,0.09705060113621394
PPCOR,0.7333333333333333,0.09909035269544432
SCINGE,0.3684210526315789,0.16108237119372187
SCNS,0.65625,0.12958033524646304
SCODE,0.4444444444444444,0.10571447992603197
SCRIBE,0.3684210526315789,0.0927665063786202
SINCERITIES,0.20930232558139536,0.11262835165342273
