,HSC_2000_0,HSC_2000_1,HSC_2000_2,HSC_2000_3,HSC_2000_4,HSC_2000_5,HSC_2000_6,HSC_2000_7,HSC_2000_8,HSC_2000_9,HSC_2000_0_20,HSC_2000_1_20,HSC_2000_2_20,HSC_2000_3_20,HSC_2000_4_20,HSC_2000_5_20,HSC_2000_6_20,HSC_2000_7_20,HSC_2000_8_20,HSC_2000_9_20,HSC_2000_0_50,HSC_2000_1_50,HSC_2000_2_50,HSC_2000_3_50,HSC_2000_4_50,HSC_2000_5_50,HSC_2000_6_50,HSC_2000_7_50,HSC_2000_8_50,HSC_2000_9_50
GENIE3,1.1111111111111112,1.0,1.2222222222222223,1.1111111111111112,1.0,1.2222222222222223,1.1111111111111112,1.2222222222222223,1.3333333333333333,1.3333333333333333,1.1111111111111112,1.1111111111111112,1.0,1.2222222222222223,1.1111111111111112,1.2222222222222223,1.1111111111111112,1.1111111111111112,1.2222222222222223,1.3333333333333333,1.1111111111111112,1.3333333333333333,1.2222222222222223,1.3333333333333333,1.1111111111111112,1.1111111111111112,1.3333333333333333,1.3333333333333333,1.1111111111111112,1.1111111111111112
GRISLI,1.1111111111111112,1.2222222222222223,1.5555555555555556,2.0,2.0,1.6666666666666667,2.2222222222222223,1.7777777777777777,1.1111111111111112,1.5555555555555556,1.2222222222222223,1.4444444444444444,2.111111111111111,1.7777777777777777,1.8888888888888888,1.4444444444444444,2.111111111111111,2.0,1.4444444444444444,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.8888888888888888,2.3333333333333335,2.111111111111111,1.8888888888888888,1.7777777777777777,1.6666666666666667,1.3333333333333333,1.2222222222222223
GRNBOOST2,1.0,1.0,1.0,1.0,1.2222222222222223,1.5555555555555556,1.2222222222222223,1.1111111111111112,1.3333333333333333,1.3333333333333333,1.4444444444444444,1.5555555555555556,1.2222222222222223,1.3333333333333333,1.5555555555555556,1.8888888888888888,1.2222222222222223,1.2222222222222223,1.4444444444444444,1.5555555555555556,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.8888888888888888,2.2222222222222223,1.5555555555555556,1.6666666666666667,1.6666666666666667
GRNVBEM,1.0,1.1111111111111112,1.1111111111111112,0.5555555555555556,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.7777777777777778,0.8888888888888888,1.0,1.1111111111111112,0.8888888888888888,0.4444444444444444,0.6666666666666666,0.7777777777777778,1.1111111111111112,1.3333333333333333,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.2222222222222223,1.4444444444444444,1.1111111111111112,1.2222222222222223
LEAP,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,1.7777777777777777,0.7777777777777778,1.2222222222222223,1.5555555555555556,0.6666666666666666,1.0,0.8888888888888888,1.0,1.0,1.0,1.5555555555555556,0.7777777777777778,1.2222222222222223,1.6666666666666667,0.6666666666666666,1.2222222222222223,1.8888888888888888,1.1111111111111112,1.4444444444444444,1.4444444444444444,1.6666666666666667,1.1111111111111112,1.5555555555555556,2.111111111111111,1.2222222222222223
SCINGE,2.4444444444444446,1.4444444444444444,0.0,2.4444444444444446,1.2222222222222223,1.2222222222222223,2.2222222222222223,2.111111111111111,1.0,1.8888888888888888,2.4444444444444446,1.4444444444444444,0.0,2.2222222222222223,1.4444444444444444,1.4444444444444444,1.6666666666666667,1.7777777777777777,1.1111111111111112,2.111111111111111,2.5555555555555554,1.1111111111111112,0.0,2.3333333333333335,1.5555555555555556,2.2222222222222223,1.4444444444444444,1.7777777777777777,2.111111111111111,2.6666666666666665
SCNS,1.8888888888888888,2.111111111111111,1.8888888888888888,2.111111111111111,2.111111111111111,2.111111111111111,1.8888888888888888,1.8888888888888888,1.5555555555555556,2.111111111111111,1.8888888888888888,2.111111111111111,1.8888888888888888,2.111111111111111,2.111111111111111,2.111111111111111,1.8888888888888888,1.8888888888888888,2.0,2.111111111111111,2.5555555555555554,2.111111111111111,2.4444444444444446,1.8888888888888888,2.3333333333333335,2.111111111111111,1.6666666666666667,1.8888888888888888,2.0,2.0
SCODE,1.4444444444444444,1.7777777777777777,2.5555555555555554,1.2222222222222223,1.7777777777777777,1.5555555555555556,1.2222222222222223,1.1111111111111112,0.7777777777777778,1.2222222222222223,0.4444444444444444,1.7777777777777777,1.6666666666666667,2.0,1.0,1.7777777777777777,1.5555555555555556,1.7777777777777777,1.6666666666666667,0.8888888888888888,1.7777777777777777,0.8888888888888888,3.2222222222222223,1.1111111111111112,0.8888888888888888,0.3333333333333333,1.6666666666666667,1.0,0.2222222222222222,0.7777777777777778
SCRIBE,1.2222222222222223,1.1111111111111112,1.5555555555555556,1.2222222222222223,1.0,1.7777777777777777,1.5555555555555556,1.5555555555555556,1.6666666666666667,1.2222222222222223,1.3333333333333333,1.2222222222222223,1.5555555555555556,1.2222222222222223,1.3333333333333333,1.7777777777777777,1.5555555555555556,1.2222222222222223,2.111111111111111,1.5555555555555556,1.2222222222222223,0.7777777777777778,2.0,2.111111111111111,1.4444444444444444,2.111111111111111,1.8888888888888888,1.2222222222222223,1.7777777777777777,1.6666666666666667
SINCERITIES,2.0,2.7777777777777777,2.111111111111111,2.4444444444444446,1.3333333333333333,2.7777777777777777,2.111111111111111,1.1111111111111112,1.8888888888888888,1.5555555555555556,2.3333333333333335,2.0,1.6666666666666667,2.111111111111111,1.2222222222222223,2.3333333333333335,1.8888888888888888,1.0,1.6666666666666667,1.6666666666666667,1.7777777777777777,2.0,0.8888888888888888,1.4444444444444444,2.2222222222222223,2.3333333333333335,2.111111111111111,2.111111111111111,1.7777777777777777,2.0
