,HSC_2000_0,HSC_2000_1,HSC_2000_2,HSC_2000_3,HSC_2000_4,HSC_2000_5,HSC_2000_6,HSC_2000_7,HSC_2000_8,HSC_2000_9,HSC_2000_0_20,HSC_2000_1_20,HSC_2000_2_20,HSC_2000_3_20,HSC_2000_4_20,HSC_2000_5_20,HSC_2000_6_20,HSC_2000_7_20,HSC_2000_8_20,HSC_2000_9_20,HSC_2000_0_50,HSC_2000_1_50,HSC_2000_2_50,HSC_2000_3_50,HSC_2000_4_50,HSC_2000_5_50,HSC_2000_6_50,HSC_2000_7_50,HSC_2000_8_50,HSC_2000_9_50
GENIE3,159.37,148.36,146.47,147.6,152.73,168.77,164.7,160.92,153.2,154.84,175.63,146.39,159.99,158.46,159.68,160.18,164.01,161.46,160.98,159.13,148.14,145.03,144.92,131.14,132.16,150.35,137.21,133.3,119.0,124.65
GRISLI,272.65999999999997,266.01,279.33,263.56,656.85,677.4699999999999,327.1,275.53000000000003,294.79999999999995,285.57,731.0699999999999,959.5799999999999,869.8499999999999,978.83,1001.6099999999999,1006.3199999999999,1047.43,990.3899999999999,970.53,977.4,877.26,849.4200000000001,300.84999999999997,336.15,289.09000000000003,286.13,306.73,295.33000000000004,279.07000000000005,306.28000000000003
GRNBOOST2,26.04,24.39,27.13,25.1,25.35,31.91,28.45,25.06,24.38,24.9,32.84,31.46,32.39,28.73,30.67,30.18,31.81,30.56,29.69,30.73,30.94,31.29,29.41,27.42,26.33,32.0,24.63,27.1,23.57,26.35
GRNVBEM,91.39,97.29,92.74000000000001,88.85,85.66000000000001,96.67,94.33000000000001,95.97,96.03999999999999,96.14000000000001,99.22999999999999,102.33,94.92999999999999,92.17,89.35,96.13,92.41000000000001,95.38,94.57,91.18,86.65,87.77,87.24,93.25,79.71000000000001,107.38000000000001,86.09,90.38,86.49,79.97
LEAP,72.78,71.01,67.24000000000001,66.72,76.16999999999999,75.67,71.69,70.74000000000001,78.82000000000001,76.59,73.18,73.69,74.41,66.47999999999999,71.07000000000001,69.11,68.75999999999999,78.37,77.10000000000001,73.7,71.18,70.61000000000001,68.09,73.78,69.18,68.67,76.87,74.38,76.67,81.17
PIDC,27.42,27.45,27.42,28.45,27.7,29.91,28.55,28.8,27.26,29.14,28.49,29.29,28.65,32.02,27.67,27.78,27.99,27.66,27.37,27.27,26.67,26.62,27.58,26.7,28.92,27.49,26.94,27.88,26.09,27.18
PPCOR,0.98,0.99,0.98,1.02,0.94,1.02,0.99,0.99,0.94,0.97,1.0,0.96,0.87,0.91,0.92,0.91,0.87,0.9,0.92,0.91,0.84,0.82,0.79,0.79,0.78,1.08,0.78,0.78,0.8,0.74
SCINGE,751.4499999999999,553.03,347.74,642.8299999999999,602.31,586.0,716.0700000000002,706.12,760.2200000000001,681.05,694.6099999999999,537.38,362.39000000000004,665.24,588.24,589.43,716.63,726.7299999999999,788.1700000000001,743.7,735.4699999999999,538.6899999999999,367.52000000000004,648.18,596.65,585.58,707.52,742.8700000000001,820.74,799.5999999999999
SCNS,135.96,114.43,183.75,144.93,152.25,163.19,271.46,238.5,369.21,366.93,190.39,172.08,221.2,228.93,211.59,235.7,241.11,240.31,283.15,325.66,221.4,179.63,236.12,264.35,366.37,342.85,297.11,261.76,344.64,143.01
SCODE,503.88,511.34999999999997,483.16,487.93999999999994,508.38,519.47,493.19,523.25,527.1,513.53,539.1700000000001,509.30999999999995,502.40000000000003,483.41999999999996,494.41999999999996,492.37,493.77000000000004,498.79999999999995,524.99,505.84000000000003,497.09000000000003,488.04,506.93,477.73999999999995,509.37,503.99,493.12,535.7199999999999,534.49,534.3
SCRIBE,35.15,34.21,34.94,34.12,36.25,36.14,36.8,34.72,37.04,37.25,36.37,37.11,40.650000000000006,34.93,35.5,35.1,36.199999999999996,35.0,37.74,36.83,37.84,36.71,36.46,38.11000000000001,37.97,35.86,37.529999999999994,37.2,37.99,36.8
SINCERITIES,12.030000000000001,12.16,12.27,12.129999999999999,13.39,13.03,12.75,12.33,12.780000000000001,12.77,12.71,12.850000000000001,12.73,13.05,13.34,12.29,12.32,12.32,12.51,12.56,12.31,11.94,12.16,12.2,12.0,12.64,13.02,14.269999999999998,11.81,14.5
