,Median EPR Activation,Median EPR Inhibition
GENIE3,0.36363636363636365,0.3333333333333333
GRISLI,0.2159090909090909,0.25
GRNBOOST2,0.2727272727272727,0.3333333333333333
GRNVBEM,0.2264957264957265,0.06458333333333333
LEAP,0.09090909090909091,0.13333333333333333
PIDC,0.36363636363636365,0.4
PPCOR,0.25,0.26666666666666666
SCINGE,0.0,0.06666666666666667
SCNS,0.18181818181818182,0.3333333333333333
SCODE,0.0,0.06666666666666667
SCRIBE,0.2727272727272727,0.13333333333333333
SINCERITIES,0.09090909090909091,0.13333333333333333
