Gene1	Gene2	EdgeWeight
Gfi1	Cebpa	275.22863635961255
Cebpa	Gfi1	252.4697965171636
cJun	EgrNab	215.53817034461
EgrNab	cJun	204.84220039381643
Fli1	Eklf	185.7567738605965
Scl	Eklf	157.25408767395436
Fog1	Eklf	139.88747121501592
Scl	Fog1	136.10662561833254
EgrNab	Gfi1	133.26575495094428
Cebpa	cJun	132.0869377321026
Cebpa	EgrNab	127.3264656748374
Pu1	Eklf	126.56845980111844
Gfi1	cJun	123.76678345264007
Gata1	Pu1	122.51051019736528
Eklf	Fli1	121.70674532237105
Pu1	Gata2	120.27425316934216
cJun	Cebpa	118.80213252299896
cJun	Gfi1	117.90924481946313
Scl	Gata1	117.38651147778342
Gfi1	EgrNab	114.14286740179612
Pu1	Gata1	110.24755784190442
Gata1	Fli1	102.26897166713582
Gata1	Scl	101.5008409503453
Fog1	Scl	101.24601286378055
Gata1	Eklf	98.12410695014015
Gata1	Gata2	96.7258140843247
EgrNab	Cebpa	93.07712086160404
Fli1	Gata2	91.98594125983959
Fog1	Fli1	89.39445656376203
Scl	Gata2	86.31733629567059
Pu1	Fli1	84.95089494309516
Gata1	Fog1	84.65900872819172
Scl	Fli1	83.92773394161945
Pu1	Scl	81.87410531209042
Scl	Pu1	78.79431928341819
Pu1	Fog1	77.73052768850765
Eklf	Gata2	74.49113790090594
Fli1	Fog1	70.10953471797015
Cebpa	Gata2	63.658892757705644
Gfi1	Gata2	63.63941525709311
Fog1	Gata2	62.361180873107436
Fli1	Pu1	61.400220586896545
Fog1	Pu1	58.313456924117176
Fli1	Gata1	56.139346274392274
Fog1	Gata1	54.896961891417035
Fli1	Scl	54.46981915816964
Eklf	Fog1	53.77646291729165
Cebpa	Gata1	52.26797307858228
Eklf	Scl	45.161877891971606
Cebpa	Eklf	44.989009523410665
Gata1	Gfi1	42.52114327626785
Gata1	Cebpa	42.08531139978834
Gata2	Eklf	38.86861553837964
Pu1	Gfi1	38.241498652363866
Pu1	cJun	37.98927540957006
Fog1	Gfi1	36.675543389197344
Cebpa	Scl	35.61556374902057
Pu1	EgrNab	34.49741873679116
Gfi1	Eklf	34.329948358243286
Gfi1	Pu1	31.28699413936919
Gfi1	Fli1	30.841288178538274
Eklf	Pu1	30.21400416026985
Fog1	Cebpa	30.022494726372123
cJun	Fog1	29.866778224230487
Gata1	cJun	29.793138474068712
Gata2	Pu1	29.608974177930364
Gata2	Fli1	29.144786734223423
Eklf	Gata1	28.95044281540575
cJun	Eklf	27.508572231083466
Scl	Gfi1	27.04541545646521
Gfi1	Fog1	26.798509857593146
Cebpa	Fog1	26.786454982780853
Gata1	EgrNab	26.298450124526035
Fog1	cJun	24.870530492549246
Cebpa	Fli1	24.458132399686807
Cebpa	Pu1	24.239330146450182
Scl	Cebpa	24.206817947168346
cJun	Scl	22.941745618781123
Scl	EgrNab	21.638386825180145
cJun	Gata2	21.60171187936005
Pu1	Cebpa	20.171079013377756
cJun	Pu1	19.39756204937363
EgrNab	Gata1	17.716494249838266
Fli1	cJun	17.712228126443893
Scl	cJun	17.07959317679917
Fli1	Gfi1	17.00931098939636
cJun	Fli1	16.868767152030472
Gfi1	Scl	15.857906576064956
EgrNab	Eklf	15.712954848057576
EgrNab	Fli1	15.438223097537492
Gata2	Gata1	14.430185602711694
Eklf	cJun	14.372606535365485
Eklf	Cebpa	14.188819364607339
EgrNab	Fog1	13.946034280140665
EgrNab	Gata2	13.944316522650892
Gata2	Gfi1	13.433345554057007
Eklf	Gfi1	13.428946394681384
Fli1	Cebpa	13.282335216721258
EgrNab	Pu1	13.234628334809596
Fog1	EgrNab	13.199251655744426
Eklf	EgrNab	12.260958831340435
cJun	Gata1	12.026361114175158
EgrNab	Scl	11.932002452790544
Fli1	EgrNab	11.845513826854697
Gata2	cJun	10.486706206644392
Gfi1	Gata1	8.938165653789595
Gata2	Cebpa	8.935252587749197
Gata2	EgrNab	8.252516578319687
Gata2	Fog1	7.22006298496116
Gata2	Scl	6.400125426985303
