Gene1	Gene2	EdgeWeight
cJun	cJun	1.0
Gata2	Gata2	1.0
Eklf	Eklf	1.0
Pu1	Pu1	1.0
Scl	Scl	1.0
Fli1	Fli1	1.0
Cebpa	Cebpa	1.0
Fog1	Fog1	1.0
Gfi1	Gfi1	1.0
Gata1	Gata1	1.0
EgrNab	EgrNab	1.0
Gfi1	Cebpa	0.6032501019558499
Cebpa	Gfi1	0.6032501019558499
cJun	EgrNab	0.33971017793142
EgrNab	cJun	0.339710177931419
Gata1	Pu1	-0.30260843895545697
Pu1	Gata1	-0.30260843895545697
Scl	cJun	-0.18858994904110502
cJun	Scl	-0.18858994904110502
cJun	Cebpa	-0.18462870100780104
Cebpa	cJun	-0.18462870100780104
EgrNab	Cebpa	-0.18351921899788504
Cebpa	EgrNab	-0.18351921899788504
Scl	Fog1	0.182941500198916
Fog1	Scl	0.182941500198915
EgrNab	Pu1	0.17780368272012195
Pu1	EgrNab	0.17780368272012195
Gfi1	cJun	-0.17195495722340098
cJun	Gfi1	-0.17195495722340098
Pu1	Gata2	-0.171467431965998
Gata2	Pu1	-0.171467431965998
Fog1	cJun	-0.16348414881457599
cJun	Fog1	-0.16348414881457599
Gata1	Fog1	0.16014725171772598
Fog1	Gata1	0.16014725171772598
Gfi1	Pu1	0.14583761282477897
Pu1	Gfi1	0.14583761282477897
EgrNab	Gfi1	-0.14048286091506398
Gfi1	EgrNab	-0.14048286091506398
Pu1	Scl	-0.129409358678019
Scl	Pu1	-0.129409358678019
Scl	Fli1	0.12487868350784699
Fli1	Scl	0.12487868350784699
Eklf	Fog1	0.12471217844919501
Fog1	Eklf	0.12471217844919501
Gata1	Gata2	0.116666428006019
Gata2	Gata1	0.116666428006019
Scl	Gata1	0.115088991166893
Gata1	Scl	0.115088991166893
Fog1	Cebpa	-0.11407647771935199
Cebpa	Fog1	-0.11407647771935199
Fli1	Fog1	0.10685085326993199
Fog1	Fli1	0.10685085326993199
EgrNab	Gata1	-0.0977642465997986
Gata1	EgrNab	-0.0977642465997986
Gata1	Fli1	0.0973430590209215
Fli1	Gata1	0.0973430590209215
Pu1	Cebpa	0.0970183444088297
Cebpa	Pu1	0.0970183444088295
Fog1	Pu1	-0.0963406248589119
Pu1	Fog1	-0.0963406248589119
Gata2	cJun	0.0952613454732597
cJun	Gata2	0.0952613454732597
Eklf	Pu1	-0.091192423865858
Pu1	Eklf	-0.091192423865858
Eklf	cJun	-0.0893726855498583
cJun	Eklf	-0.0893726855498582
cJun	Fli1	-0.089140189090454
Fli1	cJun	-0.089140189090454
Scl	Cebpa	-0.0830242527631608
Cebpa	Scl	-0.0830242527631608
Scl	Gfi1	-0.0827338758263258
Gfi1	Scl	-0.0827338758263258
Eklf	Gata2	0.0773635205185935
Gata2	Eklf	0.0773635205185934
Scl	Eklf	0.0764660088508869
Eklf	Scl	0.0764660088508869
Gata2	EgrNab	-0.0735694525364823
EgrNab	Gata2	-0.0735694525364823
Gata1	Cebpa	-0.0734854859697874
Cebpa	Gata1	-0.0734854859697874
Pu1	cJun	0.0716926453073509
cJun	Pu1	0.0716926453073509
cJun	Gata1	-0.0651602449603502
Gata1	cJun	-0.0651602449603501
Gata2	Cebpa	0.0637606513884321
Cebpa	Gata2	0.063760651388432
Fli1	Cebpa	-0.0608035660893155
Cebpa	Fli1	-0.0608035660893154
Fli1	Gata2	0
Gata2	Fli1	0
Eklf	Gata1	0
Gata1	Eklf	0
Fog1	EgrNab	0
EgrNab	Fog1	0
Eklf	EgrNab	0
EgrNab	Eklf	0
Eklf	Gfi1	0
Gfi1	Eklf	0
Gfi1	Fli1	0
Fli1	Gfi1	0
Fli1	Eklf	0
Eklf	Fli1	0
Gfi1	Gata2	0
Gata2	Gfi1	0
Pu1	Fli1	0
Fli1	Pu1	0
EgrNab	Fli1	0
Fli1	EgrNab	0
EgrNab	Scl	0
Scl	EgrNab	0
Gfi1	Fog1	0
Fog1	Gfi1	0
Cebpa	Eklf	0
Eklf	Cebpa	0
Gata1	Gfi1	0
Gfi1	Gata1	0
Fog1	Gata2	0
Gata2	Fog1	0
Gata2	Scl	0
Scl	Gata2	0
