Gene1	Gene2	EdgeWeight
Fli1	EgrNab	1.11915732539446
Eklf	Gfi1	1.0
Eklf	EgrNab	1.0
Fli1	Gata1	1.0
Cebpa	Gfi1	1.0
Scl	Gfi1	0.9107597164189151
Eklf	Cebpa	0.870773597942491
Pu1	Gfi1	0.853616606971585
Fli1	Gfi1	0.8484409519035558
Fli1	Cebpa	0.78554919491552
EgrNab	Pu1	0.740820347816453
EgrNab	Gfi1	0.7339335001969659
Fli1	Gata2	0.702260419456078
Scl	Cebpa	0.699779844867969
Cebpa	Cebpa	0.6765839754747471
Fog1	Gfi1	0.65930711724163
Eklf	Pu1	0.652393695733136
Gata1	Gfi1	0.593072837027234
Eklf	cJun	0.5633004259640649
Pu1	Cebpa	0.54911122790358
EgrNab	Cebpa	0.518079252537926
cJun	Gfi1	0.5167845657022371
Fli1	cJun	0.513210134429599
Gata2	Gfi1	0.501726418676589
Fli1	Scl	0.494045505046726
Fog1	Cebpa	0.47141240932719297
Cebpa	Pu1	0.47043595032823293
Gfi1	Gfi1	0.466948547472615
EgrNab	EgrNab	0.46080280551547104
Gfi1	Gata2	0.36765612669179
EgrNab	Scl	0.34986571949882106
Gfi1	Cebpa	0.348132557835856
Gata2	Cebpa	0.339371505022872
Fog1	Gata2	0.337559333650309
cJun	Cebpa	0.33649520997356897
Eklf	Gata1	0.33484873941080606
Scl	Pu1	0.31082628773912796
Eklf	Scl	0.30667043576471603
Pu1	Pu1	0.295775104443031
EgrNab	cJun	0.263471842309754
Scl	Gata1	0.249213283830413
Scl	Scl	0.24466029771386102
Fog1	Gata1	0.24302521096841498
Gata1	Gata2	0.23036253368100895
Eklf	Fli1	0.224585740818073
Gata1	Cebpa	0.22078926242618102
Gata1	Pu1	0.21828019327075798
Fli1	Pu1	0.19999529733715501
Eklf	Gata2	0.196444703648848
Scl	Gata2	0.173637495946105
Fog1	cJun	0.170606249853956
cJun	Scl	0.162921769291237
Pu1	Scl	0.15558379313814902
Fog1	EgrNab	0.14763486975968898
Cebpa	Gata1	0.146733630111816
Gata2	Gata2	0.137886624132723
Gfi1	Gata1	0.13755962353032902
Gfi1	Pu1	0.135011374545298
cJun	Pu1	0.132709175274879
EgrNab	Fli1	0.12173663837118401
cJun	Gata2	0.11730134525946699
EgrNab	Gata1	0.11576779345803
Gata1	Gata1	0.101806755032782
Pu1	cJun	0.101781108286118
Gata2	Pu1	0.0916374397118503
Pu1	Gata1	0.0816671463732774
Pu1	EgrNab	0.0792984406859216
Fog1	Pu1	0.0790865645802956
Fli1	Fli1	0.0766666847458088
Pu1	Fli1	0.07448504672450701
Pu1	Gata2	0.0719377479590199
Gata2	Gata1	0.0701311231613012
Cebpa	Gata2	0.0674132226924256
Scl	Fli1	0.0671426186433197
Scl	EgrNab	0.06671791107413201
Scl	cJun	0.066540800899894
Cebpa	EgrNab	0.0616444499705822
Fog1	Fli1	0.0585675811000499
cJun	Gata1	0.0483132730940937
cJun	EgrNab	0.0381563293069253
Cebpa	cJun	0.0353055345104632
Gata1	EgrNab	0.0348057480219647
Gata2	EgrNab	0.0341713075645695
EgrNab	Gata2	0.0310237260979406
Gfi1	cJun	0.008146078761607159
cJun	Fli1	0.007739476952450529
Gfi1	EgrNab	0.00366379273945559
cJun	cJun	0.0024176349488772802
Gata2	cJun	0.000305568648899042
Fli1	Eklf	1.07413682954717e-35
Fli1	Fog1	8.568471689386981e-36
Gata1	cJun	8.102454642229349e-36
Gata1	Fog1	5.91496208402536e-36
Gata1	Scl	5.205529723748389e-36
Scl	Fog1	4.50333169278895e-36
Eklf	Fog1	3.3816053817076e-36
Pu1	Fog1	9.26731077684844e-37
Eklf	Eklf	8.275969297607928e-37
Scl	Eklf	7.564149086385269e-37
Cebpa	Scl	7.294196445323442e-37
Pu1	Eklf	6.4677613069061e-37
EgrNab	Fog1	5.37448892431432e-37
Cebpa	Fog1	5.37130284460205e-37
Cebpa	Eklf	4.016792979673221e-37
Gata1	Eklf	3.7083184903352395e-37
Gata1	Fli1	3.2102341618148602e-37
Gata2	Fli1	3.0055514645859694e-37
cJun	Fog1	1.95863100114803e-37
Fog1	Eklf	1.01538368034976e-37
Fog1	Scl	0.0
Gfi1	Fli1	0.0
Cebpa	Fli1	0.0
Gfi1	Scl	0.0
Fog1	Fog1	0.0
Gata2	Fog1	0.0
Gata2	Fog1	0.0
Gfi1	Fli1	0.0
Cebpa	Fli1	0.0
Fog1	Fog1	0.0
Gfi1	Fog1	0.0
Gata2	Scl	0.0
Gfi1	Scl	0.0
cJun	Eklf	0.0
Gata2	Eklf	0.0
Gfi1	Eklf	0.0
EgrNab	Eklf	0.0
Gata2	Scl	0.0
Fog1	Scl	0.0
Gfi1	Fog1	0.0
EgrNab	Eklf	0.0
Gfi1	Eklf	0.0
Gata2	Fog1	0.0
Gfi1	Fli1	0.0
Cebpa	Fli1	0.0
Gfi1	Scl	0.0
Fog1	Scl	0.0
Gata2	Scl	0.0
cJun	Eklf	0.0
Gata2	Eklf	0.0
Gfi1	Eklf	0.0
EgrNab	Eklf	0.0
Gata2	Scl	0.0
Fog1	Scl	0.0
Gfi1	Scl	0.0
Cebpa	Fli1	0.0
Gfi1	Fli1	0.0
Gata2	Fog1	0.0
Fog1	Fog1	0.0
Gfi1	Fog1	0.0
EgrNab	Eklf	0.0
Gfi1	Eklf	0.0
Gata2	Eklf	0.0
cJun	Eklf	0.0
Fog1	Fog1	0.0
cJun	Eklf	0.0
Gata2	Eklf	0.0
Gfi1	Fog1	0.0
